season,matchup_id,matchup_guid,matchup_key,week,week_multi,week_start,week_end,team_id,member_id,member_name,points,points_ppr,projected_points,optimal_points,points_rank,optimal_points_rank,points_share,coach_score,coach_rank,luck,roto_points,opponent_team_id,opponent_member_id,opponent_member_name,opponent_points,opponent_projected_points,opponent_points_rank,opponent_points_share,opponent_luck,is_playoff,is_consolation,is_championship,is_game_of_week,is_rivalry,result,status,score
2013,4045144,1b8943333bf3e828fa2509569fae8b2e,,1,,2013-09-05,2013-09-09,186677,54774,Cambrias,150.52,146.52,130.87,173.92,7,3,8.95,84.25,10,-26.5,,186673,54850,LFTLR,157.68,127.94,3,9.37,15.9,0,0,0,0,0,loss,completed,1
2013,4045128,9fd95018c491f4a336cafbffb420404d,,1,,2013-09-05,2013-09-09,186676,54846,Team JoeBa,184.14,159.34,117.88,184.14,1,1,10.94,95.66,1,6.0666666666667,,186672,108592,Chris & Dom,155.68,135.38,4,9.25,-48.533333333333,0,0,0,0,0,win,completed,1
2013,4045159,349bb432e74e5da147c0f9b9734706be,,1,,2013-09-05,2013-09-09,186678,108584,Nolan & Vinny,122.66,96.26,125.86,128.16,9,10,7.29,91.81,3,-18.2,,186674,54762,Antdell & Ernie,150.62,134.18,6,8.95,36.4,0,0,0,0,0,loss,completed,0
2013,4045112,c7d9ce31281fcc48c76936c726ba1cfa,,1,,2013-09-05,2013-09-09,186675,108581,Richie,120.96,119.96,132.54,157.82,10,7,7.19,75.38,11,-9.1,,186671,54855,GaTTa,153.88,124.47,5,9.15,22.75,0,0,0,0,0,loss,completed,0
2013,4045036,fd37a3994c59ec12602717222534c3bc,,1,,2013-09-05,2013-09-09,186670,108590,Rob & GregBo,77.4,59.8,116.56,103.2,12,12,4.6,73.06,12,0,,186668,108588,Frank & Julian,123.92,129.34,8,7.36,42.4,0,0,0,0,0,loss,completed,0
2013,4045021,4287aa981f7ffc4404835e1c02ccb51e,,1,,2013-09-05,2013-09-09,186669,108587,Pung & Tralie,103.82,99.82,124.47,109.72,11,11,6.17,90.98,4,-1.5166666666667,,186667,54773,Ronnie,181.28,127.23,2,10.77,3.0333333333333,0,0,0,0,0,loss,completed,0
2013,4045006,fd37a3994c59ec12602717222534c3bc,,1,,2013-09-05,2013-09-09,186668,108588,Frank & Julian,123.92,118.92,129.34,131.42,8,9,7.36,90.49,6,42.4,,186670,108590,Rob & GregBo,77.4,116.56,12,4.6,0,0,0,0,0,0,win,completed,0
2013,4044990,4287aa981f7ffc4404835e1c02ccb51e,,1,,2013-09-05,2013-09-09,186667,54773,Ronnie,181.28,160.28,127.23,177.18,2,2,10.77,90.46,7,3.0333333333333,,186669,108587,Pung & Tralie,103.82,124.47,11,6.17,-1.5166666666667,0,0,0,0,0,win,completed,0
2013,4045081,1b8943333bf3e828fa2509569fae8b2e,,1,,2013-09-05,2013-09-09,186673,54850,LFTLR,157.68,152.68,127.94,168.28,3,4,9.37,90.73,5,15.9,,186677,54774,Cambrias,150.52,130.87,7,8.95,-26.5,0,0,0,0,0,win,completed,1
2013,4045051,c7d9ce31281fcc48c76936c726ba1cfa,,1,,2013-09-05,2013-09-09,186671,54855,GaTTa,153.88,109.78,124.47,164.38,5,5,9.15,86.31,9,22.75,,186675,108581,Richie,120.96,132.54,10,7.19,-9.1,0,0,0,0,0,win,completed,0
2013,4045097,349bb432e74e5da147c0f9b9734706be,,1,,2013-09-05,2013-09-09,186674,54762,Antdell & Ernie,150.62,139.62,134.18,161.3,6,6,8.95,86.56,8,36.4,,186678,108584,Nolan & Vinny,122.66,125.86,9,7.29,-18.2,0,0,0,0,0,win,completed,0
2013,4045066,9fd95018c491f4a336cafbffb420404d,,1,,2013-09-05,2013-09-09,186672,108592,Chris & Dom,155.68,144.68,135.38,157.38,4,8,9.25,91.93,2,-48.533333333333,,186676,54846,Team JoeBa,184.14,117.88,1,10.94,6.0666666666667,0,0,0,0,0,loss,completed,1
2013,4045082,5723df13fadeeb1978dca91422c28247,,2,,2013-09-10,2013-09-16,186673,54850,LFTLR,94.88,67.78,114.77,131.68,12,10,6.08,69.02,12,0,,186669,108587,Pung & Tralie,144.3,102.1,4,9.25,9.0666666666667,0,0,0,0,0,loss,completed,0
2013,4045052,d769864c1bbd1be3ec81aae1e1752211,,2,,2013-09-10,2013-09-16,186671,54855,GaTTa,97.08,97.08,105.62,127.24,11,11,6.22,76.3,11,-6.8166666666667,,186667,54773,Ronnie,126.18,125.3,9,8.09,61.35,0,0,0,0,0,loss,completed,0
2013,4045098,eae83bb8a3dc407399cb304aa5385df0,,2,,2013-09-10,2013-09-16,186674,54762,Antdell & Ernie,110.1,99.6,103.02,105.2,10,12,7.06,96.1,2,-12.133333333333,,186670,108590,Rob & GregBo,129.56,91.02,7,8.31,42.466666666667,0,0,0,0,0,loss,completed,0
