season,week,round,opponent_member_id,score,opp_score,margin,result,is_championship
2025,16,Semifinal,54776,111.68,99.7,11.98,win,false
2025,17,Championship,54762,164.92,152.48,12.44,win,true
2024,16,Semifinal,108582,167.82,141.36,26.46,win,false
2024,17,Championship,54774,173.88,146.36,27.52,win,true
2023,16,Semifinal,54762,151.02,124.9,26.12,win,false
2023,17,Championship,54773,159.1,108.08,51.02,win,true
2022,16,Semifinal,54776,147.48,112.06,35.42,win,false
2022,17,Championship,108581,133.08,96.46,36.62,win,true
2021,16,Semifinal,108587,145.36,92.32,53.04,win,false
2021,17,Championship,54773,132.5,113.12,19.38,win,true
2020,15,Semifinal,54762,161.42,112.62,48.8,win,false
2020,16,Championship,108587,149.02,128.02,21,win,true
2019,15,Semifinal,108592,191.38,126.88,64.5,win,false
2019,16,Championship,108581,156.72,139.7,17.02,win,true
2018,15,Semifinal,108584,149.34,116.46,32.88,win,false
2018,16,Championship,108588,140.26,138.08,2.18,win,true
2017,14,Quarterfinal,54762,156.44,133.24,23.2,win,false
2017,15,Semifinal,54774,155.18,136.68,18.5,win,false
2017,16,Championship,108592,139.22,125.08,14.14,win,true
2016,15,Semifinal,108587,119.62,96.32,23.3,win,false
2016,16,Championship,54846,120.24,117.36,2.88,win,true
2015,15,Semifinal,54846,198.48,131.06,67.42,win,false
2015,16,Championship,54774,147.14,146.64,0.5,win,true
2014,14,Quarterfinal,108587,143.76,100.5,43.26,win,false
2014,15,Semifinal,108584,163.56,67.72,95.84,win,false
2014,16,Championship,54774,158.14,153.06,5.08,win,true
2013,14,Quarterfinal,54774,162.68,111.5,51.18,win,false
2013,15,Semifinal,54855,153.26,133.72,19.54,win,false
2013,16,Championship,54850,129.5,80.24,49.26,win,true
