group,idx,season_year,position,rank,gsis_id,fn_player_id,player_name,player_team,total_pts,started_weeks,owner_name,owner_logo,member_id
2013,1,2013,DEF,1,DEF-0001,19,Arizona Cardinals,ARI,154,14,LFTLR,,54850
2013,2,2013,DEF,2,DEF-0007,6,Cincinnati Bengals,CIN,132,12,Richie,,108581
2013,3,2013,K,1,00-0023853,76,Matt Prater,ARI,158,15,Ronnie,,54773
2013,4,2013,K,2,00-0024333,,Stephen Gostkowski,FA,155,14,GaTTa,,54855
2013,5,2013,QB,1,00-0010346,,Peyton Manning,FA,383.34,15,Ronnie,,54773
2013,6,2013,QB,2,00-0020531,,Drew Brees,FA,319.64,15,LFTLR,,54850
2013,7,2013,RB,1,00-0026184,,Matt Forte,FA,299.6,15,LFTLR,,54850
2013,8,2013,RB,2,00-0026213,,Jamaal Charles,FA,263.3,12,Team JoeBa,,54846
2013,9,2013,TE,1,00-0027696,,Jimmy Graham,FA,242.9,13,Chris & Dom,,108592
2013,10,2013,TE,2,00-0024221,,Vernon Davis,FA,199.5,14,LFTLR,,54850
2013,11,2013,WR,1,00-0025389,,Calvin Johnson,FA,295,14,Chris & Dom,,108592
2013,12,2013,WR,2,00-0027874,,Demaryius Thomas,FA,289.7,15,Ronnie,,54773
2014,1,2014,DEF,1,DEF-0013,32,Houston Texans,HOU,150,14,Nolan & Vinny,,108584
2014,2,2014,DEF,2,DEF-0004,1,Buffalo Bills,BUF,107,10,LFTLR,,54850
2014,3,2014,K,1,00-0024333,,Stephen Gostkowski,FA,149,14,Ronnie,,54773
2014,4,2014,K,2,00-0028660,,Dan Bailey,FA,135,15,Cambrias,,54774
2014,5,2014,QB,1,00-0010346,,Peyton Manning,FA,301.54,14,Ronnie,,54773
2014,6,2014,QB,2,00-0029668,,Andrew Luck,FA,297.74,12,Richie,,108581
2014,7,2014,RB,1,00-0026184,,Matt Forte,FA,331.2,15,GaTTa,,54855
2014,8,2014,RB,2,00-0028009,,DeMarco Murray,FA,330,15,Cambrias,,54774
2014,9,2014,TE,1,00-0027656,,Rob Gronkowski,FA,266.4,15,GaTTa,,54855
2014,10,2014,TE,2,00-0027696,,Jimmy Graham,FA,218.5,14,GaTTa,,54855
2014,11,2014,WR,1,00-0027793,,Antonio Brown,FA,293.9,12,Richie,,108581
2014,12,2014,WR,2,00-0026176,,Jordy Nelson,FA,278.7,14,Nolan & Vinny,,108584
2015,1,2015,DEF,1,DEF-0010,11,Denver Broncos,DEN,135,13,Rob & GregBo,,108590
2015,2,2015,DEF,2,DEF-0029,15,Seattle Seahawks,SEA,111,12,Antdell & Ernie,,54762
2015,3,2015,K,1,00-0024333,,Stephen Gostkowski,FA,130,13,GaTTa,,54855
2015,4,2015,K,2,00-0029822,542,Brandon McManus,GB,122,14,Rob & GregBo,,108590
2015,5,2015,QB,1,00-0019596,36,Tom Brady,FA,321.4,14,Chris & Dom,,108592
2015,6,2015,QB,2,00-0021429,,Carson Palmer,FA,234.88,12,Richie,,108581
2015,7,2015,RB,1,00-0031285,,Devonta Freeman,FA,270.2,11,Cambrias,,54774
2015,8,2015,RB,2,00-0025394,,Adrian Peterson,FA,246.9,15,Team JoeBa,,54846
2015,9,2015,TE,1,00-0027656,,Rob Gronkowski,FA,233.1,13,Chris & Dom,,108592
2015,10,2015,TE,2,00-0025418,,Greg Olsen,FA,215.6,14,Cambrias,,54774
2015,11,2015,WR,1,00-0027944,,Julio Jones,FA,345.2,15,Richie,,108581
2015,12,2015,WR,2,00-0027793,,Antonio Brown,FA,339.5,14,LFTLR,,54850
