member_id,member_name,opponent_id,opponent_name,wins,losses,ties,total,record,win_perc,points_for,points_against,avg_for,avg_against,point_diff,avg_margin,streak,last_meeting,playoff_record,playoff_total,playoff_wins,playoff_losses,playoff_ties,playoff_avg_for,playoff_avg_against,playoff_point_diff,playoff_avg_margin,has_history
54762,Antdell & Ernie,54773,Ronnie,8,9,0,17,8-9,0.471,2085.74,2182.12,122.69,128.36,-96.38,-5.67,"{""result"":""win"",""count"":5,""label"":""W5""}","{""season"":""2025"",""season_id"":29821,""week"":""13"",""points"":113.9,""opponent_points"":81.42,""result"":""win"",""is_playoff"":false,""is_championship"":false}",0-2,2,0,2,0,100.71,131.6,-61.78,-30.89,true
54762,Antdell & Ernie,54774,Cambrias,7,7,0,14,7-7,0.5,1806.78,1858.14,129.06,132.72,-51.36,-3.67,"{""result"":""loss"",""count"":2,""label"":""L2""}","{""season"":""2025"",""season_id"":29821,""week"":""17"",""points"":152.48,""opponent_points"":164.92,""result"":""loss"",""is_playoff"":true,""is_championship"":true}",1-1,2,1,1,0,133.68,136.27,-5.18,-2.59,true
54762,Antdell & Ernie,54776,Mike Long,1,4,0,5,1-4,0.2,606.7,617.74,121.34,123.55,-11.04,-2.21,"{""result"":""loss"",""count"":2,""label"":""L2""}","{""season"":""2025"",""season_id"":29821,""week"":""6"",""points"":109.64,""opponent_points"":133.14,""result"":""loss"",""is_playoff"":false,""is_championship"":false}",0-1,1,0,1,0,125.14,130.78,-5.64,-5.64,true
54762,Antdell & Ernie,54846,Team JoeBa,8,5,0,13,8-5,0.615,1625.84,1430.38,125.06,110.03,195.46,15.04,"{""result"":""loss"",""count"":1,""label"":""L1""}","{""season"":""2021"",""season_id"":16816,""week"":""11"",""points"":102.28,""opponent_points"":117.8,""result"":""loss"",""is_playoff"":false,""is_championship"":false}",0-0,0,0,0,0,0,0,0,0,true
54762,Antdell & Ernie,54850,LFTLR,6,3,0,9,6-3,0.667,1156.66,993.96,128.52,110.44,162.7,18.08,"{""result"":""loss"",""count"":1,""label"":""L1""}","{""season"":""2020"",""season_id"":16817,""week"":""5"",""points"":103.44,""opponent_points"":115.56,""result"":""loss"",""is_playoff"":false,""is_championship"":false}",1-0,1,1,0,0,113.86,89.12,24.74,24.74,true
54762,Antdell & Ernie,54855,GaTTa,3,4,0,7,3-4,0.429,783.92,782.48,111.99,111.78,1.44,0.21,"{""result"":""win"",""count"":1,""label"":""W1""}","{""season"":""2016"",""season_id"":16821,""week"":""13"",""points"":126.58,""opponent_points"":104.06,""result"":""win"",""is_playoff"":false,""is_championship"":false}",0-0,0,0,0,0,0,0,0,0,true
54762,Antdell & Ernie,108581,Richie,12,10,0,22,12-10,0.545,2804.8,2682.68,127.49,121.94,122.12,5.55,"{""result"":""loss"",""count"":1,""label"":""L1""}","{""season"":""2025"",""season_id"":29821,""week"":""9"",""points"":90,""opponent_points"":112.24,""result"":""loss"",""is_playoff"":false,""is_championship"":false}",0-1,1,0,1,0,133.24,156.44,-23.2,-23.2,true
54762,Antdell & Ernie,108582,John Juliano,6,1,0,7,6-1,0.857,947.7,781.06,135.39,111.58,166.64,23.81,"{""result"":""win"",""count"":6,""label"":""W6""}","{""season"":""2025"",""season_id"":29821,""week"":""4"",""points"":143.96,""opponent_points"":99.46,""result"":""win"",""is_playoff"":false,""is_championship"":false}",0-0,0,0,0,0,0,0,0,0,true
54762,Antdell & Ernie,108584,Nolan & Vinny,10,11,0,21,10-11,0.476,2485.92,2653.5,118.38,126.36,-167.58,-7.98,"{""result"":""win"",""count"":3,""label"":""W3""}","{""season"":""2025"",""season_id"":29821,""week"":""15"",""points"":149.66,""opponent_points"":91.8,""result"":""win"",""is_playoff"":true,""is_championship"":false}",1-1,2,1,1,0,126.13,102.27,47.72,23.86,true
54762,Antdell & Ernie,108587,Pung & Tralie,5,11,0,16,5-11,0.313,1874.72,2103.5,117.17,131.47,-228.78,-14.3,"{""result"":""loss"",""count"":2,""label"":""L2""}","{""season"":""2025"",""season_id"":29821,""week"":""12"",""points"":118.56,""opponent_points"":130.06,""result"":""loss"",""is_playoff"":false,""is_championship"":false}",0-0,0,0,0,0,0,0,0,0,true
