season,newsletter_id,type,name,slug,week,layout,status,run_count,issued_at,published_at,edited_at,created_at,has_file,url
2025,58832,season-recap,Season Recap,2025-season-recap,19,,published,1,2025-12-30T05:00:00.000000Z,2025-12-31T13:43:20.000000Z,,2025-12-31T13:43:20.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-season-recap
2025,55061,weekly,Week 17,2025-week-17,17,,published,1,2025-12-23T05:00:00.000000Z,2025-12-23T16:31:06.000000Z,,2025-12-23T16:31:06.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-17
2025,52934,weekly,Week 16,2025-week-16,16,,published,1,2025-12-16T05:00:00.000000Z,2025-12-16T16:21:01.000000Z,,2025-12-16T16:21:01.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-16
2025,51030,playoff-preview,Playoff Preview,2025-playoff-preview,15,,published,1,2025-12-09T05:00:00.000000Z,2025-12-10T03:01:10.000000Z,,2025-12-10T03:01:10.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-playoff-preview
2025,49340,weekly,Week 15,2025-week-15,15,,published,1,2025-12-09T05:00:00.000000Z,2025-12-09T16:21:49.000000Z,,2025-12-09T16:21:49.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-15
2025,47416,weekly,Week 14,2025-week-14,14,,published,1,2025-12-02T05:00:00.000000Z,2025-12-02T16:20:45.000000Z,,2025-12-02T16:20:45.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-14
2025,45683,weekly,Week 13,2025-week-13,13,,published,1,2025-11-25T05:00:00.000000Z,2025-11-25T16:10:14.000000Z,,2025-11-25T16:10:14.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-13
2025,43961,weekly,Week 12,2025-week-12,12,,published,1,2025-11-18T05:00:00.000000Z,2025-11-18T16:10:15.000000Z,,2025-11-18T16:10:15.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-12
2025,42275,weekly,Week 11,2025-week-11,11,,published,1,2025-11-11T05:00:00.000000Z,2025-11-11T16:01:12.000000Z,,2025-11-11T16:01:12.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-11
2025,40649,weekly,Week 10,2025-week-10,10,,published,1,2025-11-04T05:00:00.000000Z,2025-11-04T16:00:18.000000Z,,2025-11-04T16:00:18.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-10
2025,39047,weekly,Week 9,2025-week-9,9,,published,1,2025-10-28T05:00:00.000000Z,2025-10-28T16:00:16.000000Z,,2025-10-28T16:00:16.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-9
2025,37384,midseason,Midseason Report,2025-midseason-report,8,,published,1,2025-10-21T05:00:00.000000Z,2025-10-21T19:26:43.000000Z,,2025-10-21T19:26:43.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-midseason-report
2025,35915,weekly,Week 8,2025-week-8,8,,published,1,2025-10-21T05:00:00.000000Z,2025-10-21T15:51:15.000000Z,,2025-10-21T15:51:15.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-8
2025,34329,weekly,Week 7,2025-week-7,7,,published,1,2025-10-14T05:00:00.000000Z,2025-10-14T15:50:43.000000Z,,2025-10-14T15:50:43.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-7
2025,32841,weekly,Week 6,2025-week-6,6,,published,1,2025-10-07T05:00:00.000000Z,2025-10-07T15:50:17.000000Z,,2025-10-07T15:50:17.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-6
2025,31366,weekly,Week 5,2025-week-5,5,,published,1,2025-09-30T05:00:00.000000Z,2025-09-30T15:41:33.000000Z,,2025-09-30T15:41:33.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-5
2025,29923,weekly,Week 4 - YeahThatFantasyLeague!,2025-week-4,4,no-sidebar,published,2,2025-09-23T00:00:00.000000Z,2025-09-23T16:56:44.000000Z,,2025-09-23T16:30:48.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-4
2025,28488,weekly,Week 3,2025-week-3,3,,published,1,2025-09-16T05:00:00.000000Z,2025-09-16T15:40:28.000000Z,,2025-09-16T15:40:28.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-3
2025,26946,weekly,Week 2,2025-week-2,2,,published,1,2025-09-09T05:00:00.000000Z,2025-09-09T20:02:14.000000Z,,2025-09-09T20:02:14.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-2
2025,25975,weekly,Week 1,2025-week-1,1,,published,1,2025-09-02T05:00:00.000000Z,2025-09-04T01:45:05.000000Z,,2025-09-04T01:45:05.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-week-1
2025,24263,season-preview,Season Preview,2025-season-preview,0,,published,1,2025-09-01T05:00:00.000000Z,2025-09-03T05:16:28.000000Z,,2025-09-03T05:16:28.000000Z,false,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/newsletters/2025-season-preview
