key,name,label,category,type,display_type,is_positive,use_season_data,url
league-wins,Total Wins,Wins,league,cumulative,league,1,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-wins
league-losses,Total Losses,Losses,league,cumulative,league,0,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-losses
league-all-play-win-perc,All-Play Win Percentage,Win %,league,cumulative,league,1,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-all-play-win-perc
league-all-play-wins,All-Play Wins,Wins,league,cumulative,league,1,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-all-play-wins
league-all-play-losses,All-Play Losses,Losses,league,cumulative,league,0,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-all-play-losses
league-win-perc,Win Percentage,Win %,league,cumulative,league,1,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-win-perc
league-high-scores,High Scores (#),High-Scores,league,cumulative,league,1,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-high-scores
league-high-scores-perc,High Scores (%),High-Scores %,league,cumulative,league,1,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-high-scores-perc
league-top-scores,Top Scores (#),Top Scores,league,cumulative,league,1,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-top-scores
league-top-scores-perc,Top Scores (%),Top Scores %,league,cumulative,league,1,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-top-scores-perc
league-top-half-scores,Top Half Scores (#),Top Half Scores,league,cumulative,league,1,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-top-half-scores
league-top-half-scores-perc,Top Half Scores (%),Top Half Scores %,league,cumulative,league,1,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-top-half-scores-perc
league-worst-scores,Worst Scores (#),Worst-Scores,league,cumulative,league,0,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-worst-scores
league-worst-scores-perc,Worst Scores (%),Worst-Scores %,league,cumulative,league,0,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-worst-scores-perc
league-bottom-scores,Bottom Scores (#),Bottom Scores,league,cumulative,league,0,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-bottom-scores
league-bottom-scores-perc,Bottom Scores (%),Bottom Scores %,league,cumulative,league,0,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-bottom-scores-perc
league-bottom-half-scores,Bottom Half Scores (#),Bottom Half Scores,league,cumulative,league,0,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-bottom-half-scores
league-bottom-half-scores-perc,Bottom Half Scores (%),Bottom Half Scores %,league,cumulative,league,0,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-bottom-half-scores-perc
league-blowout-wins,Blowout Wins,Wins,league,cumulative,league,1,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-blowout-wins
league-blowout-losses,Blowout Losses,Losses,league,cumulative,league,0,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-blowout-losses
league-slim-wins,Narrowest Wins,Wins,league,cumulative,league,1,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-slim-wins
league-slim-losses,Narrowest Losses,Losses,league,cumulative,league,0,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-slim-losses
league-seasons-winning-record,Seasons Winning Record,Seasons,league,cumulative,league,1,1,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-seasons-winning-record
league-seasons-losing-record,Seasons Losing Record,Seasons,league,cumulative,league,0,1,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-seasons-losing-record
league-season-titles,Regular Season Titles,Seasons,league,cumulative,league,1,1,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-season-titles
league-season-points-titles,Season Points Titles,Seasons,league,cumulative,league,1,1,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-season-points-titles
league-season-all-play-titles,Season All-Play Titles,Seasons,league,cumulative,league,1,1,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-season-all-play-titles
league-total-points,Total Points,Points,league,cumulative,league,1,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-total-points
league-total-opponent-points,Total Opponent Points,Points,league,cumulative,league,0,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-total-opponent-points
league-points-share-avg,Points Share Average,Avg,league,cumulative,league,1,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-points-share-avg
league-opponent-points-share-avg,Opponent Points Share Average,Avg,league,cumulative,league,0,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-opponent-points-share-avg
league-schedule-strength-avg,Toughest Strength of Schedule on Average,Avg Strength of Schedule,league,cumulative,league,1,1,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-schedule-strength-avg
league-schedule-strength-avg-lowest,Easiest Strength of Schedule on Average,Avg Strength of Schedule,league,cumulative,league,0,1,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-schedule-strength-avg-lowest
league-luckiest-avg,Luckiest,Avg Matchup Luck,league,cumulative,league,1,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-luckiest-avg
league-luckiest-avg-lowest,Least Luckiest,Avg Matchup Luck,league,cumulative,league,0,0,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-luckiest-avg-lowest
league-playoff-appearances,Playoff Appearances,Appearances,league,cumulative,league,1,1,https://leaguelegacy.io/leagues/totallyheterosexualmensffl-id-42081/record-book/records/league-playoff-appearances
