season,team_id,member_name,position,total,avg,rank
2013,186667,Ronnie,QB,330.6,25.43,1
2013,186667,Ronnie,WR,377.4,14.52,8
2013,186667,Ronnie,RB,343.6,13.22,8
2013,186667,Ronnie,TE,149.6,11.51,6
2013,186667,Ronnie,W/R/T,161.3,12.41,6
2013,186667,Ronnie,K,125,9.62,2
2013,186667,Ronnie,DEF,95,7.31,10
2013,186668,Frank & Julian,QB,227.9,17.53,9
2013,186668,Frank & Julian,WR,457.8,17.61,3
2013,186668,Frank & Julian,RB,345.8,13.3,7
2013,186668,Frank & Julian,TE,88.3,6.79,12
2013,186668,Frank & Julian,W/R/T,133.8,10.29,9
2013,186668,Frank & Julian,K,108,8.31,8
2013,186668,Frank & Julian,DEF,142,10.92,3
2013,186669,Pung & Tralie,QB,170.52,13.12,12
2013,186669,Pung & Tralie,WR,377.1,14.5,9
2013,186669,Pung & Tralie,RB,418.52,16.1,2
2013,186669,Pung & Tralie,TE,141.7,10.9,8
2013,186669,Pung & Tralie,W/R/T,196.4,15.11,3
2013,186669,Pung & Tralie,K,118,9.08,5
2013,186669,Pung & Tralie,DEF,125,9.62,6
2013,186670,Rob & GregBo,QB,257.7,19.82,4
2013,186670,Rob & GregBo,WR,337,12.96,11
2013,186670,Rob & GregBo,RB,284.3,10.93,12
2013,186670,Rob & GregBo,TE,136.8,10.52,9
2013,186670,Rob & GregBo,W/R/T,128,9.85,11
2013,186670,Rob & GregBo,K,121,9.31,4
2013,186670,Rob & GregBo,DEF,153,11.77,2
2013,186671,GaTTa,QB,266.62,20.51,2
2013,186671,GaTTa,WR,390,15,6
2013,186671,GaTTa,RB,397.3,15.28,4
2013,186671,GaTTa,TE,99.2,7.63,11
2013,186671,GaTTa,W/R/T,219.8,16.91,1
2013,186671,GaTTa,K,143,11,1
2013,186671,GaTTa,DEF,93,7.15,11
2013,186672,Chris & Dom,QB,265.7,20.44,3
2013,186672,Chris & Dom,WR,465.2,17.89,2
2013,186672,Chris & Dom,RB,419.24,16.12,1
2013,186672,Chris & Dom,TE,229.5,17.65,2
2013,186672,Chris & Dom,W/R/T,153.7,11.82,8
2013,186672,Chris & Dom,K,112,8.62,7
2013,186672,Chris & Dom,DEF,97,7.46,9
2013,186673,LFTLR,QB,257.28,19.79,5
2013,186673,LFTLR,WR,371.3,14.28,10
2013,186673,LFTLR,RB,362.8,13.95,5
2013,186673,LFTLR,TE,194.1,14.93,3
2013,186673,LFTLR,W/R/T,154.5,11.88,7
2013,186673,LFTLR,K,105,8.08,9
2013,186673,LFTLR,DEF,117,9,7
2013,186674,Antdell & Ernie,QB,237.9,18.3,6
2013,186674,Antdell & Ernie,WR,408.9,15.73,5
2013,186674,Antdell & Ernie,RB,326.5,12.56,9
2013,186674,Antdell & Ernie,TE,169.2,13.02,4
2013,186674,Antdell & Ernie,W/R/T,167.8,12.91,4
2013,186674,Antdell & Ernie,K,102,7.85,10
2013,186674,Antdell & Ernie,DEF,72,5.54,12
2013,186675,Richie,QB,216.8,16.68,11
2013,186675,Richie,WR,475.1,18.27,1
2013,186675,Richie,RB,298,11.46,11
2013,186675,Richie,TE,142.5,10.96,7
2013,186675,Richie,W/R/T,165,12.69,5
2013,186675,Richie,K,99,7.62,11
2013,186675,Richie,DEF,141,10.85,4
2013,186676,Team JoeBa,QB,224.9,17.3,10
2013,186676,Team JoeBa,WR,389,14.96,7
2013,186676,Team JoeBa,RB,417.6,16.06,3
2013,186676,Team JoeBa,TE,124.1,9.55,10
2013,186676,Team JoeBa,W/R/T,109.4,8.42,12
2013,186676,Team JoeBa,K,116,8.92,6
2013,186676,Team JoeBa,DEF,108,8.31,8
2013,186677,Cambrias,QB,237.5,18.27,7
2013,186677,Cambrias,WR,424.8,16.34,4
2013,186677,Cambrias,RB,300.7,11.57,10
2013,186677,Cambrias,TE,233.6,17.97,1
2013,186677,Cambrias,W/R/T,212.9,16.38,2
2013,186677,Cambrias,K,80,6.15,12
2013,186677,Cambrias,DEF,154,11.85,1
2013,186678,Nolan & Vinny,QB,228.78,17.6,8
2013,186678,Nolan & Vinny,WR,322.8,12.42,12
2013,186678,Nolan & Vinny,RB,360.9,13.88,6
2013,186678,Nolan & Vinny,TE,158.4,12.18,5
2013,186678,Nolan & Vinny,W/R/T,131.3,10.1,10
2013,186678,Nolan & Vinny,K,124,9.54,3
2013,186678,Nolan & Vinny,DEF,130,10,5
2014,186655,Ronnie,QB,308.18,23.71,3
2014,186655,Ronnie,WR,466.6,17.95,3
2014,186655,Ronnie,RB,435.7,16.76,3
2014,186655,Ronnie,TE,93.5,7.19,9
2014,186655,Ronnie,W/R/T,170.2,13.09,5
2014,186655,Ronnie,K,143,11,1
2014,186655,Ronnie,DEF,86,6.62,8
2014,186656,Pung & Tralie,QB,275.56,21.2,4
2014,186656,Pung & Tralie,WR,392.1,15.08,6
2014,186656,Pung & Tralie,RB,374.3,14.4,5
2014,186656,Pung & Tralie,TE,125,9.62,5
2014,186656,Pung & Tralie,W/R/T,169.7,13.05,6
2014,186656,Pung & Tralie,K,84,6.46,11
2014,186656,Pung & Tralie,DEF,78,6,10
2014,186657,Team JoeBa,QB,212.66,16.36,8
2014,186657,Team JoeBa,WR,411.8,15.84,5
2014,186657,Team JoeBa,RB,343.5,13.21,8
2014,186657,Team JoeBa,TE,112.1,8.62,6
2014,186657,Team JoeBa,W/R/T,113.1,8.7,11
2014,186657,Team JoeBa,K,99,7.62,9
2014,186657,Team JoeBa,DEF,63,4.85,11
2014,186658,Rob & GregBo,QB,309.22,23.79,1
2014,186658,Rob & GregBo,WR,350.4,13.48,11
2014,186658,Rob & GregBo,RB,235.2,9.05,11
2014,186658,Rob & GregBo,TE,92,7.08,10
2014,186658,Rob & GregBo,W/R/T,151.1,11.62,9
2014,186658,Rob & GregBo,K,135,10.38,3
2014,186658,Rob & GregBo,DEF,98,7.54,5
2014,186659,Chris & Dom,QB,262.62,20.2,5
2014,186659,Chris & Dom,WR,379.6,14.6,8
2014,186659,Chris & Dom,RB,363.4,13.98,6
2014,186659,Chris & Dom,TE,156.1,12.01,4
2014,186659,Chris & Dom,W/R/T,169.1,13.01,7
2014,186659,Chris & Dom,K,130,10,5
2014,186659,Chris & Dom,DEF,54,4.15,12
2014,186660,Cambrias,QB,244.04,18.77,6
2014,186660,Cambrias,WR,365.7,14.07,9
2014,186660,Cambrias,RB,455.5,17.52,1
2014,186660,Cambrias,TE,166.1,12.78,2
2014,186660,Cambrias,W/R/T,176.5,13.58,4
2014,186660,Cambrias,K,118,9.08,6
2014,186660,Cambrias,DEF,126,9.69,3
2014,186661,GaTTa,QB,221.34,17.03,7
2014,186661,GaTTa,WR,353.9,13.61,10
2014,186661,GaTTa,RB,413.5,15.9,4
2014,186661,GaTTa,TE,241.4,18.57,1
2014,186661,GaTTa,W/R/T,189.4,14.57,2
2014,186661,GaTTa,K,83,6.38,12
2014,186661,GaTTa,DEF,97,7.46,6
2014,186662,Richie,QB,308.3,23.72,2
2014,186662,Richie,WR,521,20.04,1
2014,186662,Richie,RB,358.5,13.79,7
2014,186662,Richie,TE,159.4,12.26,3
2014,186662,Richie,W/R/T,106.5,8.19,12
2014,186662,Richie,K,87,6.69,10
2014,186662,Richie,DEF,80,6.15,9
2014,186663,Frank & Julian,QB,201.64,15.51,10
2014,186663,Frank & Julian,WR,510.9,19.65,2
2014,186663,Frank & Julian,RB,230.3,8.86,12
2014,186663,Frank & Julian,TE,82,6.31,11
2014,186663,Frank & Julian,W/R/T,202.3,15.56,1
2014,186663,Frank & Julian,K,100,7.69,8
2014,186663,Frank & Julian,DEF,88,6.77,7
2014,186664,Nolan & Vinny,QB,210.54,16.2,9
2014,186664,Nolan & Vinny,WR,430.7,16.57,4
2014,186664,Nolan & Vinny,RB,297.1,11.43,9
2014,186664,Nolan & Vinny,TE,104.9,8.07,7
2014,186664,Nolan & Vinny,W/R/T,181.2,13.94,3
2014,186664,Nolan & Vinny,K,135,10.38,4
2014,186664,Nolan & Vinny,DEF,130,10,2
2014,186665,Antdell & Ernie,QB,183.8,14.14,12
2014,186665,Antdell & Ernie,WR,384.2,14.78,7
