member,list,id,league_id,league_member_id,key,achieved,created_at,updated_at,record_type
Antdell & Ernie,achievements,98789202,3854,54762,achievement-champion-not,"[{""achieved_week"":null,""achieved_season_id"":16824}]",,,"{""id"":2800,""league_id"":null,""key"":""achievement-champion-not"",""name"":""The Worst"",""sport"":null,""label"":"""",""description"":""Earned by finishing dead-last in the league."",""type"":""cumulative"",""image"":""/images/achievements/achievement-champion-not.png"",""category"":""achievement"",""display_order"":1,""display_type"":""champion"",""display_format"":null,""is_positive"":0,""use_season_data"":0,""use_players"":0,""use_completed_seasons"":1,""created_at"":null,""updated_at"":null}"
Antdell & Ernie,achievements,98789206,3854,54762,achievement-draft-def-worst,"[{""achieved_week"":null,""achieved_season_id"":16824}]",,,"{""id"":2953,""league_id"":null,""key"":""achievement-draft-def-worst"",""name"":""Worst DEF Draft"",""sport"":""nfl"",""label"":"""",""description"":""Recognizes the manager who had the worst DEF draft in a season."",""type"":""cumulative"",""image"":""/images/achievements/badge-draft.png"",""category"":""achievement"",""display_order"":11,""display_type"":""draft-transaction"",""display_format"":null,""is_positive"":0,""use_season_data"":0,""use_players"":0,""use_completed_seasons"":1,""created_at"":null,""updated_at"":null}"
Antdell & Ernie,achievements,98789204,3854,54762,achievement-matchup-double-up,"[{""matchup_guid"":""4213afb3cab8a9005ba5fbbc142d6652"",""achieved_week"":""7"",""achieved_season_id"":16824}]",,,"{""id"":2878,""league_id"":null,""key"":""achievement-matchup-double-up"",""name"":""Double Up"",""sport"":null,""label"":"""",""description"":""Earned by doubling an opponent's score in a matchup."",""type"":""cumulative"",""image"":""/images/achievements/badge-matchup.png"",""category"":""achievement"",""display_order"":9,""display_type"":""matchup"",""display_format"":null,""is_positive"":1,""use_season_data"":0,""use_players"":0,""use_completed_seasons"":0,""created_at"":null,""updated_at"":null}"
Antdell & Ernie,achievements,98789205,3854,54762,achievement-matchup-snoozer,"[{""matchup_guid"":""2b8f8993819d5d154382ab3d457c4dce"",""achieved_week"":""12"",""achieved_season_id"":16824}]",,,"{""id"":2884,""league_id"":null,""key"":""achievement-matchup-snoozer"",""name"":""The Snoozer"",""sport"":null,""label"":"""",""description"":""Earned for participating in the lowest total scoring matchup in a season."",""type"":""cumulative"",""image"":""/images/achievements/badge-matchup.png"",""category"":""achievement"",""display_order"":4,""display_type"":""matchup"",""display_format"":null,""is_positive"":0,""use_season_data"":0,""use_players"":0,""use_completed_seasons"":1,""created_at"":null,""updated_at"":null}"
Antdell & Ernie,achievements,98789208,3854,54762,achievement-roster-coach-score-good,"[{""achieved_week"":null,""achieved_season_id"":16824}]",,,"{""id"":2979,""league_id"":null,""key"":""achievement-roster-coach-score-good"",""name"":""The Tactician"",""sport"":null,""label"":"""",""description"":""Awarded for achieving a coach score of 95+ in a season."",""type"":""cumulative"",""image"":""/images/achievements/achievement-roster-coach-score-good.png"",""category"":""achievement"",""display_order"":2,""display_type"":""roster"",""display_format"":null,""is_positive"":1,""use_season_data"":0,""use_players"":0,""use_completed_seasons"":1,""created_at"":null,""updated_at"":null}"
Antdell & Ernie,achievements,98789207,3854,54762,achievement-roster-coach-score-top,"[{""achieved_week"":null,""achieved_season_id"":16824}]",,,"{""id"":2978,""league_id"":null,""key"":""achievement-roster-coach-score-top"",""name"":""The General"",""sport"":null,""label"":"""",""description"":""Achieved for performing the best as a roster coach in a season."",""type"":""cumulative"",""image"":""/images/achievements/achievement-roster-coach-score-top.png"",""category"":""achievement"",""display_order"":1,""display_type"":""roster"",""display_format"":null,""is_positive"":1,""use_season_data"":0,""use_players"":0,""use_completed_seasons"":1,""created_at"":null,""updated_at"":null}"
Antdell & Ernie,achievements,98789209,3854,54762,achievement-roster-def-worst,"[{""achieved_week"":null,""achieved_season_id"":16824}]",,,"{""id"":3017,""league_id"":null,""key"":""achievement-roster-def-worst"",""name"":""Worst DEF Roster"",""sport"":""nfl"",""label"":"""",""description"":""Recognizes the manager who had the worst-scoring DEF roster in a season."",""type"":""cumulative"",""image"":""/images/achievements/achievement-roster-def-worst.png"",""category"":""achievement"",""display_order"":8,""display_type"":""roster"",""display_format"":null,""is_positive"":0,""use_season_data"":0,""use_players"":0,""use_completed_seasons"":1,""created_at"":null,""updated_at"":null}"
Antdell & Ernie,achievements,98789203,3854,54762,achievement-season-score-wood,"[{""achieved_week"":null,""achieved_season_id"":16824}]",,,"{""id"":2834,""league_id"":null,""key"":""achievement-season-score-wood"",""name"":""Wood Season"",""sport"":null,""label"":"""",""description"":""Awarded for earning a wood-level season score (60-70)."",""type"":""cumulative"",""image"":""/images/achievements/achievement-season-score-wood.png"",""category"":""achievement"",""display_order"":2,""display_type"":""season"",""display_format"":null,""is_positive"":0,""use_season_data"":0,""use_players"":0,""use_completed_seasons"":1,""created_at"":null,""updated_at"":null}"
Antdell & Ernie,achievements,98789153,3854,54762,achievement-transaction-trades-all-time-10,"[{""achieved_week"":null,""achieved_season_id"":62453}]",,,"{""id"":2938,""league_id"":null,""key"":""achievement-transaction-trades-all-time-10"",""name"":""Total Trades - 10"",""sport"":null,""label"":"""",""description"":""Completed ten trades all-time."",""type"":""cumulative"",""image"":""/images/achievements/badge-transaction-trade.png"",""category"":""achievement"",""display_order"":46,""display_type"":""draft-transaction"",""display_format"":null,""is_positive"":1,""use_season_data"":0,""use_players"":0,""use_completed_seasons"":0,""created_at"":null,""updated_at"":null}"
Antdell & Ernie,achievements,98789160,3854,54762,achievement-transaction-trades-all-time-25,"[{""achieved_week"":null,""achieved_season_id"":62453}]",,,"{""id"":2939,""league_id"":null,""key"":""achievement-transaction-trades-all-time-25"",""name"":""Total Trades - 25"",""sport"":null,""label"":"""",""description"":""Completed twenty-five trades all-time."",""type"":""cumulative"",""image"":""/images/achievements/badge-transaction-trade.png"",""category"":""achievement"",""display_order"":47,""display_type"":""draft-transaction"",""display_format"":null,""is_positive"":1,""use_season_data"":0,""use_players"":0,""use_completed_seasons"":0,""created_at"":null,""updated_at"":null}"
