id,league_id,league_member_id,key,achieved,created_at,updated_at,league_member,record_type
98789147,3854,108589,achievement-old-timer,"[{""achieved_week"":null,""achieved_season_id"":62453}]",,,"{""id"":108589,""league_id"":3854,""service_keys"":""[\""1131785934086807552\"",\""4UNKKLRAKMH7JADU5ALG6J3Q5D\"",\""371.l.351067-371.l.351067.t.5\"",\""IBK7J5AFRXF73EIY32A2BKREA4\""]"",""user_id"":null,""name"":""Phil Bal","{""id"":2846,""league_id"":null,""key"":""achievement-old-timer"",""name"":""Old Timer"",""sport"":null,""label"":"""",""description"":""Further recognition for reaching ten seasons of tenure with the league."",""type"":""cum"
98789148,3854,108581,achievement-transaction-trades-all-time-10,"[{""achieved_week"":null,""achieved_season_id"":62453}]",,,"{""id"":108581,""league_id"":3854,""service_keys"":""[\""740765967986204672\"",\""DVI37BOG3Y23KONPE3D35LLEPE\"",\""5F2NVVH2H4PSKBEK276EWNJ5YI\"",\""4S4NFYCFBCDZ34YMHWJDRYSBVI\""]"",""user_id"":null,""name"":""Richie"",""gen","{""id"":2938,""league_id"":null,""key"":""achievement-transaction-trades-all-time-10"",""name"":""Total Trades - 10"",""sport"":null,""label"":"""",""description"":""Completed ten trades all-time."",""type"":""cumulative"",""im"
98789149,3854,108582,achievement-transaction-trades-all-time-10,"[{""achieved_week"":null,""achieved_season_id"":62453}]",,,"{""id"":108582,""league_id"":3854,""service_keys"":""[\""1092593997857673216\"",\""UU2I4QPVEAJFXPZBBATARZTXNU\""]"",""user_id"":null,""name"":""John Juliano"",""gender"":""male"",""email"":null,""slug"":""john-juliano"",""photo"":","{""id"":2938,""league_id"":null,""key"":""achievement-transaction-trades-all-time-10"",""name"":""Total Trades - 10"",""sport"":null,""label"":"""",""description"":""Completed ten trades all-time."",""type"":""cumulative"",""im"
98789150,3854,54776,achievement-transaction-trades-all-time-10,"[{""achieved_week"":null,""achieved_season_id"":62453}]",,,"{""id"":54776,""league_id"":3854,""service_keys"":""[\""1092594622741770240\"",\""YJE3PK436GVUWD2SV7KPNR7VA7\""]"",""user_id"":null,""name"":""Mike Long"",""gender"":""male"",""email"":null,""slug"":""mike-long"",""photo"":""https:","{""id"":2938,""league_id"":null,""key"":""achievement-transaction-trades-all-time-10"",""name"":""Total Trades - 10"",""sport"":null,""label"":"""",""description"":""Completed ten trades all-time."",""type"":""cumulative"",""im"
98789151,3854,108584,achievement-transaction-trades-all-time-10,"[{""achieved_week"":null,""achieved_season_id"":62453}]",,,"{""id"":108584,""league_id"":3854,""service_keys"":""[\""1092594720267702272\"",\""NFLFDD2PBENIM7HNZPKLTH6IRA\""]"",""user_id"":null,""name"":""Nolan & Vinny"",""gender"":""male"",""email"":null,""slug"":""nolan-vinny"",""photo"":","{""id"":2938,""league_id"":null,""key"":""achievement-transaction-trades-all-time-10"",""name"":""Total Trades - 10"",""sport"":null,""label"":"""",""description"":""Completed ten trades all-time."",""type"":""cumulative"",""im"
98789152,3854,54774,achievement-transaction-trades-all-time-10,"[{""achieved_week"":null,""achieved_season_id"":62453}]",,,"{""id"":54774,""league_id"":3854,""service_keys"":""[\""G2VXD5H3N5DODXTS66CROUCQGA\"",\""KM3PO6YAHPHGBISLDRBA5XWFYE\"",\""460972700463001600\""]"",""user_id"":null,""name"":""Cambrias"",""gender"":""male"",""email"":null,""slug","{""id"":2938,""league_id"":null,""key"":""achievement-transaction-trades-all-time-10"",""name"":""Total Trades - 10"",""sport"":null,""label"":"""",""description"":""Completed ten trades all-time."",""type"":""cumulative"",""im"
98789153,3854,54762,achievement-transaction-trades-all-time-10,"[{""achieved_week"":null,""achieved_season_id"":62453}]",,,"{""id"":54762,""league_id"":3854,""service_keys"":""[\""SIM427IAFQEAX745FTIUJLNE6A\"",\""QSVPCSRZ7ROK5YIIU5QFHW26XQ\"",\""345197760305307648\""]"",""user_id"":7278,""name"":""Antdell & Ernie"",""gender"":null,""email"":null,","{""id"":2938,""league_id"":null,""key"":""achievement-transaction-trades-all-time-10"",""name"":""Total Trades - 10"",""sport"":null,""label"":"""",""description"":""Completed ten trades all-time."",""type"":""cumulative"",""im"
98789154,3854,108588,achievement-transaction-trades-all-time-10,"[{""achieved_week"":null,""achieved_season_id"":62453}]",,,"{""id"":108588,""league_id"":3854,""service_keys"":""[\""860741469600854016\"",\""WPHYGJWTUL5LHD3NKTF5L5X6EI\"",\""WWOO3FI33RWS4DVAT4B7BBH4MA\""]"",""user_id"":null,""name"":""Frank & Julian"",""gender"":""male"",""email"":nul","{""id"":2938,""league_id"":null,""key"":""achievement-transaction-trades-all-time-10"",""name"":""Total Trades - 10"",""sport"":null,""label"":"""",""description"":""Completed ten trades all-time."",""type"":""cumulative"",""im"
98789155,3854,108589,achievement-transaction-trades-all-time-10,"[{""achieved_week"":null,""achieved_season_id"":62453}]",,,"{""id"":108589,""league_id"":3854,""service_keys"":""[\""1131785934086807552\"",\""4UNKKLRAKMH7JADU5ALG6J3Q5D\"",\""371.l.351067-371.l.351067.t.5\"",\""IBK7J5AFRXF73EIY32A2BKREA4\""]"",""user_id"":null,""name"":""Phil Bal","{""id"":2938,""league_id"":null,""key"":""achievement-transaction-trades-all-time-10"",""name"":""Total Trades - 10"",""sport"":null,""label"":"""",""description"":""Completed ten trades all-time."",""type"":""cumulative"",""im"
98789156,3854,54773,achievement-transaction-trades-all-time-10,"[{""achieved_week"":null,""achieved_season_id"":62453}]",,,"{""id"":54773,""league_id"":3854,""service_keys"":""[\""872897363507855360\"",\""VLLK23ZDX6YGZP2LJSYBMDZB6U\"",\""HCKGMF5F77XCRT6QJHFN6XRS2Q\""]"",""user_id"":null,""name"":""Ronnie"",""gender"":""male"",""email"":null,""slug"":","{""id"":2938,""league_id"":null,""key"":""achievement-transaction-trades-all-time-10"",""name"":""Total Trades - 10"",""sport"":null,""label"":"""",""description"":""Completed ten trades all-time."",""type"":""cumulative"",""im"
