season,champion,runner_up,third,last_place
2026,lefty3 (0-0),Riley Reid Option (0-0),Rocksolid1018 (0-0),chrisanddom (0-0)
2025,Cambrias (18-10),Antdell & Ernie (17-11),Rob & GregBo (17-11),Phil Baldino (14-14)
2024,Phil Baldino (11-3),Cambrias (10-4),Rob & GregBo (10-4),Mike Long (4-10)
2023,Phil Baldino (12-2),Ronnie (7-7),Nolan & Vinny (9-5),Rob & GregBo (5-9)
2022,Cambrias (9-5),Richie (8-6),Mike Long (7-7),Chris & Dom (5-9)
2021,Rob & GregBo (9-5),Ronnie (12-2),Phil Baldino (8-6),Team JoeBa (5-9)
2020,Ronnie (10-3),Pung & Tralie (10-3),Frank & Julian (8-5),Team JoeBa (4-9)
2019,Cambrias (10-3),Richie (9-4),Chris & Dom (7-6),LFTLR (5-8)
2018,Phil Baldino (9-4),Frank & Julian (9-4),Nolan & Vinny (8-5),Ronnie (3-10)
2017,Richie (7-6),Chris & Dom (6-7),LFTLR (9-4),Phil Baldino (6-7)
2016,Chris & Dom (9-4),Team JoeBa (10-3),Pung & Tralie (7-6),Cambrias (4-9)
2015,Chris & Dom (11-2),Cambrias (11-2),Team JoeBa (9-4),Ronnie (4-9)
2014,GaTTa (10-3),Cambrias (8-5),Ronnie (11-2),Frank & Julian (4-9)
2013,Ronnie (8-5),LFTLR (8-5),GaTTa (9-4),Antdell & Ernie (6-7)
