season,week,date,type,team,trade_partner,player_added,position_added,value_added,player_dropped,position_dropped,value_dropped,faab_bid,waiver_priority,value,trade_initiator,items_gained,items_lost,transaction_id,service_key
2025,16,2025-12-22 11:37:19,add/drop,Cambrias,,Rhamondre Stevenson,RB,2.64,Devin Neal,RB,-2.66,2,,2.64,0,Rhamondre Stevenson (RB/NE) [2.64],Devin Neal (RB/NO) [-2.66],22442919,1308794521865195520
2025,16,2025-12-21 20:56:59,add/drop,Cambrias,,Michael Carter,RB,-1.15,Jayden Higgins,WR,-0.44,,,0,0,Michael Carter (RB/ARI) [-1.15],Jayden Higgins (WR/HOU) [-0.44],22442920,1308572979805827073
2025,16,2025-12-21 04:48:43,add/drop,Rob & GregBo,,Minnesota Vikings,DEF,2.35,Tyrod Taylor,QB,-3.55,,,2.35,0,Minnesota Vikings (DEF/MIN) [2.35],Tyrod Taylor (QB/NYJ) [-3.55],22442921,1308329304374902784
2025,16,2025-12-19 21:23:23,add/drop,Antdell & Ernie,,Andres Borregales,K,0,Chris Boswell,K,0,,,0,0,Andres Borregales (K/NE) [0],Chris Boswell (K/PIT) [0],22442922,1307854844639346688
2025,16,2025-12-18 05:35:39,add/drop,Rob & GregBo,,Eddy Pineiro,K,0,Matt Prater,K,0,,,0,0,Eddy Pineiro (K/CAR) [0],Matt Prater (K/BUF) [0],22442923,1307253954400256000
2025,16,2025-12-17 21:13:50,add/drop,Mike Long,,Jalen Coker,WR,-1.4,Brian Robinson,RB,-1.98,,,0,0,Jalen Coker (WR/CAR) [-1.4],Brian Robinson (RB/SF) [-1.98],22442924,1307127669602660352
2025,15,2025-12-16 18:23:50,add/drop,Antdell & Ernie,,New Orleans Saints,DEF,3,Tampa Bay Buccaneers,DEF,-1.94,,,3,0,New Orleans Saints (DEF/NO) [3],Tampa Bay Buccaneers (DEF/TB) [-1.94],22442912,1306722498481524736
2025,15,2025-12-14 20:10:59,add/drop,Mike Long,,Trevor Lawrence,QB,7.93,J.J. McCarthy,QB,-3.85,20,,7.93,0,Trevor Lawrence (QB/JAX) [7.93],J.J. McCarthy (QB/MIN) [-3.85],22442913,1306024688450801665
2025,15,2025-12-14 15:02:43,add/drop,Chris & Dom,,Andrei Iosivas,WR,-4.06,Jaylen Wright,RB,-2.82,,,0,0,Andrei Iosivas (WR/CIN) [-4.06],Jaylen Wright (RB/MIA) [-2.82],22442914,1305947109660323840
2025,15,2025-12-13 21:06:13,add/drop,Mike Long,,Brian Robinson,RB,-4.96,Marquise Brown,WR,-4.82,,,0,0,Brian Robinson (RB/SF) [-4.96],Marquise Brown (WR/KC) [-4.82],22442915,1305676198617059328
2025,15,2025-12-11 12:13:27,add/drop,Nolan & Vinny,,Dallas Cowboys,DEF,-2.82,Isaac TeSlaa,WR,-0.9,,,0,0,Dallas Cowboys (DEF/DAL) [-2.82],Isaac TeSlaa (WR/DET) [-0.9],22442916,1304817350251380736
2025,15,2025-12-11 10:01:31,add/drop,Mike Long,,J.J. McCarthy,QB,-3.85,Trevor Lawrence,QB,7.93,,,-7.93,0,J.J. McCarthy (QB/MIN) [-3.85],Trevor Lawrence (QB/JAX) [7.93],22442917,1304784145372700672
2025,15,2025-12-10 10:46:20,add/drop,Chris & Dom,,Jaylen Wright,RB,-2.82,Adonai Mitchell,WR,-0.76,2,,0,0,Jaylen Wright (RB/MIA) [-2.82],Adonai Mitchell (WR/IND) [-0.76],22442918,1304433037349486592
2025,14,2025-12-09 05:08:48,add/drop,Cambrias,,Devin Neal,RB,-10.28,Tank Bigsby,RB,-6.12,,,0,0,Devin Neal (RB/NO) [-10.28],Tank Bigsby (RB/JAX) [-6.12],22442899,1303985706447699968
2025,14,2025-12-09 05:05:15,add/drop,Cambrias,,New England Patriots,DEF,-4,Daniel Jones,QB,-15.51,3,,0,0,New England Patriots (DEF/NE) [-4],Daniel Jones (QB/IND) [-15.51],22442900,1303984812905734144
2025,14,2025-12-08 20:37:26,add/drop,Richie,,Jacksonville Jaguars,DEF,1.41,Troy Franklin,WR,-0.64,2,,1.41,0,Jacksonville Jaguars (DEF/JAX) [1.41],Troy Franklin (WR/DEN) [-0.64],22442901,1303857017219186688
