team,caller,role,first_time,replaces,source_url,source_date,confirmed_by,tag
ARI,Mike LaFleur,HC,0,Petzing,https://www.nfl.com/news/nfl-head-coach-openings-tracker,2026-02-20,tracker cross-check,REPORTED
ATL,Tommy Rees,OC,0,Zac Robinson,https://www.atlantafalcons.com/news/tommy-rees-offensive-play-caller-kevin-stefanski,2026-01-28,team site,VERIFIED-LIVE
BAL,Declan Doyle,OC,1,Todd Monken,https://www.foxsports.com/stories/nfl/2026-nfl-coaching-tracker,2026-02-20,tracker cross-check,REPORTED
BUF,Joe Brady,HC,0,(was OC),https://www.foxsports.com/stories/nfl/2026-nfl-coaching-tracker,2026-02-20,tracker cross-check,REPORTED
CAR,Brad Idzik,OC,1,prior caller,https://www.panthers.com,2026-02-24,team site (addendum),VERIFIED-LIVE
CLE,Todd Monken,HC,0,Stefanski/Rees,https://www.clevelandbrowns.com/news/todd-monken-named-browns-head-coach,2026-01-28,team site,SOURCED
DEN,Davis Webb,OC,1,Sean Payton,https://www.denverbroncos.com/news/i-wouldn-t-do-it-if-i-didn-t-think-it-was-going-to-help-our-team-,2026-02-24,Payton quote (addendum),VERIFIED-LIVE
DET,Drew Petzing,OC,0,John Morton,https://www.foxsports.com/stories/nfl/2026-nfl-coaching-tracker,2026-02-20,tracker cross-check,REPORTED
LAC,Mike McDaniel,OC,0,Greg Roman,https://www.foxsports.com/stories/nfl/2026-nfl-coaching-tracker,2026-02-20,tracker cross-check,REPORTED
LV,Klint Kubiak,HC,0,Chip Kelly,https://www.foxsports.com/stories/nfl/2026-nfl-coaching-tracker,2026-02-20,tracker cross-check,REPORTED
MIA,Bobby Slowik,OC,0,Mike McDaniel,https://www.foxsports.com/stories/nfl/2026-nfl-coaching-tracker,2026-02-20,tracker cross-check,REPORTED
NYG,Matt Nagy,OC,0,Daboll/Kafka,https://www.giants.com/news/john-harbaugh-announces-2026-coaching-staff-coordinators-matt-nagy-denna,2026-02-01,team site,SOURCED
NYJ,Frank Reich,OC,0,Tanner Engstrand,https://www.foxsports.com/stories/nfl/2026-nfl-coaching-tracker,2026-02-04,tracker cross-check,REPORTED
PHI,Sean Mannion,OC,1,Kevin Patullo,https://www.foxsports.com/stories/nfl/2026-nfl-coaching-tracker,2026-02-20,tracker cross-check,REPORTED
PIT,Mike McCarthy,HC,0,Arthur Smith,https://www.steelers.com/news/asked-and-answered-june-16-x5829,2026-06-16,team site,VERIFIED-LIVE
SEA,Brian Fleury,OC,1,Klint Kubiak,https://www.foxsports.com/stories/nfl/2026-nfl-coaching-tracker,2026-02-20,tracker cross-check,REPORTED
TB,Zac Robinson,OC,0,Josh Grizzard,https://www.foxsports.com/stories/nfl/2026-nfl-coaching-tracker,2026-02-20,tracker cross-check,REPORTED
TEN,Brian Daboll,OC,0,Nick Holz,https://www.tennesseetitans.com/news/titans-hire-brian-daboll-as-offensive-coordinator,2026-01-27,team site,SOURCED
WAS,David Blough,OC,1,Kliff Kingsbury,https://www.commanders.com/news/david-blough-builds-commanders-playbook,2026-02-20,team site,VERIFIED-LIVE
