"season","week","player_id","full_name","position","posteam","receptions","receptions_exp","rush_attempt","rec_attempt","rush_yards_gained","rush_yards_gained_exp","rush_touchdown","rush_touchdown_exp","rec_touchdown","rec_touchdown_exp","rec_yards_gained","rec_yards_gained_exp","total_fantasy_points","total_fantasy_points_exp","total_fantasy_points_diff","total_touchdown_diff","expected_td_equity","team_rush_att","backfield_command","target_volume"
,,,,,,,,,,,,,,,,,,,,,,0,,,0
"2020",1,"00-0031687","Raheem Mostert","RB","SF",4,3.43,15,5,56,68.57,0,0.61,1,0.02,95,31.28,25.1,17.19,7.91,0.37,0.63,23,0.652173913043478,3.715
"2020",1,"00-0033118","Kenyan Drake","RB","ARI",2,1.7,16,2,60,69.15,1,0.64,0,0,5,10.46,14.5,13.5,1,0.36,0.64,22,0.727272727272727,1.85
"2020",1,"00-0034681","Chase Edmonds","RB","ARI",3,4,6,5,26,28.4,0,0.02,1,0.28,19,29.27,13.5,11.61,1.89,0.7,0.3,22,0.272727272727273,3.5
"2020",1,"00-0031376","Jerick McKinnon","RB","SF",3,3.43,3,5,24,12.51,0,0.21,1,0.45,20,31.78,13.4,11.79,1.61,0.34,0.66,23,0.130434782608696,3.215
,,,,,,,,,,,,,,,,,,,,,,0,,,0
"2020",1,"00-0032058","Tevin Coleman","RB","SF",1,1.51,4,2,18,18.5,0,0.02,0,0.01,6,14.74,3.4,4.98,-1.58,-0.03,0.03,23,0.173913043478261,1.255
"2020",1,"00-0029892","Kyle Juszczyk","RB","SF",1,1.33,1,2,7,3.92,0,0,0,0.01,41,19.06,5.8,3.71,2.09,-0.01,0.01,23,0.0434782608695652,1.165
,,,,,,,,,,,,,,,,,,,,,,0,,,0
"2020",1,"00-0035685","David Montgomery","RB","CHI",1,2.42,13,3,64,58.98,0,0.03,0,0.59,10,14.01,8.4,13.45,-5.05,-0.62,0.62,20,0.65,1.71
"2020",1,"00-0025394","Adrian Peterson","RB","DET",3,2.52,14,3,93,60.16,0,0.33,0,0.01,21,22.44,14.4,12.78,1.62,-0.34,0.34,24,0.583333333333333,2.76
"2020",1,"00-0033556","Tarik Cohen","RB","CHI",2,1.7,7,2,41,31.21,0,0.07,0,0.07,6,9.42,6.7,6.58,0.119999999999999,-0.14,0.14,20,0.35,1.85
"2020",1,"00-0036275","D'Andre Swift","RB","DET",3,3.31,3,5,8,10.44,1,0.64,0,0.27,15,28.42,11.3,12.64,-1.34,0.09,0.91,24,0.125,3.155
,,,,,,,,,,,,,,,,,,,,,,0,,,0
"2020",1,"00-0034791","Nick Chubb","RB","CLE",1,0.45,10,1,60,46.31,0,0.02,0,0,6,5.02,5.6,5.74,-0.14,-0.02,0.02,24,0.416666666666667,0.725
"2020",1,"00-0033923","Kareem Hunt","RB","CLE",4,4.78,13,6,72,57.38,0,0.42,0,0.04,9,33.37,12.1,16.64,-4.54,-0.46,0.46,24,0.541666666666667,4.39
,,,,,,,,,,,,,,,,,,,,,,0,,,0
,,,,,,,,,,,,,,,,,,,,,,0,,,0
"2020",1,"00-0033376","Patrick Ricard","RB","BAL",1,0.77,1,1,-1,2.38,0,0.08,0,0,9,5.76,-0.2,2.08,-2.28,-0.08,0.08,22,0.0454545454545455,0.885
"2020",1,"00-0033045","Ezekiel Elliott","RB","DAL",3,3.3,22,4,96,90.1,1,1.3,1,0.06,31,26.22,27.7,23.09,4.61,0.64,1.36,24,0.916666666666667,3.15
"2020",1,"00-0035261","Tony Pollard","RB","DAL",2,2.54,2,3,10,8.49,0,0.03,0,0.01,22,20.25,5.2,5.64,-0.44,-0.04,0.04,24,0.0833333333333333,2.27
"2020",1,"00-0031806","Malcolm Brown","RB","LA",3,3.53,18,4,79,72.45,2,1.37,0,0.07,31,25.87,26,21.95,4.05,0.56,1.44,35,0.514285714285714,3.265
"2020",1,"00-0036414","Cam Akers","RB","LA",1,0.81,14,1,39,60.73,0,0.36,0,0.01,4,6.87,5.3,9.79,-4.49,-0.37,0.37,35,0.4,0.905
,,,,,,,,,,,,,,,,,,,,,,0,,,0
,,,,,,,,,,,,,,,,,,,,,,0,,,0
"2020",1,"00-0033293","Aaron Jones","RB","GB",4,4.19,16,6,66,62.51,1,1.17,0,1.47,10,25.53,17.6,28.82,-11.22,-1.64,2.64,28,0.571428571428571,4.095
