"season","week","player_id","full_name","position","posteam","receptions","receptions_exp","rec_attempt","rec_air_yards","rec_yards_gained","rec_yards_gained_exp","rec_touchdown","rec_touchdown_exp","total_fantasy_points","total_fantasy_points_exp","total_fantasy_points_diff","total_touchdown_diff","route_participation_proxy","team_rec_yds_exp","receiving_market_share"
"2020",1,"00-0033288","George Kittle","TE","SF",4,3.93,5,26,44,38.61,0,0.23,9.3,10.28,-0.98,-0.32,3.93,50.02,0.771891243502599
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0030472","Jordan Reed","TE","SF",2,1.6,2,5,12,11.41,0,0.02,3.2,2.83,0.37,-0.02,1.6,50.02,0.228108756497401
"2020",1,"00-0031558","Maxx Williams","TE","ARI",0,1.66,2,2,0,11.75,0,0,0,2.86,-2.86,0,1.66,25.29,0.464610517991301
"2020",1,"00-0034011","Dan Arnold","TE","ARI",2,1.62,2,6,21,13.54,0,0,4.1,2.99,1.11,0,1.62,25.29,0.535389482008699
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0027696","Jimmy Graham","TE","CHI",3,4.25,7,37,25,36.71,1,0.97,11.5,13.76,-2.26,0.03,4.25,46.36,0.791846419327006
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0035229","T.J. Hockenson","TE","DET",5,3.42,5,22,56,28.39,1,0.62,16.6,10,6.6,0.38,3.42,28.39,1
"2020",1,"00-0036290","Cole Kmet","TE","CHI",0,0.48,1,9,0,4.37,0,0.28,0,2.57,-2.57,-0.28,0.48,46.36,0.0942622950819672
"2020",1,"00-0030155","Demetrius Harris","TE","CHI",0,0.41,1,13,0,5.28,0,0.41,0,3.37,-3.37,-0.41,0.41,46.36,0.113891285591027
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0036232","Harrison Bryant","TE","CLE",1,1.49,2,9,5,14.08,0,0,1.5,2.91,-1.41,0,1.49,59.18,0.237918215613383
"2020",1,"00-0034753","Mark Andrews","TE","BAL",5,3.18,6,63,58,43.12,2,1.41,22.8,15.94,6.86,0.59,3.18,64.06,0.673118950983453
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0032392","Austin Hooper","TE","CLE",2,1.29,2,15,15,14.31,0,0.01,3.5,2.79,0.71,-0.01,1.29,59.18,0.241804663737749
"2020",1,"00-0033885","David Njoku","TE","CLE",3,1.58,3,43,50,25.86,1,0.57,14,7.57,6.43,0.43,1.58,59.18,0.436971949983102
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0031598","Nick Boyle","TE","BAL",2,2.47,3,8,3,20.94,0,0.01,2.3,4.65,-2.35,-0.01,2.47,64.06,0.326881049016547
"2020",1,"00-0035039","Stephen Carlson","TE","CLE",0,0.65,1,0,0,4.93,0,0.01,0,1.2,-1.2,-0.01,0.65,59.18,0.0833051706657655
"2020",1,"00-0033110","Tyler Higbee","TE","LA",3,2.87,4,30,40,32.88,0,0.02,7,6.29,0.71,-0.02,2.87,51.81,0.634626519976838
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0033895","Gerald Everett","TE","LA",1,1.51,2,16,7,18.93,0,0.01,1.7,3.45,-1.75,-0.01,1.51,51.81,0.365373480023162
"2020",1,"00-0033658","Blake Jarwin","TE","DAL",1,0.71,1,12,12,11.35,0,0,2.2,1.86,0.34,0,0.71,37.4,0.303475935828877
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0034383","Dalton Schultz","TE","DAL",1,3.2,4,14,11,26.05,0,0.13,2.1,6.61,-4.51,-0.13,3.2,37.4,0.696524064171123
"2020",1,"00-0035671","Jace Sternberger","TE","GB",0,0.38,1,33,0,14.13,0,0.05,0,2.07,-2.07,-0.05,0.38,34.19,0.413278736472653
"2020",1,"00-0036332","Josiah Deguara","TE","GB",1,1.32,2,24,12,20.06,0,0.05,2.2,3.64,-1.44,-0.05,1.32,34.19,0.586721263527347
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0027981","Kyle Rudolph","TE","MIN",2,1.45,2,22,28,20.8,0,0.01,4.8,3.58,1.22,-0.01,1.45,30.81,0.675105485232067
"2020",1,"00-0034970","Irv Smith","TE","MIN",1,0.65,1,11,11,10.01,0,0.01,2.1,1.68,0.42,-0.01,0.65,30.81,0.324894514767932
"2020",1,"00-0030506","Travis Kelce","TE","KC",6,4.3,6,14,50,31.33,1,0.71,17,11.71,5.29,0.29,4.3,31.33,1
"2020",1,"00-0029738","Darren Fells","TE","HOU",2,1.6,2,6,19,13.67,0,0,3.9,3,0.9,0,1.6,26.85,0.509124767225326
"2020",1,"00-0034364","Jordan Akins","TE","HOU",2,1.12,2,24,39,13.18,1,0.34,11.9,4.51,7.39,0.66,1.12,26.85,0.490875232774674
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0030181","Jack Doyle","TE","IND",3,2.67,4,43,49,38.63,0,0.53,7.9,9.71,-1.81,-0.53,2.67,51.51,0.749951465734809
"2020",1,"00-0033217","Mo Alie-Cox","TE","IND",2,1.6,2,6,20,12.88,0,0.03,4,3.05,0.95,-0.03,1.6,51.51,0.250048534265191
"2020",1,"00-0031951","James O'Shaughnessy","TE","JAX",1,0.86,1,-2,0,5.03,0,0,1,1.38,-0.38,0,0.86,11.26,0.446714031971581
"2020",1,"00-0030549","Tyler Eifert","TE","JAX",1,0.81,1,1,8,6.23,0,0,1.8,1.45,0.35,0,0.81,11.26,0.553285968028419
"2020",1,"00-0035631","Drew Sample","TE","CIN",1,0.8,1,0,7,6.15,0,0,1.7,1.42,0.28,0,0.8,42.86,0.143490433971069
"2020",1,"00-0033090","Hunter Henry","TE","LAC",5,4.81,8,73,73,60.94,0,0.79,12.3,15.67,-3.37,-0.79,4.81,77.74,0.783895034731155
"2020",1,"00-0032134","C.J. Uzomah","TE","CIN",4,3.23,5,46,45,36.71,0,0.4,8.5,9.32,-0.82,-0.4,3.23,42.86,0.856509566028931
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0028142","Virgil Green","TE","LAC",1,1.61,2,11,10,16.8,0,0.01,2,3.33,-1.33,-0.01,1.61,77.74,0.216104965268845
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0031610","Darren Waller","TE","LV",6,6.1,8,30,45,58.77,0,0.07,10.5,12.38,-1.88,-0.07,6.1,60.8,0.966611842105263
"2020",1,"00-0022127","Jason Witten","TE","LV",1,0.67,1,2,2,2.03,0,0.4,1.2,3.26,-2.06,-0.4,0.67,60.8,0.0333881578947368
"2020",1,"00-0031484","Chris Manhertz","TE","CAR",1,0.88,1,-3,4,6.41,0,0.02,1.4,1.64,-0.24,-0.02,0.88,21.54,0.297585886722377
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0034365","Ian Thomas","TE","CAR",2,1.45,2,12,16,15.13,0,0.01,3.6,3.01,0.59,-0.01,1.45,21.54,0.702414113277623
"2020",1,"00-0034439","Ryan Izzo","TE","NE",1,1.41,2,17,25,17.89,0,0.01,3.5,3.23,0.27,-0.01,1.41,17.89,1
"2020",1,"00-0034829","Mike Gesicki","TE","MIA",3,2.71,5,56,30,37.21,0,0.28,6,8.14,-2.14,-0.28,2.71,37.21,1
"2020",1,"00-0034766","Christopher Herndon","TE","NYJ",6,4.46,7,47,37,46.12,0,0.03,7.7,9.23,-1.53,-0.03,4.46,46.12,1
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0035689","Dawson Knox","TE","BUF",2,1.73,3,18,26,17.03,0,0.48,4.6,6.32,-1.72,-0.48,1.73,17.03,1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0034351","Dallas Goedert","TE","PHI",8,6.62,9,57,101,69.19,1,0.28,24.1,15.2,8.9,0.72,6.62,125.25,0.552415169660679
"2020",1,"00-0030061","Zach Ertz","TE","PHI",3,4.57,7,57,18,56.06,1,0.77,10.8,14.78,-3.98,0.23,4.57,125.25,0.447584830339321
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0031260","Logan Thomas","TE","WAS",4,4.59,8,72,37,53.4,1,0.92,13.7,15.48,-1.78,0.08,4.59,53.4,1
"2020",1,"00-0033881","Evan Engram","TE","NYG",2,4.67,7,33,9,39.19,0,0.52,2.9,11.72,-8.82,-0.52,4.67,58.76,0.666950306330837
"2020",1,"00-0034988","Kaden Smith","TE","NYG",2,1.61,2,4,17,11.21,0,0.03,3.7,2.91,0.79,-0.03,1.61,58.76,0.190776038121171
"2020",1,"00-0030470","Vance McDonald","TE","PIT",1,1.55,2,3,3,9.59,0,0.06,1.3,2.89,-1.59,-0.06,1.55,34.58,0.277327935222672
"2020",1,"00-0031387","Eric Ebron","TE","PIT",1,1.07,2,39,18,24.99,0,0.04,2.8,3.78,-0.98,-0.04,1.07,34.58,0.722672064777328
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0030443","Levine Toilolo","TE","NYG",1,0.77,1,5,13,8.36,0,0,2.3,1.61,0.69,0,0.77,58.76,0.142273655547992
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0025418","Greg Olsen","TE","SEA",4,2.55,4,19,24,22.65,1,0.5,12.4,7.8,4.6,0.5,2.55,41.62,0.544209514656415
"2020",1,"00-0034830","Hayden Hurst","TE","ATL",3,3.28,5,58,38,45.46,0,0.05,6.8,9.25,-2.45,-0.05,3.28,53.82,0.844667409884801
"2020",1,"00-0034159","Will Dissly","TE","SEA",2,1.73,2,1,8,13.32,0,0.01,2.8,3.09,-0.29,-0.01,1.73,41.62,0.320038443056223
"2020",1,"00-0028042","Luke Stocker","TE","ATL",0,0.83,1,5,0,8.36,0,0,0,1.68,-1.68,0,0.83,53.82,0.155332590115199
"2020",1,"00-0033387","Jacob Hollister","TE","SEA",1,0.82,1,2,9,5.65,0,0,1.9,1.4,0.5,0,0.82,41.62,0.135752042287362
"2020",1,"00-0027061","Jared Cook","TE","NO",5,4.48,7,76,80,59.06,0,0.11,13,11.06,1.94,-0.11,4.48,67.64,0.873151981076286
"2020",1,"00-0030216","Josh Hill","TE","NO",0,0.38,1,22,0,8.58,0,0.38,0,3.5,-3.5,-0.38,0.38,67.64,0.126848018923714
"2020",1,"00-0027656","Rob Gronkowski","TE","TB",2,2.05,3,22,11,22.52,0,0.02,3.1,4.43,-1.33,-0.02,2.05,79.14,0.284559009350518
"2020",1,"00-0031273","Cameron Brate","TE","TB",0,0.8,1,6,0,7.85,0,0.01,0,1.63,-1.63,-0.01,0.8,79.14,0.0991913065453626
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0033879","O.J. Howard","TE","TB",4,3.48,6,75,36,48.77,1,0.43,13.6,10.93,2.67,0.57,3.48,79.14,0.616249684104119
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0033858","Jonnu Smith","TE","TEN",4,5.36,7,13,36,36.48,1,0.63,13.6,12.82,0.779999999999999,0.37,5.36,48.63,0.750154225786552
"2020",1,"00-0035644","Noah Fant","TE","DEN",5,3.71,6,56,81,43.05,1,0.39,19.1,10.38,8.72,0.61,3.71,57.92,0.743266574585635
"2020",1,"00-0032394","Nick Vannett","TE","DEN",1,1.32,2,-5,-6,5.33,0,0.48,0.4,4.73,-4.33,-0.48,1.32,57.92,0.0920234806629834
"2020",1,"00-0031585","MyCole Pruitt","TE","TEN",1,0.54,1,1,1,0.49,1,0.54,7.1,3.86,3.24,0.46,0.54,48.63,0.0100760847213654
"2020",1,"00-0033564","Jake Butt","TE","DEN",1,1.62,2,3,0,9.54,0,0.59,1,6.13,-5.13,-0.59,1.62,57.92,0.164709944751381
"2020",1,"00-0033455","Anthony Firkser","TE","TEN",2,1.62,2,3,5,11.66,0,0.04,2.5,3,-0.5,-0.04,1.62,48.63,0.239769689492083
,,,,,,,,,,,,,,,,,,,,
"2020",2,"00-0034383","Dalton Schultz","TE","DAL",9,7.36,10,44,88,61.91,1,0.84,21.8,18.58,3.22,0.16,7.36,84.87,0.729468599033816
"2020",2,"00-0034830","Hayden Hurst","TE","ATL",5,5.71,8,60,72,71.7,1,0.59,18.2,16.4,1.8,0.41,5.71,71.7,1
"2020",2,"00-0032062","Blake Bell","TE","DAL",2,1.8,3,29,34,22.96,0,0.03,5.4,4.29,1.11,-0.03,1.8,84.87,0.270531400966184
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"2020",2,"00-0034364","Jordan Akins","TE","HOU",7,5.7,7,19,55,46.52,0,0.01,12.5,10.42,2.08,-0.01,5.7,76.56,0.607628004179728
"2020",2,"00-0034753","Mark Andrews","TE","BAL",1,1.81,3,38,29,27.52,0,0.5,3.9,7.54,-3.64,-0.5,1.81,33.45,0.822720478325859
,,,,,,,,,,,,,,,,,,,,
"2020",2,"00-0029738","Darren Fells","TE","HOU",2,2.57,4,31,23,30.04,1,0.46,10.3,8.34,1.96,0.54,2.57,76.56,0.392371995820272
"2020",2,"00-0031598","Nick Boyle","TE","BAL",1,0.73,1,6,11,5.93,0,0.16,2.1,2.3,-0.2,-0.16,0.73,33.45,0.17727952167414
,,,,,,,,,,,,,,,,,,,,
