"season","week","player_id","full_name","position","posteam","receptions","receptions_exp","rec_attempt","rec_air_yards","rec_yards_gained","rec_yards_gained_exp","rec_touchdown","rec_touchdown_exp","total_fantasy_points","total_fantasy_points_exp","total_fantasy_points_diff","total_touchdown_diff","tprr_proxy","yprr_proxy","team_targets","first_read_share","team_rec_exp","vacated_targets"
"2020",1,"00-0030564","DeAndre Hopkins","WR","ARI",14,11.56,16,103,151,118.96,0,0.1,29.1,24.03,5.07,-0.1,1.3840830449827,10.2906574394464,26,0.615384615384615,18.35,6.79
"2020",1,"00-0022921","Larry Fitzgerald","WR","ARI",4,3.88,5,15,34,32.6,0,0.01,7.4,7.22,0.180000000000001,-0.01,1.28865979381443,8.4020618556701,26,0.192307692307692,18.35,14.47
,,,,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0034775","Christian Kirk","WR","ARI",1,2.91,5,70,0,45.44,0,0.06,1,7.79,-6.79,-0.06,1.71821305841924,15.6151202749141,26,0.192307692307692,18.35,15.44
"2020",1,"00-0033292","Trent Taylor","WR","SF",2,3.07,5,33,7,25.7,0,0.5,2.7,8.62,-5.92,-0.5,1.62866449511401,8.371335504886,11,0.454545454545455,6.12,3.05
"2020",1,"00-0033307","Kendrick Bourne","WR","SF",2,2.72,5,58,34,37.7,0,0.74,5.4,10.94,-5.54,-0.74,1.83823529411765,13.8602941176471,11,0.454545454545455,6.12,3.4
"2020",1,"00-0034860","Dante Pettis","WR","SF",0,0.33,1,34,0,11.93,0,0.27,0,3.14,-3.14,-0.27,3.03030303030303,36.1515151515151,11,0.0909090909090909,6.12,5.79
,,,,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0036277","Quintez Cephus","WR","DET",3,5.77,10,129,43,86.02,0,0.76,7.3,18.96,-11.66,-0.76,1.73310225303293,14.9081455805893,28,0.357142857142857,17.05,11.28
"2020",1,"00-0031428","Allen Robinson","WR","CHI",5,5.01,9,144,74,85.11,0,0.66,12.3,18.28,-5.98,-0.68,1.79640718562874,16.9880239520958,21,0.428571428571429,11.88,6.87
,,,,,,,,,,,,,,,,,,,,,,,
"2020",1,"00-0026035","Danny Amendola","WR","DET",5,4.83,7,67,81,60.25,0,0.03,13.1,11.05,2.05,-0.03,1.44927536231884,12.4741200828157,28,0.25,17.05,12.22
"2020",1,"00-0036309","Darnell Mooney","WR","CHI",3,1.91,3,25,38,26.49,0,0.02,6.8,4.71,2.09,-0.02,1.57068062827225,13.869109947644,21,0.142857142857143,11.88,9.97
