"season","player_id","full_name","position","posteam","pass_attempt","rec_attempt","rush_attempt","pass_air_yards","rec_air_yards","pass_completions","receptions","pass_completions_exp","receptions_exp","pass_yards_gained","rec_yards_gained","rush_yards_gained","pass_yards_gained_exp","rec_yards_gained_exp","rush_yards_gained_exp","pass_touchdown","rec_touchdown","rush_touchdown","pass_touchdown_exp","rec_touchdown_exp","rush_touchdown_exp","pass_two_point_conv","rec_two_point_conv","rush_two_point_conv","pass_two_point_conv_exp","rec_two_point_conv_exp","rush_two_point_conv_exp","pass_first_down","rec_first_down","rush_first_down","pass_first_down_exp","rec_first_down_exp","rush_first_down_exp","pass_interception","rec_interception","pass_interception_exp","rec_interception_exp","rec_fumble_lost","rush_fumble_lost","pass_fantasy_points_exp","rec_fantasy_points_exp","rush_fantasy_points_exp","pass_fantasy_points","rec_fantasy_points","rush_fantasy_points","total_yards_gained","total_yards_gained_exp","total_touchdown","total_touchdown_exp","total_first_down","total_first_down_exp","total_fantasy_points","total_fantasy_points_exp","pass_completions_diff","receptions_diff","pass_yards_gained_diff","rec_yards_gained_diff","rush_yards_gained_diff","pass_touchdown_diff","rec_touchdown_diff","rush_touchdown_diff","pass_two_point_conv_diff","rec_two_point_conv_diff","rush_two_point_conv_diff","pass_first_down_diff","rec_first_down_diff","rush_first_down_diff","pass_interception_diff","rec_interception_diff","pass_fantasy_points_diff","rec_fantasy_points_diff","rush_fantasy_points_diff","total_yards_gained_diff","total_touchdown_diff","total_first_down_diff","total_fantasy_points_diff","pass_attempt_team","rec_attempt_team","rush_attempt_team","pass_air_yards_team","rec_air_yards_team","pass_completions_team","receptions_team","pass_completions_exp_team","receptions_exp_team","pass_yards_gained_team","rec_yards_gained_team","rush_yards_gained_team","pass_yards_gained_exp_team","rec_yards_gained_exp_team","rush_yards_gained_exp_team","pass_touchdown_team","rec_touchdown_team","rush_touchdown_team","pass_touchdown_exp_team","rec_touchdown_exp_team","rush_touchdown_exp_team","pass_two_point_conv_team","rec_two_point_conv_team","rush_two_point_conv_team","pass_two_point_conv_exp_team","rec_two_point_conv_exp_team","rush_two_point_conv_exp_team","pass_first_down_team","rec_first_down_team","rush_first_down_team","pass_first_down_exp_team","rec_first_down_exp_team","rush_first_down_exp_team","pass_interception_team","rec_interception_team","pass_interception_exp_team","rec_interception_exp_team","rec_fumble_lost_team","rush_fumble_lost_team","pass_fantasy_points_exp_team","rec_fantasy_points_exp_team","rush_fantasy_points_exp_team","pass_fantasy_points_team","rec_fantasy_points_team","rush_fantasy_points_team","pass_completions_diff_team","receptions_diff_team","pass_yards_gained_diff_team","rec_yards_gained_diff_team","rush_yards_gained_diff_team","pass_touchdown_diff_team","rec_touchdown_diff_team","rush_touchdown_diff_team","pass_two_point_conv_diff_team","rec_two_point_conv_diff_team","rush_two_point_conv_diff_team","pass_first_down_diff_team","rec_first_down_diff_team","rush_first_down_diff_team","pass_interception_diff_team","rec_interception_diff_team","pass_fantasy_points_diff_team","rec_fantasy_points_diff_team","rush_fantasy_points_diff_team","total_yards_gained_team","total_yards_gained_exp_team","total_yards_gained_diff_team","total_touchdown_team","total_touchdown_exp_team","total_touchdown_diff_team","total_first_down_team","total_first_down_exp_team","total_first_down_diff_team","total_fantasy_points_team","total_fantasy_points_exp_team","total_fantasy_points_diff_team","games"
"2021","00-0029747","Chris Banjo","DB","ARI",1,0,0,19,0,1,0,0.65,0,23,0,0,17.19,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,1,0,0,0.7,0,0,0,0,0.02,0,0,0,0.75,0,0,0.92,0,0,23,17.19,0,0.03,1,0.7,0.92,0.75,0.35,0,5.81,0,0,-0.03,0,0,0,0,0,0.3,0,0,-0.02,0,0.17,0,0,5.81,-0.03,0.3,0.17,39,39,32,358,358,27,27,25.92,25.92,286,286,127,306.17,306.17,133.46,2,2,0,3.19,3.19,0.79,0,0,0,0.65,0.65,0,12,12,9,14.72,14.72,6.53,0,0,0.69,0.68,0,0,24.92,76.96,18.14,19.44,67.6,12.7,1.08,1.08,-20.17,-20.17,-6.46,-1.19,-1.19,-0.79,-0.65,-0.65,0,-2.72,-2.72,2.47,-0.69,-0.68,-5.48,-9.36,-5.44,413,439.63,-26.63,2,3.98,-1.98,21,21.25,-0.25,80.3,95.1,-14.8,1
"2020","00-0034490","Ezekiel Turner","LB","ARI",0,1,0,0,14,0,1,0,0.67,0,26,0,0,13.8,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,1,0,0,0.71,0,0,0,0,0.01,0,0,0,2.11,0,0,3.6,0,26,13.8,0,0.01,1,0.71,3.6,2.11,0,0.33,0,12.2,0,0,-0.01,0,0,0,0,0,0.29,0,0,-0.01,0,1.49,0,12.2,-0.01,0.29,1.49,37,37,30,364,364,28,28,25.45,25.46,432,432,103,339.36,339.36,151.54,3,3,1,2.63,2.64,0.98,0,0,0,0,0,0,19,19,4,17.22,17.23,8.69,1,1,0.8,0.8,1,0,22.48,75.16,21,27.28,87.2,16.3,2.55,2.54,92.64,92.64,-48.54,0.37,0.36,0.02,0,0,0,1.78,1.77,-4.69,0.2,0.2,4.8,12.04,-4.7,535,490.9,44.1,4,3.62,0.38,23,25.92,-2.92,103.5,96.16,7.34,1
"2023","00-0034490","Ezekiel Turner","LB","ARI",0,0,1,0,0,0,0,0,0,0,0,2,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.65,0,0,0,0,0,0,0,0,0.58,0,0,0.2,2,5.6,0,0,1,0.65,0.2,0.58,0,0,0,0,-3.6,0,0,0,0,0,0,0,0,0.35,0,0,0,0,-0.38,-3.6,0,0.35,-0.38,41,41,25,339,339,28,28,25.29,25.29,265,265,105,256.04,256.04,119.38,2,2,0,1.23,1.23,0.22,0,0,0,0,0,0.36,13,13,7,12.73,12.72,7.86,0,0,1.31,1.31,0,0,12.56,58.29,14.07,18.6,66.5,10.5,2.71,2.71,8.95999999999998,8.95999999999999,-14.38,0.77,0.77,-0.22,0,0,-0.36,0.27,0.28,-0.86,-1.31,-1.31,6.04,8.21,-3.57,370,375.42,-5.42000000000002,2,1.45,0.55,20,20.58,-0.58,77,72.36,4.64,1
"2022","00-0032437","Kamu Grugier-Hill","LB","ARI",0,1,0,0,0,0,1,0,0.75,0,4,0,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.51,0,0,0,0,0.01,0,0,0,1.35,0,0,1.4,0,4,5.77,0,0,1,0.51,1.4,1.35,0,0.25,0,-1.77,0,0,0,0,0,0,0,0,0.49,0,0,-0.01,0,0.0499999999999998,0,-1.77,0,0.49,0.0499999999999998,46,46,27,352,352,25,25,29.76,29.76,221,221,121,320.78,320.78,133.42,0,0,1,0.51,0.51,0.25,0,0,0,0,0,0,8,8,8,13.59,13.59,7.27,1,1,1.23,1.22,0,1,12.44,64.95,14.89,6.84,47.1,16.1,-4.76,-4.76,-99.78,-99.78,-12.42,-0.51,-0.51,0.75,0,0,0,-5.59,-5.59,0.73,-0.23,-0.22,-5.6,-17.85,1.21,342,454.2,-112.2,1,0.76,0.24,16,20.86,-4.86,63.2,79.84,-16.64,1
"2023","00-0035859","Blake Gillikin","P","ARI",0,0,1,0,0,0,0,0,0,0,0,10,0,0,6.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3,0,0,0,0,0,0,0,0,0.63,0,0,1,10,6.09,0,0,1,0.3,1,0.63,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.37,3.91,0,0.7,0.37,45,45,15,386,386,27,27,30.3,30.29,256,256,73,328.56,328.56,69.59,1,1,1,1.77,1.78,1.16,0,0,1,0.51,0.51,0.43,11,11,5,14.7,14.69,4.72,0,0,1.16,1.17,0,0,18.95,74.83,14.8,14.24,58.6,15.3,-3.3,-3.29,-72.56,-72.56,3.41,-0.77,-0.78,-0.16,-0.51,-0.51,0.57,-3.7,-3.69,0.28,-1.16,-1.17,-4.71,-16.23,0.5,329,398.15,-69.15,2,2.94,-0.94,16,19.41,-3.41,73.9,89.63,-15.73,1
"2025","00-0033400","Matt Haack","P","ARI",1,0,0,19,0,1,0,0.58,0,28,0,0,14.65,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,1,0,0,0.61,0,0,0,0,0.06,0,0,0,0.5,0,0,1.12,0,0,28,14.65,0,0.01,1,0.61,1.12,0.5,0.42,0,13.35,0,0,-0.01,0,0,0,0,0,0.39,0,0,-0.06,0,0.62,0,0,13.35,-0.01,0.39,0.62,32,32,15,251,251,23,23,21.2,21.21,271,271,79,233.94,233.95,72.05,2,2,0,1.24,1.25,0.05,0,0,0,0,0,0,13,13,4,10.4,10.41,2.68,1,1,0.68,0.68,0,0,12.95,52.03,7.56,16.84,62.1,7.9,1.8,1.79,37.06,37.05,6.95,0.76,0.75,-0.05,0,0,0,2.6,2.59,1.32,0.32,0.32,3.89,10.07,0.34,350,306,44,2,1.3,0.7,17,13.09,3.91,70,59.59,10.41,1
"2020","00-0035752","Chris Streveler","QB","ARI",16,0,4,106,0,11,0,11.38,0,105,0,15,109.31,0,10.32,1,0,0,0.27,0,0,0,0,0,0,0,0,5,0,2,4.01,0,1.06,1,0,0.28,0,0,0,4.87,0,1.05,6.2,0,1.5,120,119.63,1,0.27,7,5.07,7.7,5.92,-0.380000000000001,0,-4.31,0,4.68,0.73,0,0,0,0,0,0.99,0,0.94,0.72,0,1.33,0,0.45,0.370000000000002,0.73,1.93,1.78,67,67,54,405,405,45,45,47.41,47.43,422,422,228,463.1,463.14,258.23,2,2,2,1.2,1.19,1.09,0,0,0,0,0,0,22,22,17,19.33,19.34,13.35,2,2,1.27,1.29,0,0,20.74,100.87,32.42,20.88,99.2,34.8,-2.41,-2.43,-41.1,-41.14,-30.23,0.8,0.81,0.91,0,0,0,2.67,2.66,3.65,0.73,0.71,0.139999999999999,-1.67,2.38,650,721.37,-71.37,4,2.28,1.72,39,32.69,6.31,134,133.29,0.709999999999996,2
"2021","00-0035752","Chris Streveler","QB","ARI",9,0,3,38,0,6,0,6.45,0,36,0,6,54.52,0,13.12,0,0,0,0.36,0,0,0,0,0,0,0,0,1,0,0,2.06,0,0.21,0,0,0.15,0,0,0,3.34,0,1.34,1.44,0,0.6,42,67.64,0,0.36,1,2.27,2.04,4.68,-0.45,0,-18.52,0,-7.12,-0.36,0,0,0,0,0,-1.06,0,-0.21,-0.15,0,-1.9,0,-0.74,-25.64,-0.36,-1.27,-2.64,56,56,59,343,343,40,40,39.2,39.19,416,416,228,386.81,386.83,245.83,1,1,4,1.27,1.26,1.29,0,0,0,0,0,0,17,17,12,18.25,18.25,17.22,1,1,1.05,1.05,0,0,18.5,85.55,32.46,18.64,87.6,46.8,0.8,0.81,29.19,29.17,-17.83,-0.27,-0.26,2.71,0,0,0,-1.25,-1.25,-5.22,-0.05,-0.05,0.140000000000001,2.05,14.34,644,632.66,11.34,5,2.55,2.45,29,35.47,-6.47,134.4,118.01,16.39,2
"2023","00-0038582","Clayton Tune","QB","ARI",21,0,8,53,0,12,0,14.54,0,62,0,30,102.68,0,37.5,0,0,1,0.05,0,0.6,0,0,1,0,0,0.43,3,0,3,4.42,0,2.73,2,0,0.33,0,0,0,3.67,0,8.31,-1.52,0,11,92,140.18,1,0.65,6,7.15,9.48,11.98,-2.54,0,-40.68,0,-7.5,-0.05,0,0.4,0,0,0.57,-1.42,0,0.27,1.67,0,-5.19,0,2.69,-48.18,0.35,-1.15,-2.5,200,200,155,1406,1406,125,125,137.02,136.98,1186,1186,803,1425.54,1425.51,721.76,3,3,7,5.79,5.76,5.29,0,0,1,1.52,1.52,0.43,54,54,46,65.62,65.6,39.6,5,5,4.71,4.73,0,0,73.84,317.39,104.83,49.44,261.6,124.3,-12.02,-11.98,-239.54,-239.51,81.24,-2.79,-2.76,1.71,-1.52,-1.52,0.57,-11.62,-11.6,6.4,0.29,0.27,-24.4,-55.79,19.47,1989,2147.27,-158.27,10,11.05,-1.05,100,105.2,-5.2,385.9,422.22,-36.32,6
"2024","00-0038582","Clayton Tune","QB","ARI",2,0,7,4,0,2,0,1.64,0,8,0,-4,14.79,0,8.85,0,0,0,0.01,0,0.06,0,0,0,0,0,0,0,0,2,0.72,0,4.01,0,0,0.02,0,0,1,0.57,0,1.29,0.32,0,-2.4,4,23.64,0,0.07,2,4.73,-2.08,1.86,0.36,0,-6.79,0,-12.85,-0.01,0,-0.06,0,0,0,-0.72,0,-2.01,-0.02,0,-0.25,0,-3.69,-19.64,-0.07,-2.73,-3.94,138,138,160,865,865,103,103,98.59,98.61,1151,1151,873,1041.43,1041.46,676.45,9,9,9,8.17,8.16,7.84,0,0,0,0,0,0.49,57,57,52,55.64,55.67,43.64,1,1,2.11,2.13,1,1,70.09,251.75,115.86,80.04,270.1,139.3,4.41,4.39,109.57,109.54,196.55,0.83,0.84,1.16,0,0,-0.49,1.36,1.33,8.36,-1.11,-1.13,9.95,18.35,23.44,2024,1717.91,306.09,18,16,2,109,99.31,9.69,409.4,367.61,41.79,5
