"season","posteam","week","game_id","player_id","full_name","position","pass_attempt","rec_attempt","rush_attempt","pass_air_yards","rec_air_yards","pass_completions","receptions","pass_completions_exp","receptions_exp","pass_yards_gained","rec_yards_gained","rush_yards_gained","pass_yards_gained_exp","rec_yards_gained_exp","rush_yards_gained_exp","pass_touchdown","rec_touchdown","rush_touchdown","pass_touchdown_exp","rec_touchdown_exp","rush_touchdown_exp","pass_two_point_conv","rec_two_point_conv","rush_two_point_conv","pass_two_point_conv_exp","rec_two_point_conv_exp","rush_two_point_conv_exp","pass_first_down","rec_first_down","rush_first_down","pass_first_down_exp","rec_first_down_exp","rush_first_down_exp","pass_interception","rec_interception","pass_interception_exp","rec_interception_exp","rec_fumble_lost","rush_fumble_lost","pass_fantasy_points_exp","rec_fantasy_points_exp","rush_fantasy_points_exp","pass_fantasy_points","rec_fantasy_points","rush_fantasy_points","total_yards_gained","total_yards_gained_exp","total_touchdown","total_touchdown_exp","total_first_down","total_first_down_exp","total_fantasy_points","total_fantasy_points_exp","pass_completions_diff","receptions_diff","pass_yards_gained_diff","rec_yards_gained_diff","rush_yards_gained_diff","pass_touchdown_diff","rec_touchdown_diff","rush_touchdown_diff","pass_two_point_conv_diff","rec_two_point_conv_diff","rush_two_point_conv_diff","pass_first_down_diff","rec_first_down_diff","rush_first_down_diff","pass_interception_diff","rec_interception_diff","pass_fantasy_points_diff","rec_fantasy_points_diff","rush_fantasy_points_diff","total_yards_gained_diff","total_touchdown_diff","total_first_down_diff","total_fantasy_points_diff","pass_attempt_team","rec_attempt_team","rush_attempt_team","pass_air_yards_team","rec_air_yards_team","pass_completions_team","receptions_team","pass_completions_exp_team","receptions_exp_team","pass_yards_gained_team","rec_yards_gained_team","rush_yards_gained_team","pass_yards_gained_exp_team","rec_yards_gained_exp_team","rush_yards_gained_exp_team","pass_touchdown_team","rec_touchdown_team","rush_touchdown_team","pass_touchdown_exp_team","rec_touchdown_exp_team","rush_touchdown_exp_team","pass_two_point_conv_team","rec_two_point_conv_team","rush_two_point_conv_team","pass_two_point_conv_exp_team","rec_two_point_conv_exp_team","rush_two_point_conv_exp_team","pass_first_down_team","rec_first_down_team","rush_first_down_team","pass_first_down_exp_team","rec_first_down_exp_team","rush_first_down_exp_team","pass_interception_team","rec_interception_team","pass_interception_exp_team","rec_interception_exp_team","rec_fumble_lost_team","rush_fumble_lost_team","pass_fantasy_points_exp_team","rec_fantasy_points_exp_team","rush_fantasy_points_exp_team","pass_fantasy_points_team","rec_fantasy_points_team","rush_fantasy_points_team","pass_completions_diff_team","receptions_diff_team","pass_yards_gained_diff_team","rec_yards_gained_diff_team","rush_yards_gained_diff_team","pass_touchdown_diff_team","rec_touchdown_diff_team","rush_touchdown_diff_team","pass_two_point_conv_diff_team","rec_two_point_conv_diff_team","rush_two_point_conv_diff_team","pass_first_down_diff_team","rec_first_down_diff_team","rush_first_down_diff_team","pass_interception_diff_team","rec_interception_diff_team","pass_fantasy_points_diff_team","rec_fantasy_points_diff_team","rush_fantasy_points_diff_team","total_yards_gained_team","total_yards_gained_exp_team","total_yards_gained_diff_team","total_touchdown_team","total_touchdown_exp_team","total_touchdown_diff_team","total_first_down_team","total_first_down_exp_team","total_first_down_diff_team","total_fantasy_points_team","total_fantasy_points_exp_team","total_fantasy_points_diff_team"
"2022","NYJ",1,"2022_01_BAL_NYJ","00-0026158","Joe Flacco","QB",59,0,1,286,0,37,0,39.89,0,309,0,0,358.25,0,2.04,1,0,0,3.14,0,0.01,0,0,0,0,0,0,18,0,0,20.48,0,0.78,1,0,1.41,0,0,0,24.07,0,0.24,14.36,0,0,309,360.29,1,3.15,18,21.26,14.36,24.31,-2.89,0,-49.25,0,-2.04,-2.14,0,-0.01,0,0,0,-2.48,0,-0.78,-0.41,0,-9.71,0,-0.24,-51.29,-2.15,-3.26,-9.95,59,59,17,286,286,37,37,39.89,39.88,309,309,83,358.25,358.26,74.46,1,1,0,3.14,3.14,0.06,0,0,0,0,0,0,18,18,3,20.48,20.48,3.17,1,1,1.41,1.4,1,0,24.07,94.55,7.73,14.36,71.9,8.3,-2.89,-2.88,-49.25,-49.26,8.54,-2.14,-2.14,-0.06,0,0,0,-2.48,-2.48,-0.17,-0.41,-0.4,-9.71,-22.65,0.57,392,432.72,-40.72,1,3.2,-2.2,21,23.65,-2.65,80.2,102.28,-22.08
"2022","NYJ",1,"2022_01_BAL_NYJ","00-0036924","Michael Carter","RB",0,9,10,0,-1,0,7,0,7.11,0,40,60,0,48.93,45.6,0,0,0,0,0.38,0.03,0,0,0,0,0,0,0,3,2,0,2.37,1.72,0,0,0,0.1,0,0,0,14.27,4.71,0,11,6,100,94.53,0,0.41,5,4.09,17,18.98,0,-0.11,0,-8.93,14.4,0,-0.38,-0.03,0,0,0,0,0.63,0.28,0,-0.1,0,-3.27,1.29,5.47,-0.41,0.91,-1.98,59,59,17,286,286,37,37,39.89,39.88,309,309,83,358.25,358.26,74.46,1,1,0,3.14,3.14,0.06,0,0,0,0,0,0,18,18,3,20.48,20.48,3.17,1,1,1.41,1.4,1,0,24.07,94.55,7.73,14.36,71.9,8.3,-2.89,-2.88,-49.25,-49.26,8.54,-2.14,-2.14,-0.06,0,0,0,-2.48,-2.48,-0.17,-0.41,-0.4,-9.71,-22.65,0.57,392,432.72,-40.72,1,3.2,-2.2,21,23.65,-2.65,80.2,102.28,-22.08
"2022","NYJ",1,"2022_01_BAL_NYJ",,,,0,2,0,0,6,0,0,0,0.85,0,0,0,0,5.2,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0.06,0,0,0,3.58,0,0,0,0,0,5.2,0,0.37,0,0.62,0,3.58,0,-0.85,0,-5.2,0,0,-0.37,0,0,0,0,0,-0.62,0,0,-0.06,0,-3.58,0,-5.2,-0.37,-0.62,-3.58,59,59,17,286,286,37,37,39.89,39.88,309,309,83,358.25,358.26,74.46,1,1,0,3.14,3.14,0.06,0,0,0,0,0,0,18,18,3,20.48,20.48,3.17,1,1,1.41,1.4,1,0,24.07,94.55,7.73,14.36,71.9,8.3,-2.89,-2.88,-49.25,-49.26,8.54,-2.14,-2.14,-0.06,0,0,0,-2.48,-2.48,-0.17,-0.41,-0.4,-9.71,-22.65,0.57,392,432.72,-40.72,1,3.2,-2.2,21,23.65,-2.65,80.2,102.28,-22.08
"2022","BAL",1,"2022_01_BAL_NYJ","00-0034796","Lamar Jackson","QB",30,0,6,360,0,17,0,19.22,0,213,0,17,253.08,0,27.84,3,0,0,1.92,0,0.07,0,0,0,0,0,0,8,0,2,10.06,0,2.02,1,0,0.75,0,0,0,16.29,0,3.23,18.52,0,1.7,230,280.92,3,1.99,10,12.08,20.22,19.52,-2.22,0,-40.08,0,-10.84,1.08,0,-0.07,0,0,0,-2.06,0,-0.02,0.25,0,2.23,0,-1.53,-50.92,1.01,-2.08,0.699999999999999,30,30,21,360,360,17,17,19.22,19.22,213,213,63,253.08,253.09,99.28,3,3,0,1.92,1.9,0.31,0,0,0,0,0,0,8,8,4,10.06,10.07,5.49,1,1,0.75,0.75,0,0,16.29,56.03,11.88,18.52,56.3,6.3,-2.22,-2.22,-40.08,-40.09,-36.28,1.08,1.1,-0.31,0,0,0,-2.06,-2.07,-1.49,0.25,0.25,2.23,0.269999999999999,-5.58,276,352.37,-76.37,3,2.21,0.79,12,15.56,-3.56,62.6,67.91,-5.31
"2022","BAL",1,"2022_01_BAL_NYJ","00-0036550","Rashod Bateman","WR",0,5,0,0,108,0,2,0,2.91,0,59,0,0,51.22,0,0,1,0,0,0.47,0,0,0,0,0,0,0,0,1,0,0,1.87,0,0,0,0,0.27,0,0,0,10.85,0,0,13.9,0,59,51.22,1,0.47,1,1.87,13.9,10.85,0,-0.91,0,7.78,0,0,0.53,0,0,0,0,0,-0.87,0,0,-0.27,0,3.05,0,7.78,0.53,-0.87,3.05,30,30,21,360,360,17,17,19.22,19.22,213,213,63,253.08,253.09,99.28,3,3,0,1.92,1.9,0.31,0,0,0,0,0,0,8,8,4,10.06,10.07,5.49,1,1,0.75,0.75,0,0,16.29,56.03,11.88,18.52,56.3,6.3,-2.22,-2.22,-40.08,-40.09,-36.28,1.08,1.1,-0.31,0,0,0,-2.06,-2.07,-1.49,0.25,0.25,2.23,0.269999999999999,-5.58,276,352.37,-76.37,3,2.21,0.79,12,15.56,-3.56,62.6,67.91,-5.31
"2022","BAL",1,"2022_01_BAL_NYJ","00-0036331","Devin Duvernay","WR",0,4,0,0,47,0,4,0,2.22,0,54,0,0,23.6,0,0,2,0,0,0.64,0,0,0,0,0,0,0,0,2,0,0,1.19,0,0,0,0,0.14,0,0,0,8.43,0,0,21.4,0,54,23.6,2,0.64,2,1.19,21.4,8.43,0,1.78,0,30.4,0,0,1.36,0,0,0,0,0,0.81,0,0,-0.14,0,12.97,0,30.4,1.36,0.81,12.97,30,30,21,360,360,17,17,19.22,19.22,213,213,63,253.08,253.09,99.28,3,3,0,1.92,1.9,0.31,0,0,0,0,0,0,8,8,4,10.06,10.07,5.49,1,1,0.75,0.75,0,0,16.29,56.03,11.88,18.52,56.3,6.3,-2.22,-2.22,-40.08,-40.09,-36.28,1.08,1.1,-0.31,0,0,0,-2.06,-2.07,-1.49,0.25,0.25,2.23,0.269999999999999,-5.58,276,352.37,-76.37,3,2.21,0.79,12,15.56,-3.56,62.6,67.91,-5.31
"2022","NYJ",1,"2022_01_BAL_NYJ","00-0038120","Breece Hall","RB",0,9,6,0,15,0,6,0,6.82,0,38,23,0,49.78,26.82,0,0,0,0,0.17,0.02,0,0,0,0,0,0,0,2,1,0,2.5,0.67,0,0,0,0.1,1,0,0,12.82,2.78,0,7.8,2.3,61,76.6,0,0.19,3,3.17,10.1,15.6,0,-0.82,0,-11.78,-3.82,0,-0.17,-0.02,0,0,0,0,-0.5,0.33,0,-0.1,0,-5.02,-0.48,-15.6,-0.19,-0.17,-5.5,59,59,17,286,286,37,37,39.89,39.88,309,309,83,358.25,358.26,74.46,1,1,0,3.14,3.14,0.06,0,0,0,0,0,0,18,18,3,20.48,20.48,3.17,1,1,1.41,1.4,1,0,24.07,94.55,7.73,14.36,71.9,8.3,-2.89,-2.88,-49.25,-49.26,8.54,-2.14,-2.14,-0.06,0,0,0,-2.48,-2.48,-0.17,-0.41,-0.4,-9.71,-22.65,0.57,392,432.72,-40.72,1,3.2,-2.2,21,23.65,-2.65,80.2,102.28,-22.08
"2022","NYJ",1,"2022_01_BAL_NYJ","00-0033871","Corey Davis","WR",0,10,0,0,112,0,6,0,5.84,0,77,0,0,86.37,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,5,0,0,4.92,0,0,0,0,0.42,0,0,0,16.94,0,0,13.7,0,77,86.37,0,0.41,5,4.92,13.7,16.94,0,0.16,0,-9.37,0,0,-0.41,0,0,0,0,0,0.0800000000000001,0,0,-0.42,0,-3.24,0,-9.37,-0.41,0.0800000000000001,-3.24,59,59,17,286,286,37,37,39.89,39.88,309,309,83,358.25,358.26,74.46,1,1,0,3.14,3.14,0.06,0,0,0,0,0,0,18,18,3,20.48,20.48,3.17,1,1,1.41,1.4,1,0,24.07,94.55,7.73,14.36,71.9,8.3,-2.89,-2.88,-49.25,-49.26,8.54,-2.14,-2.14,-0.06,0,0,0,-2.48,-2.48,-0.17,-0.41,-0.4,-9.71,-22.65,0.57,392,432.72,-40.72,1,3.2,-2.2,21,23.65,-2.65,80.2,102.28,-22.08
"2022","BAL",1,"2022_01_BAL_NYJ","00-0037838","Isaiah Likely","TE",0,4,0,0,19,0,0,0,2.98,0,0,0,0,27.74,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0.04,0,0,0,7.69,0,0,0,0,0,27.74,0,0.32,0,1.83,0,7.69,0,-2.98,0,-27.74,0,0,-0.32,0,0,0,0,0,-1.83,0,0,-0.04,0,-7.69,0,-27.74,-0.32,-1.83,-7.69,30,30,21,360,360,17,17,19.22,19.22,213,213,63,253.08,253.09,99.28,3,3,0,1.92,1.9,0.31,0,0,0,0,0,0,8,8,4,10.06,10.07,5.49,1,1,0.75,0.75,0,0,16.29,56.03,11.88,18.52,56.3,6.3,-2.22,-2.22,-40.08,-40.09,-36.28,1.08,1.1,-0.31,0,0,0,-2.06,-2.07,-1.49,0.25,0.25,2.23,0.269999999999999,-5.58,276,352.37,-76.37,3,2.21,0.79,12,15.56,-3.56,62.6,67.91,-5.31
"2022","NYJ",1,"2022_01_BAL_NYJ","00-0036980","Elijah Moore","WR",0,7,0,0,57,0,5,0,4.71,0,49,0,0,51.33,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,3,0,0,3.23,0,0,0,0,0.16,0,0,0,10.25,0,0,9.9,0,49,51.33,0,0.07,3,3.23,9.9,10.25,0,0.29,0,-2.33,0,0,-0.07,0,0,0,0,0,-0.23,0,0,-0.16,0,-0.35,0,-2.33,-0.07,-0.23,-0.35,59,59,17,286,286,37,37,39.89,39.88,309,309,83,358.25,358.26,74.46,1,1,0,3.14,3.14,0.06,0,0,0,0,0,0,18,18,3,20.48,20.48,3.17,1,1,1.41,1.4,1,0,24.07,94.55,7.73,14.36,71.9,8.3,-2.89,-2.88,-49.25,-49.26,8.54,-2.14,-2.14,-0.06,0,0,0,-2.48,-2.48,-0.17,-0.41,-0.4,-9.71,-22.65,0.57,392,432.72,-40.72,1,3.2,-2.2,21,23.65,-2.65,80.2,102.28,-22.08
"2022","NYJ",1,"2022_01_BAL_NYJ","00-0036145","Lawrence Cager","TE",0,1,0,0,14,0,0,0,0.72,0,0,0,0,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,1,0,0.03,0,0,0,2.01,0,0,0,0,0,12.72,0,0,0,0.11,0,2.01,0,-0.72,0,-12.72,0,0,0,0,0,0,0,0,-0.11,0,0,0.97,0,-2.01,0,-12.72,0,-0.11,-2.01,59,59,17,286,286,37,37,39.89,39.88,309,309,83,358.25,358.26,74.46,1,1,0,3.14,3.14,0.06,0,0,0,0,0,0,18,18,3,20.48,20.48,3.17,1,1,1.41,1.4,1,0,24.07,94.55,7.73,14.36,71.9,8.3,-2.89,-2.88,-49.25,-49.26,8.54,-2.14,-2.14,-0.06,0,0,0,-2.48,-2.48,-0.17,-0.41,-0.4,-9.71,-22.65,0.57,392,432.72,-40.72,1,3.2,-2.2,21,23.65,-2.65,80.2,102.28,-22.08
"2022","BAL",1,"2022_01_BAL_NYJ","00-0032775","Demarcus Robinson","WR",0,4,0,0,41,0,2,0,2.78,0,19,0,0,32.77,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,1,0,0,0.86,0,0,1,0,0.06,0,0,0,6.37,0,0,3.9,0,19,32.77,0,0.05,1,0.86,3.9,6.37,0,-0.78,0,-13.77,0,0,-0.05,0,0,0,0,0,0.14,0,0,0.94,0,-2.47,0,-13.77,-0.05,0.14,-2.47,30,30,21,360,360,17,17,19.22,19.22,213,213,63,253.08,253.09,99.28,3,3,0,1.92,1.9,0.31,0,0,0,0,0,0,8,8,4,10.06,10.07,5.49,1,1,0.75,0.75,0,0,16.29,56.03,11.88,18.52,56.3,6.3,-2.22,-2.22,-40.08,-40.09,-36.28,1.08,1.1,-0.31,0,0,0,-2.06,-2.07,-1.49,0.25,0.25,2.23,0.269999999999999,-5.58,276,352.37,-76.37,3,2.21,0.79,12,15.56,-3.56,62.6,67.91,-5.31
"2022","NYJ",1,"2022_01_BAL_NYJ","00-0037740","Garrett Wilson","WR",0,8,0,0,60,0,4,0,4.27,0,52,0,0,40.53,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,2,0,0,3.11,0,0,0,0,0.34,0,0,0,15.5,0,0,9.2,0,52,40.53,0,1.2,2,3.11,9.2,15.5,0,-0.27,0,11.47,0,0,-1.2,0,0,0,0,0,-1.11,0,0,-0.34,0,-6.3,0,11.47,-1.2,-1.11,-6.3,59,59,17,286,286,37,37,39.89,39.88,309,309,83,358.25,358.26,74.46,1,1,0,3.14,3.14,0.06,0,0,0,0,0,0,18,18,3,20.48,20.48,3.17,1,1,1.41,1.4,1,0,24.07,94.55,7.73,14.36,71.9,8.3,-2.89,-2.88,-49.25,-49.26,8.54,-2.14,-2.14,-0.06,0,0,0,-2.48,-2.48,-0.17,-0.41,-0.4,-9.71,-22.65,0.57,392,432.72,-40.72,1,3.2,-2.2,21,23.65,-2.65,80.2,102.28,-22.08
"2022","BAL",1,"2022_01_BAL_NYJ","00-0034975","Justice Hill","RB",0,2,2,0,3,0,2,0,1.57,0,7,4,0,11.64,11.92,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.39,0.46,0,0,0,0.01,0,0,0,2.82,1.27,0,2.7,0.4,11,23.56,0,0.02,0,0.85,3.1,4.09,0,0.43,0,-4.64,-7.92,0,-0.01,-0.01,0,0,0,0,-0.39,-0.46,0,-0.01,0,-0.12,-0.87,-12.56,-0.02,-0.85,-0.99,30,30,21,360,360,17,17,19.22,19.22,213,213,63,253.08,253.09,99.28,3,3,0,1.92,1.9,0.31,0,0,0,0,0,0,8,8,4,10.06,10.07,5.49,1,1,0.75,0.75,0,0,16.29,56.03,11.88,18.52,56.3,6.3,-2.22,-2.22,-40.08,-40.09,-36.28,1.08,1.1,-0.31,0,0,0,-2.06,-2.07,-1.49,0.25,0.25,2.23,0.269999999999999,-5.58,276,352.37,-76.37,3,2.21,0.79,12,15.56,-3.56,62.6,67.91,-5.31
