season,player_id,full_name,position,opps_rec,opps_rush,ep_total_rec,ep_total_rush,ep_per_opp_rec,ep_per_opp_rush
2020,00-0022921,Larry Fitzgerald,WR,72,NA,119.19656110461801,NA,1.6555077931196946,NA
2020,00-0023500,Frank Gore,RB,NA,187,NA,448.16969091945793,NA,2.396629363205657
2020,00-0025394,Adrian Peterson,RB,NA,156,NA,440.4840075089887,NA,2.8236154327499277
2020,00-0026035,Danny Amendola,WR,69,NA,102.11516241077334,NA,1.4799298900112077,NA
2020,00-0027061,Jared Cook,TE,60,NA,131.04221684060758,NA,2.1840369473434595,NA
2020,00-0027656,Rob Gronkowski,TE,77,NA,188.07804872537963,NA,2.442572061368567,NA
2020,00-0027685,Emmanuel Sanders,WR,82,NA,191.1684016196523,NA,2.331321970971369,NA
2020,00-0027696,Jimmy Graham,TE,76,NA,197.87696806853637,NA,2.603644316691268,NA
2020,00-0027793,Antonio Brown,WR,62,NA,127.6723439314519,NA,2.059231353733095,NA
2020,00-0027891,Golden Tate,WR,52,NA,89.54254541354021,NA,1.7219720271834658,NA
2020,00-0027939,Cam Newton,QB,NA,139,NA,386.5377204548274,NA,2.78084690974696
2020,00-0027942,A.J. Green,WR,104,NA,194.9641408683674,NA,1.8746552006573787,NA
2020,00-0027944,Julio Jones,WR,68,NA,137.95124160917476,NA,2.0286947295466877,NA
2020,00-0027966,Mark Ingram,RB,NA,72,NA,201.25565935013583,NA,2.7952174909741085
2020,00-0028002,Randall Cobb,WR,50,NA,111.62908069897071,NA,2.232581613979414,NA
2020,00-0029000,Cole Beasley,WR,108,NA,218.8480797222727,NA,2.026371108539562,NA
2020,00-0029141,Alfred Morris,RB,NA,55,NA,115.0199533472769,NA,2.091271879041398
2020,00-0029263,Russell Wilson,QB,NA,83,NA,122.4485059446015,NA,1.4752832041518251
2020,00-0029293,Marvin Jones,WR,116,NA,224.83704931482487,NA,1.9382504251278003,NA
2020,00-0029608,T.Y. Hilton,WR,94,NA,175.0641161160455,NA,1.8623842140004843,NA
2020,00-0029701,Ryan Tannehill,QB,NA,45,NA,93.30756980853016,NA,2.0735015513006707
2020,00-0030035,Adam Thielen,WR,109,NA,242.8171356437232,NA,2.2276801435203963,NA
2020,00-0030061,Zach Ertz,TE,73,NA,131.51364455900318,NA,1.8015567747808654,NA
2020,00-0030279,Keenan Allen,WR,149,NA,289.8265025018479,NA,1.945144312092939,NA
2020,00-0030288,Rex Burkhead,RB,NA,67,NA,186.59899273430347,NA,2.785059593049305
2020,00-0030431,Robert Woods,WR,129,NA,239.47595685059787,NA,1.8564027662837046,NA
2020,00-0030456,Giovani Bernard,RB,59,124,121.67876331350999,267.67688239505515,2.0623519205679655,2.1586845354439936
2020,00-0030472,Jordan Reed,TE,46,NA,90.39941754855681,NA,1.9652047293164525,NA
2020,00-0030496,Le'Veon Bell,RB,NA,82,NA,200.24901346676052,NA,2.4420611398385423
2020,00-0030506,Travis Kelce,TE,146,NA,317.4308993844751,NA,2.174184242359418,NA
2020,00-0030513,Latavius Murray,RB,NA,146,NA,381.9032029847731,NA,2.615775362909405
2020,00-0030549,Tyler Eifert,TE,60,NA,133.10596247704234,NA,2.2184327079507056,NA
2020,00-0030564,DeAndre Hopkins,WR,161,NA,275.4639840376475,NA,1.7109564225940839,NA
2020,00-0030578,Cordarrelle Patterson,WR,NA,64,NA,165.15105255437084,NA,2.5804851961620443
2020,00-0030663,Willie Snead,WR,48,NA,91.98433707296499,NA,1.9163403556867706,NA
2020,00-0030710,Trey Burton,TE,47,NA,106.39441580075072,NA,2.263710974484058,NA
2020,00-0031045,Carlos Hyde,RB,NA,81,NA,215.76648883603048,NA,2.6637838127905
2020,00-0031051,John Brown,WR,52,NA,121.94762809827807,NA,2.345146694197655,NA
2020,00-0031062,James White,RB,62,NA,108.11343543979456,NA,1.743765087738622,NA
2020,00-0031235,Odell Beckham,WR,43,NA,95.12300201528706,NA,2.2121628375648155,NA
2020,00-0031236,Brandin Cooks,WR,119,NA,274.95728053091443,NA,2.3105653826127264,NA
2020,00-0031237,Teddy Bridgewater,QB,NA,53,NA,133.568731397565,NA,2.520164743350283
2020,00-0031260,Logan Thomas,TE,111,NA,215.4974977152159,NA,1.9414188983352783,NA
2020,00-0031285,Devonta Freeman,RB,NA,54,NA,143.34459704888286,NA,2.6545295749793123
2020,00-0031325,Sammy Watkins,WR,55,NA,133.03262394250487,NA,2.418774980772816,NA
2020,00-0031376,Jerick McKinnon,RB,47,81,75.43912090403308,181.4820279229607,1.6050876788092143,2.240518863246428
2020,00-0031381,Davante Adams,WR,149,NA,337.09300148292095,NA,2.2623691374692685,NA
2020,00-0031382,Jarvis Landry,WR,101,NA,213.28300692583434,NA,2.111712939859746,NA
2020,00-0031387,Eric Ebron,TE,92,NA,203.14413858587784,NA,2.208088462889976,NA
2020,00-0031408,Mike Evans,WR,111,NA,264.80442387578637,NA,2.3856254403223995,NA
2020,00-0031428,Allen Robinson,WR,151,NA,307.18794137847726,NA,2.0343572276720345,NA
2020,00-0031544,Amari Cooper,WR,130,NA,250.6466006245464,NA,1.9280507740349726,NA
2020,00-0031547,DeVante Parker,WR,104,NA,223.07806935221004,NA,2.1449814360789423,NA
2020,00-0031549,Nelson Agholor,WR,82,NA,180.0740770768025,NA,2.196025330204909,NA
2020,00-0031588,Stefon Diggs,WR,166,NA,340.4135929540498,NA,2.0506842949039146,NA
