season,receiver_player_id,receiver_full_name,receiver_position,targets,ep_per_target
2020,00-0022921,Larry Fitzgerald,WR,72,1.6555077931196946
2020,00-0026035,Danny Amendola,WR,69,1.4799298900112077
2020,00-0027061,Jared Cook,TE,60,2.1840369473434595
2020,00-0027656,Rob Gronkowski,TE,77,2.442572061368567
2020,00-0027685,Emmanuel Sanders,WR,82,2.331321970971369
2020,00-0027696,Jimmy Graham,TE,76,2.603644316691268
2020,00-0027793,Antonio Brown,WR,62,2.059231353733095
2020,00-0027891,Golden Tate,WR,52,1.7219720271834658
2020,00-0027942,A.J. Green,WR,104,1.8746552006573787
2020,00-0027944,Julio Jones,WR,68,2.0286947295466877
2020,00-0028002,Randall Cobb,WR,50,2.232581613979414
2020,00-0029000,Cole Beasley,WR,108,2.026371108539562
2020,00-0029293,Marvin Jones,WR,116,1.9382504251278003
2020,00-0029608,T.Y. Hilton,WR,94,1.8623842140004843
2020,00-0030035,Adam Thielen,WR,109,2.2276801435203963
2020,00-0030061,Zach Ertz,TE,73,1.8015567747808654
2020,00-0030279,Keenan Allen,WR,149,1.945144312092939
2020,00-0030431,Robert Woods,WR,129,1.8564027662837046
2020,00-0030456,Giovani Bernard,RB,59,2.0623519205679655
2020,00-0030472,Jordan Reed,TE,46,1.9652047293164525
2020,00-0030506,Travis Kelce,TE,146,2.174184242359418
2020,00-0030549,Tyler Eifert,TE,60,2.2184327079507056
2020,00-0030564,DeAndre Hopkins,WR,161,1.7109564225940839
2020,00-0030663,Willie Snead,WR,48,1.9163403556867706
2020,00-0030710,Trey Burton,TE,47,2.263710974484058
2020,00-0031051,John Brown,WR,52,2.345146694197655
2020,00-0031062,James White,RB,62,1.743765087738622
2020,00-0031235,Odell Beckham,WR,43,2.2121628375648155
2020,00-0031236,Brandin Cooks,WR,119,2.3105653826127264
2020,00-0031260,Logan Thomas,TE,111,1.9414188983352783
2020,00-0031325,Sammy Watkins,WR,55,2.418774980772816
2020,00-0031376,Jerick McKinnon,RB,47,1.6050876788092143
2020,00-0031381,Davante Adams,WR,149,2.2623691374692685
2020,00-0031382,Jarvis Landry,WR,101,2.111712939859746
2020,00-0031387,Eric Ebron,TE,92,2.208088462889976
2020,00-0031408,Mike Evans,WR,111,2.3856254403223995
2020,00-0031428,Allen Robinson,WR,151,2.0343572276720345
2020,00-0031544,Amari Cooper,WR,130,1.9280507740349726
2020,00-0031547,DeVante Parker,WR,104,2.1449814360789423
2020,00-0031549,Nelson Agholor,WR,82,2.196025330204909
2020,00-0031588,Stefon Diggs,WR,166,2.0506842949039146
2020,00-0031610,Darren Waller,TE,146,2.374152733227225
2020,00-0031868,Damiere Byrd,WR,77,1.6000356120556325
2020,00-0031941,Jamison Crowder,WR,89,1.540126276678952
2020,00-0032054,Breshad Perriman,WR,60,1.7728158823912963
2020,00-0032063,Mike Davis,RB,70,2.1425866514082634
2020,00-0032128,Chris Conley,WR,63,2.0120437309314076
2020,00-0032144,Melvin Gordon,RB,44,1.6453526764803843
2020,00-0032187,David Johnson,RB,46,2.604080186616477
2020,00-0032211,Tyler Lockett,WR,132,2.1703131717586075
2020,00-0032385,Sterling Shepard,WR,92,1.8102272608574916
2020,00-0032392,Austin Hooper,TE,70,2.0856666720368335
2020,00-0032602,J.D. McKissic,RB,110,1.9175396077975164
2020,00-0032688,Robby Anderson,WR,137,1.7989190464245997
2020,00-0032765,Michael Thomas,WR,55,2.187617567517075
2020,00-0032775,Demarcus Robinson,WR,59,2.0806345686344114
2020,00-0032791,Jakeem Grant,WR,54,2.008023712058612
2020,00-0032977,Rashard Higgins,WR,52,2.0322189237519455
2020,00-0033009,Tyler Boyd,WR,110,1.9753227008300285
2020,00-0033040,Tyreek Hill,WR,135,2.2427518444955004
2020,00-0033045,Ezekiel Elliott,RB,72,2.1934990575361235
2020,00-0033090,Hunter Henry,TE,93,1.7927548308153918
2020,00-0033110,Tyler Higbee,TE,61,2.092980683532391
2020,00-0033127,Will Fuller,WR,75,1.8030637617626537
2020,00-0033251,Zach Pascal,WR,72,2.25829805186994
2020,00-0033282,Curtis Samuel,WR,97,1.914008209494137
2020,00-0033288,George Kittle,TE,64,1.685911000809254
2020,00-0033293,Aaron Jones,RB,63,2.241885729087886
2020,00-0033307,Kendrick Bourne,WR,75,1.7888706321302241
2020,00-0033375,Tim Patrick,WR,80,1.9108494493122619
2020,00-0033387,Jacob Hollister,TE,41,2.289014950580253
2020,00-0033455,Anthony Firkser,TE,53,1.9961354922753636
2020,00-0033471,Isaiah Ford,WR,44,1.7864859710177616
2020,00-0033536,Mike Williams,WR,85,1.868849132657188
2020,00-0033553,James Conner,RB,43,2.401994031698302
2020,00-0033589,David Moore,WR,47,2.3668036802369667
2020,00-0033594,Chris Carson,RB,47,2.473342267994239
2020,00-0033681,Keelan Cole,WR,89,1.7919864689571878
2020,00-0033699,Austin Ekeler,RB,65,2.020433594684045
2020,00-0033733,Greg Ward,WR,80,1.7651978630727154
2020,00-0033757,Robert Tonyan,TE,59,2.1271338478373005
2020,00-0033856,Leonard Fournette,RB,47,2.2016482033316005
2020,00-0033857,JuJu Smith-Schuster,WR,129,1.8250965587085224
2020,00-0033858,Jonnu Smith,TE,66,2.563486819955206
2020,00-0033871,Corey Davis,WR,92,2.056547089364714
2020,00-0033881,Evan Engram,TE,109,1.7104843537066317
2020,00-0033893,Dalvin Cook,RB,54,1.557836860334242
2020,00-0033895,Gerald Everett,TE,62,1.7070493484188187
2020,00-0033906,Alvin Kamara,RB,107,2.2459994370115606
2020,00-0033908,Cooper Kupp,WR,124,1.8496357920523754
2020,00-0033921,Chris Godwin,WR,84,1.9203911491370362
2020,00-0033923,Kareem Hunt,RB,51,2.089414150007274
2020,00-0033943,Josh Reynolds,WR,81,1.9625055572365835
2020,00-0034011,Dan Arnold,TE,45,2.1170391981800396
2020,00-0034104,Cam Sims,WR,48,1.8975552645218463
2020,00-0034272,Marquez Valdes-Scantling,WR,63,1.5568872022050773
2020,00-0034351,Dallas Goedert,TE,65,1.91329937917449
2020,00-0034353,Anthony Miller,WR,76,2.0374118434016344
2020,00-0034364,Jordan Akins,TE,49,2.336815215713744
2020,00-0034366,Keke Coutee,WR,41,2.3474257119733206
2020,00-0034367,Nyheim Hines,RB,76,2.117772068034882
2020,00-0034370,DaeSean Hamilton,WR,44,2.1344679525394565
2020,00-0034383,Dalton Schultz,TE,89,2.364327164630084
2020,00-0034411,Russell Gage,WR,109,1.9657662260888675
2020,00-0034419,Braxton Berrios,WR,55,1.7709787283960563
2020,00-0034521,Allen Lazard,WR,46,2.1626071824246775
2020,00-0034676,James Washington,WR,56,2.0564004299927285
2020,00-0034681,Chase Edmonds,RB,67,2.3179929028604
2020,00-0034753,Mark Andrews,TE,88,2.0683862689395687
2020,00-0034764,Michael Gallup,WR,105,2.1458445688141397
2020,00-0034765,Tre'Quan Smith,WR,50,2.0436391565890517
2020,00-0034766,Christopher Herndon,TE,46,1.8443339221921609
2020,00-0034775,Christian Kirk,WR,79,2.177925023698628
2020,00-0034777,D.J. Chark,WR,94,1.8001146694458576
