season,player_id,full_name,position,posteam,kind,opportunities,neutral_opps,neutral_share,early_down_share,mean_wp
2020,00-0022921,Larry Fitzgerald,WR,ARI,target,72,39,0.5416666666666666,0.7222222222222222,0.5155708135935129
2020,00-0023500,Frank Gore,RB,NYJ,carry,187,93,0.49732620320855614,0.9358288770053476,0.24986416393233263
2020,00-0025394,Adrian Peterson,RB,DET,carry,156,84,0.5384615384615384,0.9294871794871795,0.4307886670990578
2020,00-0026035,Danny Amendola,WR,DET,target,69,28,0.4057971014492754,0.6231884057971014,0.26059333401755563
2020,00-0027061,Jared Cook,TE,NO,target,60,35,0.5833333333333334,0.6333333333333333,0.5996629739238415
2020,00-0027656,Rob Gronkowski,TE,TB,target,77,31,0.4025974025974026,0.7792207792207793,0.5828256625443993
2020,00-0027685,Emmanuel Sanders,WR,NO,target,82,33,0.4024390243902439,0.7804878048780488,0.6411797704087092
2020,00-0027696,Jimmy Graham,TE,CHI,target,76,33,0.4342105263157895,0.8421052631578947,0.35064932462998855
2020,00-0027793,Antonio Brown,WR,TB,target,62,26,0.41935483870967744,0.7096774193548387,0.6375714408472226
2020,00-0027891,Golden Tate,WR,NYG,target,52,23,0.4423076923076923,0.5192307692307693,0.3453629817142008
2020,00-0027942,A.J. Green,WR,CIN,target,104,60,0.5769230769230769,0.6634615384615384,0.3450807482359743
2020,00-0027944,Julio Jones,WR,ATL,target,68,39,0.5735294117647058,0.75,0.49816422445548914
2020,00-0027966,Mark Ingram,RB,BAL,carry,72,34,0.4722222222222222,0.9444444444444444,0.851193309140702
2020,00-0028002,Randall Cobb,WR,HOU,target,50,19,0.38,0.7,0.31155338638752345
2020,00-0029000,Cole Beasley,WR,BUF,target,108,59,0.5462962962962963,0.7962962962962963,0.650465371330165
2020,00-0029141,Alfred Morris,RB,NYG,carry,55,31,0.5636363636363636,0.9818181818181818,0.4664252621121705
2020,00-0029293,Marvin Jones,WR,DET,target,116,42,0.3620689655172414,0.6637931034482759,0.29710559706616696
2020,00-0029608,T.Y. Hilton,WR,IND,target,94,47,0.5,0.7021276595744681,0.5988716675847611
2020,00-0030035,Adam Thielen,WR,MIN,target,109,57,0.5229357798165137,0.6880733944954128,0.44840625237344495
2020,00-0030061,Zach Ertz,TE,PHI,target,73,39,0.5342465753424658,0.6712328767123288,0.30903595826788866
2020,00-0030279,Keenan Allen,WR,LAC,target,149,84,0.5637583892617449,0.6778523489932886,0.48294059077896506
2020,00-0030288,Rex Burkhead,RB,NE,carry,67,38,0.5671641791044776,0.7910447761194029,0.4930898261387049
2020,00-0030431,Robert Woods,WR,LA,target,129,76,0.5891472868217055,0.7441860465116279,0.5652024639561022
2020,00-0030456,Giovani Bernard,RB,CIN,carry,124,66,0.532258064516129,0.9274193548387096,0.44529955101998275
2020,00-0030456,Giovani Bernard,RB,CIN,target,59,30,0.5084745762711864,0.7288135593220338,0.32703278879202796
2020,00-0030472,Jordan Reed,TE,SF,target,46,30,0.6521739130434783,0.5,0.5189172483654186
2020,00-0030496,Le'Veon Bell,RB,KC,carry,63,42,0.6666666666666666,0.9365079365079365,0.8341112515283009
2020,00-0030506,Travis Kelce,TE,KC,target,146,95,0.6506849315068494,0.7054794520547946,0.7446711204689481
2020,00-0030513,Latavius Murray,RB,NO,carry,146,77,0.5273972602739726,0.9178082191780822,0.7801591402481067
2020,00-0030549,Tyler Eifert,TE,JAX,target,60,22,0.36666666666666664,0.6833333333333333,0.17009130473594877
2020,00-0030564,DeAndre Hopkins,WR,ARI,target,161,78,0.484472049689441,0.7080745341614907,0.48197997796436287
2020,00-0030663,Willie Snead,WR,BAL,target,48,21,0.4375,0.625,0.6819164173988004
2020,00-0030710,Trey Burton,TE,IND,target,47,22,0.46808510638297873,0.6808510638297872,0.486552216863121
2020,00-0031045,Carlos Hyde,RB,SEA,carry,81,45,0.5555555555555556,0.8765432098765432,0.818449980518953
2020,00-0031051,John Brown,WR,BUF,target,52,28,0.5384615384615384,0.7115384615384616,0.7219116627596891
2020,00-0031062,James White,RB,NE,target,62,35,0.5645161290322581,0.6612903225806451,0.41499646534997914
2020,00-0031235,Odell Beckham,WR,CLE,target,43,28,0.6511627906976745,0.6976744186046512,0.48949751678038556
2020,00-0031236,Brandin Cooks,WR,HOU,target,119,64,0.5378151260504201,0.7899159663865546,0.39440306959099763
2020,00-0031260,Logan Thomas,TE,WAS,target,111,45,0.40540540540540543,0.6936936936936937,0.2802639639584016
2020,00-0031285,Devonta Freeman,RB,NYG,carry,54,44,0.8148148148148148,0.9259259259259259,0.4258196072445976
2020,00-0031325,Sammy Watkins,WR,KC,target,55,34,0.6181818181818182,0.8181818181818182,0.7901506960391999
2020,00-0031376,Jerick McKinnon,RB,SF,carry,81,58,0.7160493827160493,0.7901234567901234,0.5274475484380494
2020,00-0031376,Jerick McKinnon,RB,SF,target,47,23,0.48936170212765956,0.574468085106383,0.44997400609051624
2020,00-0031381,Davante Adams,WR,GB,target,149,75,0.5033557046979866,0.697986577181208,0.7469840414572377
2020,00-0031382,Jarvis Landry,WR,CLE,target,101,63,0.6237623762376238,0.7326732673267327,0.5825926525412257
2020,00-0031387,Eric Ebron,TE,PIT,target,92,51,0.5543478260869565,0.6630434782608695,0.6438201043690027
2020,00-0031408,Mike Evans,WR,TB,target,111,46,0.4144144144144144,0.7117117117117117,0.6007739507021356
2020,00-0031428,Allen Robinson,WR,CHI,target,151,66,0.4370860927152318,0.6821192052980133,0.4246086980159973
2020,00-0031544,Amari Cooper,WR,DAL,target,130,54,0.4153846153846154,0.7846153846153846,0.3181875881157165
2020,00-0031547,DeVante Parker,WR,MIA,target,104,56,0.5384615384615384,0.75,0.5051380880950092
2020,00-0031549,Nelson Agholor,WR,LV,target,82,47,0.573170731707317,0.6829268292682927,0.4050321075383846
2020,00-0031588,Stefon Diggs,WR,BUF,target,166,95,0.572289156626506,0.7469879518072289,0.6807981667120055
2020,00-0031610,Darren Waller,TE,LV,target,146,92,0.6301369863013698,0.726027397260274,0.4405558528465673
2020,00-0031687,Raheem Mostert,RB,SF,carry,104,63,0.6057692307692307,0.9326923076923077,0.553580370527925
2020,00-0031806,Malcolm Brown,RB,LA,carry,101,55,0.5445544554455446,0.693069306930693,0.650303134473391
2020,00-0031868,Damiere Byrd,WR,NE,target,77,36,0.4675324675324675,0.7402597402597403,0.3595833414288649
2020,00-0031941,Jamison Crowder,WR,NYJ,target,89,36,0.4044943820224719,0.6741573033707865,0.22475035120842637
2020,00-0032054,Breshad Perriman,WR,NYJ,target,60,29,0.48333333333333334,0.6833333333333333,0.2173294130125214
2020,00-0032063,Mike Davis,RB,CAR,carry,165,92,0.5575757575757576,0.9090909090909091,0.5267426981731798
2020,00-0032063,Mike Davis,RB,CAR,target,70,35,0.5,0.8571428571428571,0.3987219747871028
2020,00-0032128,Chris Conley,WR,JAX,target,63,21,0.3333333333333333,0.7142857142857143,0.12711075724886514
2020,00-0032144,Melvin Gordon,RB,DEN,carry,215,121,0.5627906976744186,0.9348837209302325,0.3317645334842297
2020,00-0032144,Melvin Gordon,RB,DEN,target,44,20,0.45454545454545453,0.7954545454545454,0.2682447716245984
2020,00-0032187,David Johnson,RB,HOU,carry,147,79,0.5374149659863946,0.9183673469387755,0.3516627419423186
2020,00-0032187,David Johnson,RB,HOU,target,46,21,0.45652173913043476,0.6956521739130435,0.2657057442523617
2020,00-0032211,Tyler Lockett,WR,SEA,target,132,78,0.5909090909090909,0.8106060606060606,0.6651956282157423
2020,00-0032241,Todd Gurley,RB,ATL,carry,195,96,0.49230769230769234,0.882051282051282,0.5695694610285452
2020,00-0032257,Duke Johnson,RB,HOU,carry,77,49,0.6363636363636364,0.8961038961038961,0.5131880836954413
2020,00-0032385,Sterling Shepard,WR,NYG,target,92,45,0.4891304347826087,0.6956521739130435,0.36612965136680387
2020,00-0032392,Austin Hooper,TE,CLE,target,70,42,0.6,0.7428571428571429,0.6098110560194723
2020,00-0032602,J.D. McKissic,RB,WAS,carry,85,34,0.4,0.8470588235294118,0.3394891016185284
2020,00-0032602,J.D. McKissic,RB,WAS,target,110,30,0.2727272727272727,0.7,0.24911370328865642
2020,00-0032688,Robby Anderson,WR,CAR,target,137,75,0.5474452554744526,0.7591240875912408,0.39797373446173506
2020,00-0032741,Peyton Barber,RB,WAS,carry,95,39,0.4105263157894737,0.7684210526315789,0.578585120108704
2020,00-0032764,Derrick Henry,RB,TEN,carry,380,200,0.5263157894736842,0.9368421052631579,0.6043177057184794
2020,00-0032765,Michael Thomas,WR,NO,target,55,35,0.6363636363636364,0.6909090909090909,0.7453606831756505
2020,00-0032775,Demarcus Robinson,WR,KC,target,59,30,0.5084745762711864,0.8305084745762712,0.6430175300111395
2020,00-0032791,Jakeem Grant,WR,MIA,target,54,38,0.7037037037037037,0.6296296296296297,0.5479273898268325
2020,00-0032972,Devontae Booker,RB,LV,carry,93,57,0.6129032258064516,0.9247311827956989,0.5789595209569341
