season,week,posteam,plays,pass_rate,xpass_rate,proe
2020,1,ARI,73,0.6438356164383564,0.6238195469526394,2.001606948571699
2020,1,ATL,76,0.7236842105263162,0.7587522197710841,-3.506800924476794
2020,1,BAL,55,0.5090909090909089,0.5699405125596305,-6.084960346872159
2020,1,BUF,76,0.6447368421052629,0.5352383463790543,10.949849572620863
2020,1,CAR,65,0.6000000000000002,0.675707378754249,-7.570737875424882
2020,1,CHI,64,0.59375,0.633374959230423,-3.9624959230422974
2020,1,CIN,63,0.6190476190476194,0.6854309160558004,-6.638329700818102
2020,1,CLE,65,0.6153846153846158,0.657335659632316,-4.195104424770024
2020,1,DAL,66,0.6363636363636361,0.6748942211270332,-3.85305847633971
2020,1,DEN,59,0.5762711864406778,0.5599970986782494,1.6274087762428335
2020,1,DET,70,0.642857142857143,0.6555934982640402,-1.2736355406897215
2020,1,GB,74,0.5945945945945947,0.5149054584672322,7.96891361273625
2020,1,HOU,54,0.6851851851851852,0.6765106585290697,0.8674526656115567
2020,1,IND,68,0.6911764705882351,0.6669053892221521,2.4271081366082914
2020,1,JAX,42,0.5714285714285716,0.6004915737680026,-2.9063002339430932
2020,1,KC,66,0.4848484848484852,0.4991282362942442,-1.4279751445758992
2020,1,LA,70,0.47142857142857136,0.581014672773225,-10.958610134465369
2020,1,LAC,68,0.47058823529411764,0.6418936276698813,-17.13053923757637
2020,1,LV,61,0.4918032786885249,0.5305403933295461,-3.873711464102114
2020,1,MIA,57,0.5789473684210523,0.6873582026414704,-10.841083422041809
2020,1,MIN,49,0.5918367346938773,0.6900309278648726,-9.81941931709953
2020,1,NE,60,0.33333333333333315,0.5322950197383761,-19.896168640504296
2020,1,NO,64,0.515625,0.5468773093889467,-3.125230938894674
2020,1,NYG,61,0.737704918032787,0.672364770388994,6.534014764379304
2020,1,NYJ,48,0.7083333333333334,0.7409099781264861,-3.25766447931527
2020,1,PHI,59,0.7118644067796611,0.6292960381103774,8.256836866928374
2020,1,PIT,61,0.5409836065573769,0.6351016049624466,-9.411799840506973
2020,1,SEA,54,0.6666666666666667,0.5154844363806423,15.11822302860244
2020,1,SF,58,0.5862068965517241,0.654392526324453,-6.81856297727289
2020,1,TB,63,0.6031746031746034,0.652390356811266,-4.921575363666264
2020,1,TEN,77,0.5714285714285714,0.5995249426984167,-2.809637126984532
2020,1,WAS,64,0.515625,0.5699957322212867,-5.437073222128674
