season,week,posteam,plays,proe
2020,1,ARI,73,2.001606948571699
2020,1,ATL,76,-3.506800924476794
2020,1,BAL,55,-6.084960346872159
2020,1,BUF,76,10.949849572620863
2020,1,CAR,65,-7.570737875424882
2020,1,CHI,64,-3.9624959230422974
2020,1,CIN,63,-6.638329700818102
2020,1,CLE,65,-4.195104424770024
2020,1,DAL,66,-3.85305847633971
2020,1,DEN,59,1.6274087762428335
2020,1,DET,70,-1.2736355406897215
2020,1,GB,74,7.96891361273625
2020,1,HOU,54,0.8674526656115567
2020,1,IND,68,2.4271081366082914
2020,1,JAX,42,-2.9063002339430932
2020,1,KC,66,-1.4279751445758992
2020,1,LA,70,-10.958610134465369
2020,1,LAC,68,-17.13053923757637
2020,1,LV,61,-3.873711464102114
2020,1,MIA,57,-10.841083422041809
2020,1,MIN,49,-9.81941931709953
2020,1,NE,60,-19.896168640504296
2020,1,NO,64,-3.125230938894674
2020,1,NYG,61,6.534014764379304
2020,1,NYJ,48,-3.25766447931527
2020,1,PHI,59,8.256836866928374
2020,1,PIT,61,-9.411799840506973
2020,1,SEA,54,15.11822302860244
2020,1,SF,58,-6.81856297727289
2020,1,TB,63,-4.921575363666264
2020,1,TEN,77,-2.809637126984532
2020,1,WAS,64,-5.437073222128674
2020,2,ARI,70,6.29426811422621
2020,2,ATL,72,-0.5181873217225186
2020,2,BAL,58,-4.608073276628155
2020,2,BUF,56,8.174061615552242
2020,2,CAR,66,-6.6526348166393685
2020,2,CHI,60,-12.176367317636815
2020,2,CIN,84,4.597046474615696
2020,2,CLE,56,-10.041915066540252
2020,2,DAL,80,-7.722912579774888
2020,2,DEN,66,-6.2604251458789335
2020,2,DET,54,9.123863197035254
2020,2,GB,64,-10.114676866214722
2020,2,HOU,52,7.419505672386051
2020,2,IND,62,-11.779846725684951
2020,2,JAX,72,-0.07385243144298892
2020,2,KC,70,6.501993238925907
2020,2,LA,63,-0.7092896434996054
2020,2,LAC,76,-8.34547649872931
2020,2,LV,73,-0.48940294511515825
2020,2,MIA,69,8.693935257801089
2020,2,MIN,44,-11.844486540014099
2020,2,NE,69,0.19949441370759047
2020,2,NO,57,-2.947038307524563
2020,2,NYG,56,7.08400027028151
2020,2,NYJ,60,-12.502343480785715
2020,2,PHI,70,-2.5390561350754015
2020,2,PIT,61,11.17184286112668
2020,2,SEA,58,4.15564713806944
2020,2,SF,54,-11.571854642695856
2020,2,TB,57,2.992524716414924
2020,2,TEN,56,-13.898582650082442
2020,2,WAS,58,-8.335803885912107
2020,3,ARI,62,1.3636664036781654
2020,3,ATL,62,1.8802954304602548
2020,3,BAL,48,-4.940516625841473
2020,3,BUF,54,2.415784117248343
2020,3,CAR,49,2.301993661997237
2020,3,CHI,74,1.1162407696247434
2020,3,CIN,61,11.698851868754534
2020,3,CLE,60,-16.86312201122445
2020,3,DAL,78,14.40406479896641
2020,3,DEN,53,2.8187203519749127
2020,3,DET,58,-9.336447998367536
2020,3,GB,57,6.1059201626401
2020,3,HOU,42,-4.587624115603317
2020,3,IND,54,-11.52283180918961
2020,3,JAX,59,5.513762392229948
2020,3,KC,73,12.252459570459317
2020,3,LA,65,-7.3006414450132
2020,3,LAC,72,-5.828148623307571
2020,3,LV,54,-3.8520257230158284
2020,3,MIA,55,-7.770951193841996
2020,3,MIN,61,-12.369565616865607
2020,3,NE,63,-11.070554948870154
2020,3,NO,55,-4.705503718419479
2020,3,NYG,47,3.342736591684059
2020,3,NYJ,58,-3.9481302273684515
2020,3,PHI,83,-7.538605544222355
2020,3,PIT,71,-2.7157419479229006
2020,3,SEA,66,4.3948935965697045
2020,3,SF,69,-2.6382807696211152
2020,3,TB,60,11.473037215570592
2020,3,TEN,70,-8.999161102942043
2020,3,WAS,59,1.242021534402482
2020,4,ARI,54,-6.617196152607607
2020,4,ATL,64,-7.7163128182291985
2020,4,BAL,53,-5.043171518394429
2020,4,BUF,56,7.362770748191638
2020,4,CAR,69,9.02589383278633
2020,4,CHI,58,3.859981020976766
2020,4,CIN,68,6.817802359514386
2020,4,CLE,68,-5.467532827135379
2020,4,DAL,79,0.9128236883802932
2020,4,DEN,58,-8.61247138216581
2020,4,DET,54,-8.389069471094357
2020,4,GB,58,4.616272863771376
2020,4,HOU,59,-9.294988896887146
2020,4,IND,64,-12.781497920514084
2020,4,JAX,60,0.7028700908025209
2020,4,KC,51,11.860754983682265
2020,4,LA,52,4.642790068800662
2020,4,LAC,47,-1.383167315036693
2020,4,LV,66,-0.980080641580372
2020,4,MIA,68,7.713827841422161
2020,4,MIN,60,-10.666742225488013
2020,4,NE,72,-15.236520291202593
2020,4,NO,64,-16.63918396225199
2020,4,NYG,61,-8.833811542049819
2020,4,NYJ,69,2.612999815871775
2020,4,PHI,57,-1.0912486597111415
2020,4,SEA,57,10.352174865833518
2020,4,SF,65,-1.4435919660788166
2020,4,TB,70,2.5525380138840092
2020,4,WAS,67,2.4484249526885105
2020,5,ARI,64,3.7319434923119843
2020,5,ATL,59,-5.94036260903893
2020,5,BAL,60,-4.671354939540262
2020,5,BUF,68,5.9879865059081165
2020,5,CAR,62,4.753668185683956
2020,5,CHI,55,9.139437458731914
2020,5,CIN,58,-12.016130572762961
2020,5,CLE,71,0.0096744267453541255
2020,5,DAL,62,-9.794398349138955
2020,5,HOU,57,10.777834995666069
2020,5,IND,50,-4.704737454652797
2020,5,JAX,69,4.819217993729385
2020,5,KC,64,2.7839384973049164
2020,5,LA,63,-6.3843432873014585
2020,5,LAC,65,-12.076093554496747
2020,5,LV,64,-3.1063673726748675
2020,5,MIA,59,-0.11515694402029486
2020,5,MIN,81,-8.337961679991363
2020,5,NO,73,-4.466884960866924
2020,5,NYG,60,-6.385625377297388
2020,5,NYJ,61,-5.0358029418304024
2020,5,PHI,53,3.782456044880844
2020,5,PIT,64,-5.725895246723667
2020,5,SEA,49,7.151821103631262
2020,5,SF,54,-3.8829416312553433
2020,5,TB,60,-2.061395831406132
2020,5,TEN,62,-1.2896513806716192
2020,5,WAS,44,3.076011213389307
2020,6,ARI,58,-2.154033329209404
2020,6,ATL,76,2.6296168345173565
2020,6,BAL,62,-11.256109947158466
2020,6,BUF,50,-2.021281749010062
2020,6,CAR,58,-3.4079635451580215
2020,6,CHI,60,5.931864132483788
2020,6,CIN,70,-4.947396389075676
2020,6,CLE,50,-11.201696574687958
2020,6,DAL,81,-3.7961076439162467
2020,6,DEN,58,-10.804287524058925
2020,6,DET,67,-3.4155510365962813
2020,6,GB,56,-2.4382729881576415
2020,6,HOU,65,5.6999091230906185
2020,6,IND,58,9.155446907569608
2020,6,JAX,60,4.805256128311175
2020,6,KC,70,-4.681590721011153
2020,6,LA,57,-2.7999400308257427
2020,6,MIA,54,6.561633640969239
2020,6,MIN,51,3.4828987776064246
2020,6,NE,52,-12.951418700126482
2020,6,NYG,43,-8.898923979249124
2020,6,NYJ,66,-1.996705952015776
2020,6,PHI,62,-3.093595514374381
2020,6,PIT,56,-8.473608137241456
2020,6,SF,68,-2.0225185243522237
2020,6,TB,61,-2.275085956102496
2020,6,TEN,69,-3.7553527648898632
2020,6,WAS,67,-3.8390429829483486
2020,7,ARI,77,-8.343078650824431
2020,7,ATL,69,1.0546934993370671
2020,7,BUF,68,11.039486571269897
2020,7,CAR,42,12.256747626122966
2020,7,CHI,57,-0.894410829795067
2020,7,CIN,69,12.530760445456545
2020,7,CLE,49,-5.990522370046469
2020,7,DAL,48,-17.422595092405892
2020,7,DEN,73,-12.60670864418758
2020,7,DET,53,-6.257366009478282
2020,7,GB,59,4.894616600062863
2020,7,HOU,61,4.219292690519438
2020,7,JAX,57,-10.684958361742813
2020,7,KC,44,8.042209341444739
2020,7,LA,65,-1.4249501549280619
2020,7,LAC,73,9.139959054858748
2020,7,LV,60,0.7649884993831568
2020,7,NE,47,-10.287434623596535
2020,7,NO,64,-3.0263031949289143
