season,posteam,games,team_pass_attempts,team_carries,team_rec_yds_exp,team_rec_td_exp,team_rush_td_exp,pass_attempts_pg,carries_pg
2020,ARI,16,575,479,4407.010000000001,28.349999999999998,24.05,35.9375,29.9375
2020,ATL,16,628,409,5048.41,36.04,13.109999999999998,39.25,25.5625
2020,BAL,16,406,555,3096.61,27.42,22.04,25.375,34.6875
2020,BUF,16,596,411,4643.38,41.16,19.239999999999995,37.25,25.6875
2020,CAR,16,550,407,4082.71,21.65,17.8,34.375,25.4375
2020,CHI,16,614,393,4318.15,30.619999999999997,15.009999999999998,38.375,24.5625
2020,CIN,16,581,411,4191.59,26.519999999999996,12.87,36.3125,25.6875
2020,CLE,16,501,495,3907.1000000000004,33.14,19.599999999999998,31.3125,30.9375
2020,DAL,16,639,430,4736.0599999999995,29.76,18.450000000000003,39.9375,26.875
2020,DEN,16,556,442,4033.0600000000004,23.54,11.150000000000002,34.75,27.625
2020,DET,16,582,367,4594.52,28.24,15.780000000000001,36.375,22.9375
2020,GB,16,526,443,4077.84,40,15.91,32.875,27.6875
2020,HOU,16,546,344,4287.879999999999,33.92,11.83,34.125,21.5
2020,IND,16,552,459,4220.94,26.69,20.09,34.5,28.6875
2020,JAX,16,616,337,4502.75,27.859999999999996,5.59,38.5,21.0625
2020,KC,16,630,403,5009.19,40.98,15,39.375,25.1875
2020,LA,16,590,473,4361.12,22.729999999999997,25.66,36.875,29.5625
2020,LAC,16,627,466,4613.049999999999,31.740000000000002,16.64,39.1875,29.125
2020,LV,16,551,457,4260.610000000001,34.970000000000006,16.35,34.4375,28.5625
2020,MIA,16,559,428,4174.3099999999995,30.09,19.68,34.9375,26.75
2020,MIN,16,516,468,4016.2699999999995,32.79,22.549999999999997,32.25,29.25
2020,NE,16,440,502,3290.3499999999995,13.729999999999999,23.21,27.5,31.375
2020,NO,16,522,494,3887.56,27.58,24.81,32.625,30.875
2020,NYG,16,517,399,3719.8200000000006,19.290000000000003,11.900000000000002,32.3125,24.9375
