season,week,posteam,implied_total,total_line,vegas_wp
2020,1,ARI,20.75,48.5,0.3075451753837497
2020,1,ATL,24.25,49.5,0.22952727614197346
2020,1,BAL,20,47,0.9343443480985505
2020,1,BUF,16.5,39.5,0.9471995471379696
2020,1,CAR,25.5,48,0.2922005950962122
2020,1,CHI,20,42.5,0.2963033327832818
2020,1,CIN,22,41.5,0.46606522565707564
2020,1,CLE,20,47,0.08971188980704581
2020,1,DAL,25.5,52,0.38707153391883226
2020,1,DEN,22,41,0.46931351317187486
2020,1,DET,20,42.5,0.6867967497714809
2020,1,GB,22,45,0.7010912883438563
2020,1,HOU,22,53.5,0.0892926781159995
2020,1,IND,25.5,44,0.6904462139834375
2020,1,JAX,25.5,44,0.25809113508047055
2020,1,KC,22,53.5,0.8756097762873678
2020,1,LA,25.5,52,0.6825641083045745
2020,1,LAC,22,41.5,0.5392910341421764
2020,1,LV,25.5,48,0.6465204265273985
2020,1,MIA,17,41.5,0.14672883826237298
2020,1,MIN,22,45,0.19376539182585034
2020,1,NE,17,41.5,0.8715909309074527
2020,1,NO,22.25,48.5,0.7797972174791189
2020,1,NYG,25,44,0.2159545125866519
2020,1,NYJ,16.5,39.5,0.0585380430863006
2020,1,PHI,23.5,41.5,0.7518336178056138
2020,1,PIT,25,44,0.7851864536923747
2020,1,SEA,24.25,49.5,0.7676497567783702
2020,1,SF,20.75,48.5,0.7040268948365902
2020,1,TB,22.25,48.5,0.2067684133361493
2020,1,TEN,22,41,0.605185863646594
2020,1,WAS,23.5,41.5,0.35322929029144445
2020,2,ARI,19.5,46.5,0.9568403269563402
2020,2,ATL,25,53,0.7951622696451637
2020,2,BAL,28.5,49.5,0.9164289226297473
2020,2,BUF,24,42.5,0.7739898701166285
2020,2,CAR,19.75,47,0.07418897103740493
2020,2,CHI,19,42.5,0.8538417895634969
2020,2,CIN,19.25,44.5,0.11556744398549201
2020,2,CLE,19.25,44.5,0.8676043594705647
2020,2,DAL,25,53,0.22570843696814996
2020,2,DEN,17.5,41,0.16345044189736696
2020,2,DET,22,51,0.2533343336049088
