season,receiver_player_id,receiver_full_name,receiver_position,posteam,receptions,yac,yac_exp,yac_oe_total,yac_oe_per_rec
2020,00-0022921,Larry Fitzgerald,WR,ARI,54,41.08447143435478,280.60789884626865,-239.52342741191387,-4.435619026146553
2020,00-0026035,Danny Amendola,WR,DET,46,35.57204324007034,241.13615703582764,-205.5641137957573,-4.4687850825164634
2020,00-0027061,Jared Cook,TE,NO,37,29.746865272521973,131.55890026688576,-101.81203499436378,-2.7516766214692914
2020,00-0027656,Rob Gronkowski,TE,TB,45,28.319011747837067,223.87582904286683,-195.55681729502976,-4.3457070510006615
2020,00-0027685,Emmanuel Sanders,WR,NO,61,42.44427266716957,256.3045108243823,-213.86023815721273,-3.505905543560865
2020,00-0027696,Jimmy Graham,TE,CHI,50,34.21068653464317,211.99417278170586,-177.78348624706268,-3.5556697249412537
2020,00-0027793,Antonio Brown,WR,TB,45,26.584819495677948,250.63178750872612,-224.04696801304817,-4.97882151140107
2020,00-0027891,Golden Tate,WR,NYG,35,27.91658842563629,154.85412999242544,-126.93754156678915,-3.6267869019082615
2020,00-0027942,A.J. Green,WR,CIN,47,31.59783011674881,183.79644784331322,-152.1986177265644,-3.2382684622673277
2020,00-0027944,Julio Jones,WR,ATL,51,33.58129259943962,221.09899413585663,-187.517701536417,-3.6768176771846472
2020,00-0027981,Kyle Rudolph,TE,MIN,28,20.04474949836731,143.07403874397278,-123.02928924560547,-4.393903187343052
2020,00-0028002,Randall Cobb,WR,HOU,38,28.027627795934677,172.02381893992424,-143.99619114398956,-3.78937345115762
2020,00-0029000,Cole Beasley,WR,BUF,82,54.132709711790085,370.6144977658987,-316.4817880541086,-3.859534000659861
2020,00-0029293,Marvin Jones,WR,DET,76,55.29991576075554,292.5295335520059,-237.22961779125035,-3.1214423393585573
2020,00-0029608,T.Y. Hilton,WR,IND,56,40.91095143556595,234.25994101911783,-193.34898958355188,-3.4526605282777125
2020,00-0030035,Adam Thielen,WR,MIN,74,48.08660654723644,270.7180870398879,-222.63148049265146,-3.0085335201709658
2020,00-0030061,Zach Ertz,TE,PHI,36,23.607492446899414,167.560062199831,-143.9525697529316,-3.9986824931369886
2020,00-0030279,Keenan Allen,WR,LAC,100,72.62885300815105,464.24160694889724,-391.6127539407462,-3.9161275394074617
2020,00-0030288,Rex Burkhead,RB,NE,25,18.359350323677063,207.43441665172577,-189.0750663280487,-7.5630026531219485
2020,00-0030431,Robert Woods,WR,LA,90,62.31073524057865,480.7298480272293,-418.41911278665066,-4.649101253185007
2020,00-0030456,Giovani Bernard,RB,CIN,47,33.16455100476742,328.3997439146042,-295.23519290983677,-6.281599849145463
2020,00-0030472,Jordan Reed,TE,SF,26,20.177611827850342,107.99921818077564,-87.8216063529253,-3.3777540904971266
2020,00-0030506,Travis Kelce,TE,KC,105,69.35103982686996,499.2130750711076,-429.86203524423763,-4.093924145183215
2020,00-0030549,Tyler Eifert,TE,JAX,36,28.627911776304245,154.1652727960609,-125.53736101975664,-3.487148917215462
2020,00-0030564,DeAndre Hopkins,WR,ARI,115,78.17169407010078,548.7519539180212,-470.5802598479204,-4.092002259547134
2020,00-0030663,Willie Snead,WR,BAL,33,24.50196260213852,141.7764514386654,-117.27448883652687,-3.5537723889856627
2020,00-0030710,Trey Burton,TE,IND,28,20.49292665719986,110.12244538217783,-89.62951872497797,-3.201054240177785
2020,00-0031051,John Brown,WR,BUF,33,21.03019981086254,157.48961502313614,-136.4594152122736,-4.135133794311321
2020,00-0031062,James White,RB,NE,49,39.92468112707138,399.6402462720871,-359.7155651450157,-7.341133982551341
2020,00-0031236,Brandin Cooks,WR,HOU,81,52.43217617273331,348.68946838378906,-296.25729221105576,-3.657497434704392
2020,00-0031260,Logan Thomas,TE,WAS,72,51.91186720132828,305.24904078245163,-253.33717358112335,-3.5185718552933793
2020,00-0031273,Cameron Brate,TE,TB,28,20.98769262433052,116.917745500803,-95.93005287647247,-3.4260733170168742
2020,00-0031325,Sammy Watkins,WR,KC,37,22.11879573762417,156.2452418655157,-134.12644612789154,-3.625039084537609
2020,00-0031376,Jerick McKinnon,RB,SF,33,28.630466908216476,208.34160351753235,-179.71113660931587,-5.445792018464117
2020,00-0031381,Davante Adams,WR,GB,115,69.1201134622097,550.9170384143945,-481.7969249521848,-4.189538477845085
2020,00-0031382,Jarvis Landry,WR,CLE,72,49.817533016204834,323.21540230326355,-273.3978692870587,-3.7971926289869264
