setting,value
id,3854
sport,nfl
name,YeahThatFantasyLeague!
slug,totallyheterosexualmensffl-id-42081
custom_domain,
custom_domain_status,
custom_domain_verified_at,
social_share_dismissed_at,
custom_domain_forge_site_id,
custom_domain_verification_name,
custom_domain_verification_value,
custom_domain_error,
type,redraft
image,
theme_dark,false
theme,
is_demo,false
demo_ends_at,
is_private,1
use_finances,1
use_rules,1
use_newsletters,1
use_notes,1
use_record_book,1
use_draft,1
use_schedule,1
use_transactions,1
use_players,1
use_versus,1
use_achievements,1
use_hall_of_fame,0
use_gamecenter,1
use_playoffs,1
use_polls,0
use_resources,1
achievements_include_inactive,0
discord_guild_id,1412977384499576967
discord_channel_id,1412977385422328002
discord_newsletter_published,1
discord_note_published,1
discord_update_published,1
draft_include_keepers,0
history_include_playoffs,false
history_include_consolation,false
recordbook_include_inactive,0
recordbook_display_season_name,false
recordbook_include_playoffs,0
recordbook_filter_seasons,
versus_include_playoffs,1
versus_include_consolation,1
use_member_name_display,1
use_comanager_stats,0
newsletter_generated_summaries,1
newsletter_auto_publish,1
newsletter_custom_intro,"Write the introduction like Donald Trump is addressing the league. It should be hilarious, sarcastic, and totally self-absorbed. Use phrases like ‘Everybody’s talking about it,’ ‘Believe me,’ and ‘Tremendous, just tremendous.’ Act like the league revolves around Trump, mock bad performances as ‘total disasters,’ and brag about greatness with lines like ‘Nobody’s ever seen fantasy football played this well.’ The tone should be arrogant but entertaining, with constant exaggeration and comedic put-downs."
newsletter_custom_recap,"Do the matchup recaps as Donald Trump commentary. Treat winners as ‘winners, the best, everybody says so,’ and losers as ‘losers, folks, complete disasters—sad!’ Be sarcastic, use ego-driven quips, and sprinkle in mock praise like ‘almost as good as me, but not quite.’ It should sound like Trump is doing a roast—lots of jokes, insults, and constant self-comparisons (‘if I was managing, it would’ve been a landslide’)."
open_ai_tokens,549606
newsletter_custom_preview,"Preview the upcoming matchups like Donald Trump hyping rallies. Be cocky, funny, and overblown—‘This is going to be YUGE,’ ‘Everyone’s watching, they can’t believe it.’ Over-praise certain teams as ‘the best, maybe ever’ and rip others as ‘weak, failing, very low energy.’ Predict results with smug confidence (‘I already know who wins, I’m rarely wrong, people say never’). Keep the tone sharp, sarcastic, and full of ego."
notification_event_upcoming,0
notification_finance_created,0
notification_finance_past_due,0
notification_note_published,0
notification_newsletter_published,1
roster_positions,"[""qb"",""rb"",""wr"",""te"",""k"",""def""]"
owner_id,7278
stripe_id,cus_QpHVwxiSyTcSxv
pm_type,amex
pm_last_four,7007
pm_expiration,07/2031
extra_billing_information,
trial_ends_at,
trial_recover_attempt_at,
trial_recover_personal_attempt_at,
no_season_recover_attempt_at,
one_season_recover_attempt_at,
trial_to_demo_attempt_at,
wrapped_convert_attempt_at,
billing_address,
billing_address_line_2,
billing_city,
billing_state,
billing_postal_code,
vat_id,
billing_country,
league_dirty_at,2026-08-11 08:38:12
recordbook_dirty_at,
recordbook_warehoused_at,2026-01-04 01:52:04
catchup_attempted_at,
catchup_completed_at,
archived_at,
created_at,2024-09-10T22:32:22.000000Z
updated_at,2026-08-11T08:38:12.000000Z
deleted_at,
franchise_tools,"{""power_rankings_mode"":""franchise_aggregate"",""trade_block_enabled"":true,""press_releases_enabled"":true,""has_current_season"":true,""has_public_press_releases"":false}"
image_path,/images/league_default.png
subscription_status,"{""status"":""subscribed"",""expires"":null,""renews"":""9/10/26"",""renew_days"":30.513702968171295}"
theme_colors,"{""primary-color"":""bg-blue-600"",""primary-border-color"":""border-blue-500"",""primary-tab"":""bg-blue-600 hover:bg-blue-700 dark:bg-blue-700 dark:border-blue-500"",""highlight-color"":""bg-sky-100 text-blue-600 border-blue-200 hover:bg-blue-200 dark:bg-blue-600 dark:hover:bg-blue-800 dark:text-blue-800 dark:border-blue-400 border-y"",""panel-color"":""bg-gray-800"",""header-color"":""bg-gray-900""}"
notes_published,"[{""id"":3945,""league_id"":3854,""title"":""Welcome to your Fantasy League Home!"",""slug"":""welcome-to-your-fantasy-league-home"",""description"":""### Get started building your League Legacy!\nWelcome to your Fantasy League Home - along will all the great features provided by League Legacy from history, stats, records, and more - the League Home provides a central place for League Members to stay informed. Members can...\n\n- Access their **League Member** page\n- View the **Season** page for the current or latest season\n- Get reminders on any **League Finances** owed or outstanding\n- View the **League Rules**\n- and more!\n\nYour **League Schedule** will also display here on the League Home. The events for the League Schedule will be automaticlaly imported from your current season where available, and the Commissioner can manually add or manage events throughout the year.\n\nThe Commissioner can also publish **Commissioner Notes** that will display right here, for all Members to stay informed on the latest League news. *(Commissioners can remove this League Note, too)*\n\nWe have even more exciting features on the way as we continue to work towards building the **best** Fantasy Commissioner and Fantasy League Tools!"",""is_pinned"":false,""status"":""published"",""created_by"":null,""published_at"":""2024-09-10 22:32:22"",""notified_published_at"":null,""created_at"":null,""updated_at"":""2025-07-22T11:57:35.000000Z""}]"
