season,matchup_id,week,team_id,member_name,player_id,service_player_id,player_position,lineup_position,player_team,started,is_optimal,points,points_ppr
2013,4045144,1,186677,Cambrias,00-0029668,25711,QB,QB,IND,true,true,24.92,24.92
2013,4045144,1,186677,Cambrias,00-0024334,7868,WR,WR,CHI,true,true,24.4,24.4
2013,4045144,1,186677,Cambrias,00-0028002,24851,WR,WR,GB,true,true,24.4,24.4
2013,4045144,1,186677,Cambrias,00-0027861,23984,RB,RB,BUF,true,false,8.5,8.5
2013,4045144,1,186677,Cambrias,00-0029615,25807,RB,RB,MIA,true,false,2,2
2013,4045144,1,186677,Cambrias,00-0028040,24889,TE,TE,CLE,true,true,25.8,25.8
2013,4045144,1,186677,Cambrias,00-0027793,24171,WR,W/R/T,PIT,true,false,12.5,12.5
2013,4045144,1,186677,Cambrias,00-0027656,24017,TE,BN,FA,false,false,0,
2013,4045144,1,186677,Cambrias,00-0027531,24400,RB,BN,NYJ,false,false,1.5,1.5
2013,4045144,1,186677,Cambrias,00-0027994,24843,RB,BN,NE,false,true,22.9,22.9
2013,4045144,1,186677,Cambrias,00-0027685,24057,WR,BN,PIT,false,true,12.7,12.7
2013,4045144,1,186677,Cambrias,00-0024204,8063,RB,BN,BUF,false,true,14.8,14.8
2013,4045144,1,186677,Cambrias,00-0026188,8825,TE,BN,WAS,false,false,4.2,4.2
2013,4045144,1,186677,Cambrias,00-0026158,8795,QB,BN,BAL,false,false,18.48,18.48
2013,4045144,1,186677,Cambrias,00-0029621,25881,K,K,LAR,true,true,14,14
2013,4045144,1,186677,Cambrias,DEF-0030,100027,DEF,DEF,TB,true,true,10,10.0
2013,4045128,1,186676,Team JoeBa,00-0022787,6849,QB,QB,HOU,true,true,23.84,23.84
2013,4045128,1,186676,Team JoeBa,00-0022044,6339,WR,WR,HOU,true,true,26.6,26.6
2013,4045128,1,186676,Team JoeBa,00-0024466,8001,WR,WR,NO,true,true,17.8,17.8
2013,4045128,1,186676,Team JoeBa,00-0026213,8850,RB,RB,KC,true,true,19,19
2013,4045128,1,186676,Team JoeBa,00-0029141,25883,RB,RB,WAS,true,true,10.4,10.4
2013,4045128,1,186676,Team JoeBa,00-0027061,9353,TE,TE,LAR,true,true,31.1,31.1
2013,4045128,1,186676,Team JoeBa,00-0027005,9293,WR,W/R/T,NYG,true,true,16.4,16.4
2013,4045128,1,186676,Team JoeBa,00-0026163,8800,RB,BN,ARI,false,false,7.4,7.4
2013,4045128,1,186676,Team JoeBa,00-0021678,6624,QB,BN,DAL,false,false,16.42,16.42
2013,4045128,1,186676,Team JoeBa,00-0029547,25880,RB,BN,IND,false,false,6.8,6.8
2013,4045128,1,186676,Team JoeBa,00-0030578,26652,WR,BN,MIN,false,false,2,2
2013,4045128,1,186676,Team JoeBa,00-0026201,8838,TE,BN,CHI,false,false,13.9,13.9
2013,4045128,1,186676,Team JoeBa,00-0019646,5046,K,K,LV,true,false,5,5
2013,4045128,1,186676,Team JoeBa,00-0028660,25427,K,BN,DAL,false,true,13,13
2013,4045128,1,186676,Team JoeBa,DEF-0009,100006,DEF,DEF,DAL,true,true,26,26.0
2013,4045128,1,186676,Team JoeBa,DEF-0010,100007,DEF,BN,DEN,false,false,9,9.0
2013,4045159,1,186678,Nolan & Vinny,00-0026143,8780,QB,QB,ATL,true,true,19.36,19.36
2013,4045159,1,186678,Nolan & Vinny,00-0023496,7237,WR,WR,TB,true,true,22.4,22.4
