stat,value
numTransactions,3814
numWaivers,3690
numTrades,124
bestSeason,
worstSeason,
bestTradeSeason,
worstTradeSeason,
avgFaabTeam,217.5648148148148
avgFaabSeason,2610.777777777778
avgValueFaab,0.0652551389539091
mostTransactedPlayer,"{""player"":""Los Angeles Chargers &middot; DEF"",""count"":56}"
mostTransactedTeam,"{""team"":""LAC"",""count"":247}"
mostValueByPlayer,"{""player"":""Kirk Cousins &middot; QB"",""value"":382.53}"
mostValueByTeam,"{""team"":""CHI"",""value"":915.56}"
