gsis_id,player_name,player_team,position,count,first_team_count,second_team_count,seasons
00-0030506,Travis Kelce,KC,TE,9,5,4,"[""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024""]"
00-0027793,Antonio Brown,FA,WR,5,3,2,"[""2014"",""2015"",""2016"",""2017"",""2018""]"
00-0034857,Josh Allen,BUF,QB,4,4,0,"[""2020"",""2021"",""2023"",""2024""]"
00-0033280,Christian McCaffrey,SF,RB,4,3,1,"[""2019"",""2022"",""2023"",""2025""]"
00-0024333,Stephen Gostkowski,FA,K,4,3,1,"[""2013"",""2014"",""2015"",""2017""]"
00-0037692,Brandon Aubrey,DAL,K,3,3,0,"[""2023"",""2024"",""2025""]"
DEF-0010,Denver Broncos,DEN,DEF,3,3,0,"[""2015"",""2016"",""2025""]"
00-0027656,Rob Gronkowski,FA,TE,3,3,0,"[""2014"",""2015"",""2017""]"
00-0029597,Justin Tucker,BAL,K,3,2,1,"[""2016"",""2018"",""2021""]"
DEF-0026,Philadelphia Eagles,PHI,DEF,3,2,1,"[""2017"",""2022"",""2024""]"
00-0020531,Drew Brees,FA,QB,3,1,2,"[""2013"",""2016"",""2018""]"
DEF-0022,New England Patriots,NE,DEF,3,1,2,"[""2019"",""2021"",""2025""]"
00-0019596,Tom Brady,FA,QB,3,1,2,"[""2015"",""2017"",""2021""]"
00-0031381,Davante Adams,LV,WR,3,0,3,"[""2018"",""2020"",""2022""]"
DEF-0009,Dallas Cowboys,DAL,DEF,2,2,0,"[""2022"",""2023""]"
00-0026184,Matt Forte,FA,RB,2,2,0,"[""2013"",""2014""]"
00-0010346,Peyton Manning,FA,QB,2,2,0,"[""2013"",""2014""]"
00-0032241,Todd Gurley,FA,RB,2,2,0,"[""2017"",""2018""]"
00-0033040,Tyreek Hill,MIA,WR,2,2,0,"[""2020"",""2023""]"
00-0023459,Aaron Rodgers,PIT,QB,2,1,1,"[""2016"",""2018""]"
00-0033699,Austin Ekeler,WAS,RB,2,1,1,"[""2021"",""2022""]"
DEF-0004,Buffalo Bills,BUF,DEF,2,1,1,"[""2014"",""2021""]"
00-0033077,Dak Prescott,DAL,QB,2,1,1,"[""2019"",""2025""]"
00-0028660,Dan Bailey,FA,K,2,1,1,"[""2014"",""2016""]"
DEF-0013,Houston Texans,HOU,DEF,2,1,1,"[""2014"",""2018""]"
00-0027696,Jimmy Graham,FA,TE,2,1,1,"[""2013"",""2014""]"
00-0036322,Justin Jefferson,MIN,WR,2,1,1,"[""2021"",""2022""]"
00-0034796,Lamar Jackson,BAL,QB,2,1,1,"[""2019"",""2024""]"
00-0034753,Mark Andrews,BAL,TE,2,1,1,"[""2019"",""2021""]"
DEF-0027,Pittsburgh Steelers,PIT,DEF,2,1,1,"[""2020"",""2023""]"
00-0034844,Saquon Barkley,PHI,RB,2,1,1,"[""2018"",""2024""]"
00-0032569,Wil Lutz,DEN,K,2,1,1,"[""2018"",""2019""]"
00-0033893,Dalvin Cook,BAL,RB,2,0,2,"[""2019"",""2020""]"
00-0025418,Greg Olsen,FA,TE,2,0,2,"[""2015"",""2016""]"
00-0036389,Jalen Hurts,PHI,QB,2,0,2,"[""2022"",""2023""]"
00-0030496,Le'Veon Bell,FA,RB,2,0,2,"[""2016"",""2017""]"
DEF-0029,Seattle Seahawks,SEA,DEF,2,0,2,"[""2015"",""2016""]"
00-0035229,T.J. Hockenson,MIN,TE,2,0,2,"[""2022"",""2023""]"
00-0036162,Tyler Bass,BUF,K,2,0,2,"[""2021"",""2022""]"
00-0033906,Alvin Kamara,NO,RB,1,1,0,"[""2020""]"
DEF-0001,Arizona Cardinals,ARI,DEF,1,1,0,"[""2013""]"
00-0039338,Brock Bowers,LV,TE,1,1,0,"[""2024""]"
00-0025389,Calvin Johnson,FA,WR,1,1,0,"[""2013""]"
DEF-0006,Chicago Bears,CHI,DEF,1,1,0,"[""2018""]"
00-0033921,Chris Godwin,TB,WR,1,1,0,"[""2019""]"
00-0033908,Cooper Kupp,LAR,WR,1,1,0,"[""2021""]"
00-0034161,Daniel Carlson,LV,K,1,1,0,"[""2022""]"
00-0032187,David Johnson,FA,RB,1,1,0,"[""2016""]"
00-0030564,DeAndre Hopkins,TEN,WR,1,1,0,"[""2017""]"
00-0031285,Devonta Freeman,FA,RB,1,1,0,"[""2015""]"
00-0033303,Harrison Butker,KC,K,1,1,0,"[""2019""]"
00-0036900,Ja'Marr Chase,CIN,WR,1,1,0,"[""2024""]"
00-0036223,Jonathan Taylor,IND,RB,1,1,0,"[""2021""]"
00-0027944,Julio Jones,FA,WR,1,1,0,"[""2015""]"
00-0032726,Ka'imi Fairbairn,HOU,K,1,1,0,"[""2024""]"
00-0020578,Matt Bryant,FA,K,1,1,0,"[""2016""]"
00-0023853,Matt Prater,ARI,K,1,1,0,"[""2013""]"
00-0033873,Patrick Mahomes,KC,QB,1,1,0,"[""2022""]"
00-0039075,Puka Nacua,LAR,WR,1,1,0,"[""2025""]"
00-0029263,Russell Wilson,PIT,QB,1,1,0,"[""2017""]"
00-0037744,Trey McBride,ARI,TE,1,1,0,"[""2025""]"
00-0033702,Younghoe Koo,ATL,K,1,1,0,"[""2020""]"
00-0030061,Zach Ertz,WAS,TE,1,1,0,"[""2018""]"
