list,rank,gsis_id,name,position,team,fn_player_id,total_pts,avg_started_pts,best_week,started_weeks,total_weeks,times_drafted,as_keeper,avg_round,avg_value,times_added,times_dropped,overall_rank,pos_rank,rings,championship_contributions
topScorers,1,00-0030506,Travis Kelce,TE,KC,341,2341.46,15.2,38.8,154,175,12,0,3.6,17.48,0,0,1,1,1,1
topScorers,2,00-0033280,Christian McCaffrey,RB,SF,954,2314.26,22.25,48.7,104,132,9,0,1.2,14.23,1,3,2,1,1,1
topScorers,3,00-0030564,DeAndre Hopkins,WR,TEN,338,2205.04,17.09,39,129,180,13,0,5.2,5.74,0,2,3,1,2,2
topScorers,4,00-0033873,Patrick Mahomes,QB,KC,945,2196.78,21.97,40,100,122,8,0,4.6,17.85,0,0,4,1,1,1
topScorers,5,00-0034857,Josh Allen,QB,BUF,1205,2161.16,23.49,51.88,92,102,6,0,3.8,26.43,3,2,5,2,1,1
topScorers,6,00-0031381,Davante Adams,WR,LV,451,2161.1,17.57,44.6,123,162,11,0,3.4,10.05,5,5,6,2,2,2
topScorers,7,00-0033040,Tyreek Hill,WR,MIA,848,2100.7,18.27,57.9,115,131,9,0,2.4,11.6,1,1,7,3,0,1
topScorers,8,00-0031408,Mike Evans,WR,TB,447,2083,15.9,45,131,170,12,0,3.5,6.82,1,1,8,4,2,2
topScorers,9,00-0023459,Aaron Rodgers,QB,PIT,52,2057.84,20.79,43.76,99,155,12,0,6.1,4.25,5,6,9,3,1,0
topScorers,10,00-0033906,Alvin Kamara,RB,NO,956,1960.52,17.5,44.7,112,142,9,0,3,14.81,0,0,10,2,2,2
topAverages,1,00-0039851,Drake Maye,QB,NE,3526,382.72,25.51,42.44,15,16,1,0,11,31.93,0,0,223,31,0,0
topAverages,2,00-0034857,Josh Allen,QB,BUF,1205,2161.16,23.49,51.88,92,102,6,0,3.8,26.43,3,2,5,2,1,1
topAverages,3,00-0036389,Jalen Hurts,QB,PHI,1888,1380.06,22.26,35.14,62,72,5,0,4.4,18.5,0,0,28,11,0,0
topAverages,4,00-0033280,Christian McCaffrey,RB,SF,954,2314.26,22.25,48.7,104,132,9,0,1.2,14.23,1,3,2,1,1,1
topAverages,5,00-0033873,Patrick Mahomes,QB,KC,945,2196.78,21.97,40,100,122,8,0,4.6,17.85,0,0,4,1,1,1
topAverages,6,00-0037834,Brock Purdy,QB,SF,2747,372.32,21.9,43.92,17,39,2,0,12.5,0.28,3,2,227,32,2,2
topAverages,7,00-0010346,Peyton Manning,QB,FA,,743.84,21.88,46.28,34,42,3,0,2.3,2.32,0,1,114,23,1,1
topAverages,8,00-0038559,Michael Wilson,WR,ARI,3190,65.6,21.87,37.2,3,4,0,0,,,2,1,526,151,0,0
topAverages,9,00-0028986,Case Keenum,QB,HOU,297,86.84,21.71,28.6,4,12,0,0,,,3,1,495,59,1,1
topAverages,10,00-0027793,Antonio Brown,WR,FA,,1899.7,21.59,47.6,88,122,8,0,2.6,10.63,2,2,15,7,0,1
