section,subsection,text
SECTION 1 - GENERAL LEAGUE INFO,1.1 League Settings,"#TotallyHeterosexualMensFFL (ID# 42081) is a {League Size} team Fantasy Football League currently played on the {Fantasy Service} Fantasy platform.

This League utilizes the PPR scoring format in a H2H format where each Team is matched against another Team each week.

Rules as outlined will apply for the entirety of the season. Proposed League Rule changes will be debated and voted upon during the off-season and this document can be amended at that time."
SECTION 1 - GENERAL LEAGUE INFO,1.2 Scoring Settings,PPR scoring rules will apply with no additional adjustments.
SECTION 1 - GENERAL LEAGUE INFO,1.3 Roster Settings,"Each Team will have the following roster spots allotted.

QB
RB
RB
WR
WR
TE
FLEX
K
DST

Each Team will also have 4 Bench spots and 1 IR designated spot."
SECTION 1 - GENERAL LEAGUE INFO,1.4 Keepers,"Each Team has the option to 'Keep' one (1) player from their prior year roster. the Keeper player will be automatically selected for the keeping Team during the Draft.

The Keeper will be kept with a 'one round penalty' compared to the prior year's draft round. Ex. Player A was selected in Round 7 the prior season, they would be automatically selected in Round 6 in this years draft.

Only players that were drafted by the Team, and remained on the Team's roster the entire season, are eligible to be kept.
Players selected in the 1st round, are not eligible to be kept."
SECTION 1 - GENERAL LEAGUE INFO,1.5 Schedule,"There will be 14 weeks of Regular season play. Each Team will face one Opponent Team each week. The Schedule will be randomly shuffled one (1) time post-completion of the draft.

The Schedule will not otherwise be altered in any way."
SECTION 2 - LEAGUE DUES & PRIZES,2.1 League Dues,Yearly league dues (entry fee) is $150. League dues must be paid prior to the completion of the draft.
SECTION 2 - LEAGUE DUES & PRIZES,2.2 League Prizes,"League Prizes are distributed for in-season accomplishments and end of season accommplishments as follows:

1st Place Overall - $750
2nd Place Overall - $300
3rd Place Overall - $100
Weekly High Score - $25 (Regular Season Only)

Additionally, a League Trophy has been commissioned and will be presented to the Champion with a nameplate added for their season victory."
SECTION 3 - DRAFT,3.1 Draft Date & Location,The Draft takes place online on the {Fantasy Service} Fantasy platform 1-2 weeks prior to the start of the season at an agreed upon date/time. See the League Schedule for more details.
SECTION 3 - DRAFT,3.2 Draft Style,The Draft is a snake style draft with 2 minutes allotted per pick selection.
SECTION 3 - DRAFT,3.3 Draft Order,Draft Order is determined by the reverse finish from the previous season's standings. Ex. 12th place in the prior season drafts 1st; 11th place drafts 2nd; etc.
SECTION 4 - TRANSACTIONS,4.1 Waivers,A FAAB system is utilized for waiver wire transactions. Each Team begins the season with a budget of $100. Blind waiver bids must be placed by midnight Tuesday for the corresponding week.
SECTION 4 - TRANSACTIONS,4.2 Trades,"The Trade Deadline is set by {Fantasy Service}. See the League Schedule for more details.

Trades should be made with an effort by both parties to improve their respective teams. All trades are subject to reversal by the Commissioner in order to maintain the integrity of the League."
SECTION 5 - PLAYOFFS,5.1 Overview,"At the conclusion of the 14 regular season weeks, 6 teams will advance to the Playoffs.

Playoff seeding is determined by best H2H record. Total points scored is utilized as the tiebreaker.
The 1st and 2nd seeded Teams will have a Round 1 bye in Week 15.
The Championship matchup will be played in Week 17."
SECTION 6 - COMPETITIVENESS,6.1 Overview,#TotallyHeterosexualMensFFL (ID# 42081) takes the competitive nature and integrity of the League seriously. No anti-competitive behavior will be tolerated and violators are subject to removal from the League with the forfeit of any prizes due.
SECTION 6 - COMPETITIVENESS,6.2 Tanking,No 'tanking' or the intentional losing or manipulation of the outcome of matchups.
SECTION 6 - COMPETITIVENESS,6.3 Player Dumping,No 'dumping' of players without merit. Ex. Dropping entire roster; dropping high-value players after elimination; etc.
SECTION 6 - COMPETITIVENESS,6.4 General Collusion,All Teams should act in a manner that upholds the integrity of the League. No intentional manipulation that would affect other Teams' ability to perform is tolerated.
