file,type,rows,columns,bytes
00_league/league_info.csv,csv,100,2,11118
00_league/members.csv,csv,24,30,61336
00_league/roster_positions.csv,csv,6,2,52
00_league/seasons.csv,csv,14,57,110659
01_history/all_time_standings.csv,csv,16,19,2390
01_history/chart_league_rating.json,json,,,2257
01_history/member_rating_by_season.csv,csv,156,4,51915
01_history/season_results.csv,csv,168,40,36270
02_gamecenter/chart_average_score_by_season.json,json,,,1263
02_gamecenter/matchup_rosters.csv,csv,37106,14,2968824
02_gamecenter/matchups.csv,csv,2452,38,576312
03_playoffs/championship_games.csv,csv,13,10,1017
03_playoffs/playoff_matchups.csv,csv,364,38,86642
03_playoffs/playoff_scoring_extremes.csv,csv,6,7,408
03_playoffs/playoff_stat_highlights.csv,csv,4,13,391
03_playoffs/road_to_championship_games.csv,csv,29,9,1699
03_playoffs/road_to_championship_seasons.csv,csv,13,10,1020
04_draft/draft_results.csv,csv,2339,24,272422
04_draft/draft_stats.csv,csv,7,2,343
04_draft/keeper_results.csv,csv,0,0,2
05_transactions/chart_faab_by_season.json,json,,,529
05_transactions/chart_transaction_value_by_member.json,json,,,11759
05_transactions/chart_transactions_by_player_team.json,json,,,954
05_transactions/chart_transactions_by_season.json,json,,,540
05_transactions/transaction_items.csv,csv,7404,16,4223150
05_transactions/transaction_stats.csv,csv,14,2,505
05_transactions/transactions.csv,csv,3938,20,476683
06_players/all_pro_leaders.csv,csv,93,8,5475
06_players/all_pro_teams.csv,csv,157,14,12225
06_players/player_hero_stats.csv,csv,7,2,2614
06_players/player_top_lists.csv,csv,40,22,4247
06_players/players_all_time.csv,csv,1008,20,80550
06_players/players_by_position.csv,csv,6,8,474
07_versus/head_to_head_matrix.csv,csv,15,17,1369
07_versus/head_to_head_pairs.csv,csv,198,28,70616
07_versus/member_versus_summary.csv,csv,24,4,33483
07_versus/versus_index_stats.csv,csv,8,2,1732
08_finances/finance_records.csv,csv,2,2,46
08_finances/member_finance_entries.csv,csv,0,0,2
08_finances/member_finance_totals.csv,csv,24,9,1400
09_schedule/completed_events.csv,csv,4,9,453
09_schedule/scheduled_events.csv,csv,4,9,453
10_newsletters/newsletters.csv,csv,21,15,5273
11_achievements/achievements_recent.csv,csv,0,0,2
11_achievements/chart_member_badges_by_season.json,json,,,3459
11_achievements/member_achievement_summary.csv,csv,21,8,1085
12_record_book/record_categories.csv,csv,11,2,156
12_record_book/record_index.csv,csv,476,9,99926
12_record_book/record_top_holders_summary.csv,csv,21,8,803
13_season_teams/season_team_position_stats.csv,csv,1092,7,44668
13_season_teams/season_teams_full.csv,csv,168,74,142339
14_members/member_profiles.csv,csv,24,27,55265
14_members/member_season_history.csv,csv,178,77,6809849
14_members/member_transaction_ranks.csv,csv,72,4,2237
14_members/member_transaction_stats.csv,csv,96,4,8082
15_rules_notes/league_rules.csv,csv,17,3,4566
15_rules_notes/league_rules.md,md,,,4688
15_rules_notes/season_annotations.csv,csv,198,12,150158
16_franchise/franchise_dashboard.json,json,,,715394
16_franchise/franchise_stats.csv,csv,8,2,125
