season,franchise,starter_points,drafted_points,acquired_points,drafted_share,starter_weeks,acquired_valid,basis
2013,Antdell & Ernie,1686.2,1275.6,410.6,75.6,135,no,bonus_exclusive
2013,Cambrias,1841.2,1275.9,565.3,69.3,135,no,bonus_exclusive
2013,Chris & Dom,1914.02,1621.02,293.0,84.7,135,no,bonus_exclusive
2013,Frank & Julian,1705.46,836.9,868.56,49.1,135,no,bonus_exclusive
2013,GaTTa,1853.14,926.96,926.18,50.0,135,no,bonus_exclusive
2013,LFTLR,1918.36,1742.46,175.9,90.8,144,no,bonus_exclusive
2013,Nolan & Vinny,1702.46,770.2,932.26,45.2,135,no,bonus_exclusive
2013,Pung & Tralie,1790.76,1097.78,692.98,61.3,135,no,bonus_exclusive
2013,Richie,1869.86,1482.26,387.6,79.3,144,no,bonus_exclusive
2013,Rob & GregBo,1619.72,1080.62,539.1,66.7,135,no,bonus_exclusive
2013,Ronnie,2006.94,1595.84,411.1,79.5,144,no,bonus_exclusive
2013,Team JoeBa,1881.12,1727.5,153.62,91.8,144,no,bonus_exclusive
2014,Antdell & Ernie,1891.0,1696.1,194.9,89.7,144,yes,bonus_exclusive
2014,Cambrias,2057.14,1441.34,615.8,70.1,144,yes,bonus_exclusive
2014,Chris & Dom,1751.88,1386.82,365.06,79.2,135,yes,bonus_exclusive
2014,Frank & Julian,1595.84,1396.12,199.72,87.5,135,yes,bonus_exclusive
2014,GaTTa,2048.0,1469.5,578.5,71.8,144,yes,bonus_exclusive
2014,LFTLR,1371.98,692.38,679.6,50.5,135,yes,bonus_exclusive
2014,Nolan & Vinny,1640.68,1112.36,528.32,67.8,135,yes,bonus_exclusive
2014,Pung & Tralie,1718.06,975.02,743.04,56.8,135,yes,bonus_exclusive
2014,Richie,1838.44,1451.18,387.26,78.9,135,yes,bonus_exclusive
2014,Rob & GregBo,1553.84,1382.12,171.72,88.9,135,yes,bonus_exclusive
2014,Ronnie,1920.44,1622.94,297.5,84.5,135,yes,bonus_exclusive
2014,Team JoeBa,1632.8,1455.1,177.7,89.1,144,yes,bonus_exclusive
2015,Antdell & Ernie,1787.12,1125.48,661.64,63.0,144,yes,bonus_exclusive
2015,Cambrias,2270.1,1452.04,818.06,64.0,135,yes,bonus_exclusive
2015,Chris & Dom,2063.12,1493.7,569.42,72.4,135,yes,bonus_exclusive
2015,Frank & Julian,1618.96,1427.76,191.2,88.2,135,yes,bonus_exclusive
2015,GaTTa,1528.48,940.68,587.8,61.5,144,yes,bonus_exclusive
2015,LFTLR,1531.72,895.2,636.52,58.4,134,yes,bonus_exclusive
2015,Nolan & Vinny,1579.76,1228.8,350.96,77.8,135,yes,bonus_exclusive
2015,Pung & Tralie,1558.22,985.24,572.98,63.2,135,yes,bonus_exclusive
2015,Richie,1866.02,1601.82,264.2,85.8,143,yes,bonus_exclusive
2015,Rob & GregBo,1786.88,1445.2,341.68,80.9,135,yes,bonus_exclusive
2015,Ronnie,1713.64,1409.64,304.0,82.3,135,yes,bonus_exclusive
2015,Team JoeBa,2001.66,1594.06,407.6,79.6,144,yes,bonus_exclusive
2016,Antdell & Ernie,1736.06,1300.14,435.92,74.9,135,yes,bonus_exclusive
2016,Cambrias,1573.38,450.9,1122.48,28.7,135,yes,bonus_exclusive
2016,Chris & Dom,1945.1,983.2,961.9,50.5,135,yes,bonus_exclusive
2016,Frank & Julian,1765.66,793.86,971.8,45.0,144,yes,bonus_exclusive
2016,GaTTa,1729.84,738.52,991.32,42.7,144,yes,bonus_exclusive
2016,LFTLR,1764.58,1316.62,447.96,74.6,135,yes,bonus_exclusive
2016,Nolan & Vinny,1656.14,1055.56,600.58,63.7,135,yes,bonus_exclusive
2016,Pung & Tralie,1882.0,1193.46,688.54,63.4,144,yes,bonus_exclusive
2016,Richie,1671.36,1310.96,360.4,78.4,135,yes,bonus_exclusive
2016,Rob & GregBo,1548.98,1166.38,382.6,75.3,135,yes,bonus_exclusive
2016,Ronnie,1868.22,1662.62,205.6,89.0,144,yes,bonus_exclusive
2016,Team JoeBa,1938.18,992.42,945.76,51.2,135,yes,bonus_exclusive
2017,Antdell & Ernie,1772.26,1075.94,696.32,60.7,135,yes,bonus_exclusive
2017,Cambrias,1839.2,1300.2,539.0,70.7,135,yes,bonus_exclusive
2017,Chris & Dom,1830.46,1124.14,706.32,61.4,144,yes,bonus_exclusive
