season,member_name,started_points,optimal_points,efficiency,points_left,is_champion,source,source_ref,basis,confidence
2013,Antdell & Ernie,1686.2,1871.78,0.900854,185.58,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2013,Cambrias,1841.2,2078.48,0.88584,237.28,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2013,Chris & Dom,1914.02,2246.28,0.852084,332.26,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2013,Frank & Julian,1705.46,1939.48,0.879339,234.02,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2013,GaTTa,1853.14,2100.86,0.882086,247.72,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2013,LFTLR,1918.36,2150.28,0.892144,231.92,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2013,Nolan & Vinny,1702.46,1908.34,0.892116,205.88,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2013,Pung & Tralie,1790.76,2143.48,0.835445,352.72,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2013,Richie,1869.86,2173.5,0.860299,303.64,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2013,Rob & GregBo,1619.72,2010.88,0.805478,391.16,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2013,Ronnie,2006.94,2252.12,0.891134,245.18,1,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2013,Team JoeBa,1881.12,2211.24,0.850708,330.12,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2014,Antdell & Ernie,1891.0,2229.06,0.84834,338.06,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2014,Cambrias,2057.14,2342.5,0.878181,285.36,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2014,Chris & Dom,1751.88,2068.46,0.846949,316.58,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2014,Frank & Julian,1595.84,1884.64,0.846761,288.8,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2014,GaTTa,2048.0,2351.36,0.870985,303.36,1,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2014,LFTLR,1371.98,1663.72,0.824646,291.74,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2014,Nolan & Vinny,1640.68,1903.5,0.861928,262.82,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2014,Pung & Tralie,1718.06,1996.2,0.860665,278.14,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2014,Richie,1838.44,2188.54,0.84003,350.1,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
2014,Rob & GregBo,1553.84,1909.08,0.813921,355.24,0,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive,verified
