franchise,band,pos,q_observed,q_league,q_shrunk,lift,n_picks,shrink_k,source,basis,confidence
Antdell & Ernie,rd1-3,QB,0.0117,0.0657,0.0458,0.6967,39,66.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Cambrias,rd1-3,QB,0.0,0.0657,0.0415,0.6311,39,66.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Chris & Dom,rd1-3,QB,0.0331,0.0657,0.0537,0.8167,39,66.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Frank & Julian,rd1-3,QB,0.0473,0.0657,0.0589,0.8964,39,66.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
GaTTa,rd1-3,QB,0.1858,0.0657,0.084,1.2785,12,66.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
John Juliano,rd1-3,QB,0.0829,0.0657,0.0689,1.0479,15,66.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
LFTLR,rd1-3,QB,0.0695,0.0657,0.0667,1.0151,24,66.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Mike Long,rd1-3,QB,0.0695,0.0657,0.0663,1.0087,12,66.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
Nolan & Vinny,rd1-3,QB,0.0767,0.0657,0.0698,1.0615,39,66.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Phil Baldino,rd1-3,QB,0.0879,0.0657,0.0719,1.0945,26,66.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Pung & Tralie,rd1-3,QB,0.1861,0.0657,0.1101,1.6755,39,66.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Richie,rd1-3,QB,0.0131,0.0657,0.0463,0.7047,39,66.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Rob & GregBo,rd1-3,QB,0.1062,0.0657,0.0807,1.2269,39,66.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Ronnie,rd1-3,QB,0.0824,0.0657,0.0719,1.0933,39,66.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Team JoeBa,rd1-3,QB,0.0354,0.0657,0.057,0.8672,27,66.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Antdell & Ernie,rd1-3,RB,0.3745,0.4578,0.418,0.9132,39,42.7,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
