season,week,franchise,benched,benched_name,benched_pts,benched_prior_ppg,displaced,displaced_name,displaced_pos,displaced_pts,displaced_prior_ppg,points_lost,verdict,source,source_ref,basis,confidence
2013,2,Antdell & Ernie,00-0027864,Ryan Mathews,6.6,,00-0023310,Lance Moore,WR,2.5,,4.1,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2013,4,Antdell & Ernie,00-0027864,Ryan Mathews,14.3,8.63,00-0028086,Denarius Moore,WR,10.6,13.23,3.7,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2013,7,Antdell & Ernie,00-0027864,Ryan Mathews,17.0,8.53,00-0006101,Tony Gonzalez,TE,5.0,14.15,12.0,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2013,10,Antdell & Ernie,00-0027864,Ryan Mathews,13.1,7.96,00-0022736,Steven Jackson,RB,5.0,4.43,8.1,KNOWABLE,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2013,11,Antdell & Ernie,00-0027864,Ryan Mathews,16.3,8.47,00-0027942,A.J. Green,WR,2.7,20.23,13.6,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2013,12,Antdell & Ernie,00-0027864,Ryan Mathews,14.5,9.18,00-0023500,Frank Gore,RB,4.4,12.48,10.1,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2013,13,Antdell & Ernie,00-0027864,Ryan Mathews,14.2,9.62,00-0027758,Riley Cooper,WR,7.8,14.48,6.4,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2013,14,Antdell & Ernie,00-0027864,Ryan Mathews,22.5,9.98,00-0027996,Torrey Smith,WR,4.1,13.32,18.4,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2013,15,Antdell & Ernie,00-0027864,Ryan Mathews,19.8,10.87,00-0023500,Frank Gore,RB,8.6,11.69,11.2,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2014,1,Antdell & Ernie,00-0025399,Marshawn Lynch,25.4,,00-0022127,Jason Witten,TE,3.4,,22.0,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2014,1,Antdell & Ernie,00-0029615,Lamar Miller,15.8,,00-0026796,Arian Foster,RB,12.0,,3.8,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2014,2,Antdell & Ernie,00-0029615,Lamar Miller,7.3,,00-0022127,Jason Witten,TE,7.2,,0.1,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2014,6,Antdell & Ernie,00-0029615,Lamar Miller,16.3,11.8,00-0023462,Roddy White,WR,7.0,9.86,9.3,KNOWABLE,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2014,11,Antdell & Ernie,00-0029615,Lamar Miller,11.8,11.88,00-0027891,Golden Tate,WR,6.9,17.53,4.9,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2014,13,Antdell & Ernie,00-0029615,Lamar Miller,14.7,11.52,00-0020498,Reggie Wayne,WR,7.1,10.21,7.6,KNOWABLE,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2015,1,Antdell & Ernie,00-0032209,T.J. Yeldon,9.7,,00-0029615,Lamar Miller,RB,8.5,,1.2,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2015,2,Antdell & Ernie,00-0032209,T.J. Yeldon,11.3,,00-0029615,Lamar Miller,RB,9.2,,2.1,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2015,3,Antdell & Ernie,00-0029615,Lamar Miller,9.5,8.85,00-0029854,C.J. Anderson,RB,3.7,6.35,5.8,KNOWABLE,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2016,1,Antdell & Ernie,00-0030107,Theo Riddick,27.8,,00-0030485,Eddie Lacy,RB,8.8,,19.0,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2016,2,Antdell & Ernie,00-0030107,Theo Riddick,10.5,,00-0030506,Travis Kelce,TE,8.4,,2.1,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2016,8,Antdell & Ernie,00-0030107,Theo Riddick,27.3,12.3,00-0030414,Spencer Ware,RB,6.7,15.24,20.6,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2016,11,Antdell & Ernie,00-0031301,Jeremy Hill,8.3,10.52,00-0029293,Marvin Jones,WR,2.5,12.74,5.8,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2016,13,Antdell & Ernie,00-0031301,Jeremy Hill,12.5,10.64,00-0026184,Matt Forte,RB,10.9,14.01,1.6,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2017,1,Antdell & Ernie,00-0030107,Theo Riddick,14.6,,00-0031381,Davante Adams,WR,7.7,,6.9,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2017,2,Antdell & Ernie,00-0030107,Theo Riddick,6.7,,00-0025396,Ted Ginn Jr.,WR,5.4,,1.3,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2017,3,Antdell & Ernie,00-0032780,Jordan Howard,31.6,8.15,00-0030506,Travis Kelce,TE,1.1,16.85,30.5,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2017,3,Antdell & Ernie,00-0027325,LeGarrette Blount,12.7,6.35,00-0030107,Theo Riddick,RB,7.8,10.65,4.9,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2017,4,Antdell & Ernie,00-0027325,LeGarrette Blount,16.6,8.47,00-0027966,Mark Ingram,RB,10.2,11.43,6.4,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2017,5,Antdell & Ernie,00-0027325,LeGarrette Blount,7.4,10.5,00-0030300,Jaron Brown,WR,6.9,,0.5,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2017,6,Antdell & Ernie,00-0025394,Adrian Peterson,25.4,3.37,00-0030300,Jaron Brown,WR,4.0,,21.4,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2017,8,Antdell & Ernie,00-0028064,Bilal Powell,9.1,9.5,00-0031382,Jarvis Landry,WR,8.3,14.11,0.8,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2017,13,Antdell & Ernie,00-0031285,Devonta Freeman,9.1,9.52,00-0031381,Davante Adams,WR,8.2,13.93,0.9,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2017,14,Antdell & Ernie,00-0032780,Jordan Howard,28.5,10.93,00-0027966,Mark Ingram,RB,13.2,15.98,15.3,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2018,1,Antdell & Ernie,00-0031062,James White,15.6,,00-0031941,Jamison Crowder,WR,6.2,,9.4,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2018,1,Antdell & Ernie,00-0031045,Carlos Hyde,13.5,,00-0032426,Alex Collins,RB,6.9,,6.6,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2018,4,Antdell & Ernie,00-0032257,Duke Johnson,13.6,3.93,00-0032426,Alex Collins,RB,9.5,11.77,4.1,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2018,6,Antdell & Ernie,00-0032426,Alex Collins,17.4,10.48,00-0031382,Jarvis Landry,WR,3.1,15.02,14.3,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2018,7,Antdell & Ernie,00-0034838,Royce Freeman,9.7,8.55,00-0032257,Duke Johnson,RB,5.9,6.35,3.8,KNOWABLE,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2018,8,Antdell & Ernie,00-0032426,Alex Collins,12.3,11.09,00-0028434,Doug Baldwin,WR,4.6,3.61,7.7,KNOWABLE,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2018,11,Antdell & Ernie,00-0034838,Royce Freeman,10.0,6.1,00-0032426,Alex Collins,RB,7.8,10.08,2.2,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2018,12,Antdell & Ernie,00-0029613,Doug Martin,16.2,7.85,00-0032780,Jordan Howard,RB,2.5,9.39,13.7,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2018,13,Antdell & Ernie,00-0029613,Doug Martin,12.7,10.63,00-0032257,Duke Johnson,RB,3.2,8.4,9.5,KNOWABLE,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2018,14,Antdell & Ernie,00-0029613,Doug Martin,9.2,11.15,00-0028434,Doug Baldwin,WR,0.0,6.75,9.2,KNOWABLE,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2019,1,Antdell & Ernie,00-0030513,Latavius Murray,12.7,,00-0033308,Matt Breida,RB,3.7,,9.0,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2019,4,Antdell & Ernie,00-0034301,Darrel Williams,18.6,,00-0035140,Mecole Hardman,WR,2.9,17.25,15.7,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2019,5,Antdell & Ernie,00-0033308,Matt Breida,27.9,7.17,00-0031588,Stefon Diggs,WR,7.4,8.98,20.5,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2019,8,Antdell & Ernie,00-0033951,Marlon Mack,16.0,11.54,00-0033921,Chris Godwin,WR,10.3,20.74,5.7,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2019,9,Antdell & Ernie,00-0033308,Matt Breida,11.2,9.69,00-0031588,Stefon Diggs,WR,2.6,15.93,8.6,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2019,12,Antdell & Ernie,00-0032975,Jonathan Williams,21.1,,00-0034432,Bo Scarbrough,RB,7.8,,13.3,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2019,13,Antdell & Ernie,00-0034432,Bo Scarbrough,8.3,,00-0034777,D.J. Chark,WR,6.7,14.83,1.6,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2020,1,Antdell & Ernie,00-0034681,Chase Edmonds,13.5,,00-0031428,Allen Robinson,WR,12.3,,1.2,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2020,2,Antdell & Ernie,00-0033856,Leonard Fournette,27.6,,00-0031428,Allen Robinson,WR,6.3,,21.3,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2020,3,Antdell & Ernie,00-0031376,Jerick McKinnon,16.7,,00-0033856,Leonard Fournette,RB,4.2,15.25,12.5,UNRATED,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
2020,5,Antdell & Ernie,00-0034681,Chase Edmonds,20.2,9.55,00-0031376,Jerick McKinnon,RB,2.5,19.7,17.7,HINDSIGHT,leaguelegacy,02_gamecenter/matchup_rosters.csv,bonus-exclusive 2013-2024,verified
